Time_Index,NG,None,Biomass
0,0.05306,0,0.095
1,5.28,0,8
2,5.28,0,8
3,5.28,0,8
4,5.28,0,8
5,5.28,0,8
6,5.28,0,8
7,5.28,0,8
8,5.28,0,8
9,5.28,0,8
10,5.28,0,8
11,5.28,0,8
12,5.28,0,8
13,5.28,0,8
14,5.28,0,8
15,5.28,0,8
16,5.28,0,8
17,5.28,0,8
18,5.28,0,8
19,5.28,0,8
20,5.28,0,8
21,5.28,0,8
22,5.28,0,8
23,5.28,0,8
24,5.28,0,8
25,5.28,0,8
26,5.28,0,8
27,5.28,0,8
28,5.28,0,8
29,5.28,0,8
30,5.28,0,8
31,5.28,0,8
32,5.28,0,8
33,5.28,0,8
34,5.28,0,8
35,5.28,0,8
36,5.28,0,8
37,5.28,0,8
38,5.28,0,8
39,5.28,0,8
40,5.28,0,8
41,5.28,0,8
42,5.28,0,8
43,5.28,0,8
44,5.28,0,8
45,5.28,0,8
46,5.28,0,8
47,5.28,0,8
48,5.28,0,8
49,5.28,0,8
50,5.28,0,8
51,5.28,0,8
52,5.28,0,8
53,5.28,0,8
54,5.28,0,8
55,5.28,0,8
56,5.28,0,8
57,5.28,0,8
58,5.28,0,8
59,5.28,0,8
60,5.28,0,8
61,5.28,0,8
62,5.28,0,8
63,5.28,0,8
64,5.28,0,8
65,5.28,0,8
66,5.28,0,8
67,5.28,0,8
68,5.28,0,8
69,5.28,0,8
70,5.28,0,8
71,5.28,0,8
72,5.28,0,8
73,5.28,0,8
74,5.28,0,8
75,5.28,0,8
76,5.28,0,8
77,5.28,0,8
78,5.28,0,8
79,5.28,0,8
80,5.28,0,8
81,5.28,0,8
82,5.28,0,8
83,5.28,0,8
84,5.28,0,8
85,5.28,0,8
86,5.28,0,8
87,5.28,0,8
88,5.28,0,8
89,5.28,0,8
90,5.28,0,8
91,5.28,0,8
92,5.28,0,8
93,5.28,0,8
94,5.28,0,8
95,5.28,0,8
96,5.28,0,8
97,5.28,0,8
98,5.28,0,8
99,5.28,0,8
100,5.28,0,8
101,5.28,0,8
102,5.28,0,8
103,5.28,0,8
104,5.28,0,8
105,5.28,0,8
106,5.28,0,8
107,5.28,0,8
108,5.28,0,8
109,5.28,0,8
110,5.28,0,8
111,5.28,0,8
112,5.28,0,8
113,5.28,0,8
114,5.28,0,8
115,5.28,0,8
116,5.28,0,8
117,5.28,0,8
118,5.28,0,8
119,5.28,0,8
120,5.28,0,8
121,5.28,0,8
122,5.28,0,8
123,5.28,0,8
124,5.28,0,8
125,5.28,0,8
126,5.28,0,8
127,5.28,0,8
128,5.28,0,8
129,5.28,0,8
130,5.28,0,8
131,5.28,0,8
132,5.28,0,8
133,5.28,0,8
134,5.28,0,8
135,5.28,0,8
136,5.28,0,8
137,5.28,0,8
138,5.28,0,8
139,5.28,0,8
140,5.28,0,8
141,5.28,0,8
142,5.28,0,8
143,5.28,0,8
144,5.28,0,8
145,5.28,0,8
146,5.28,0,8
147,5.28,0,8
148,5.28,0,8
149,5.28,0,8
150,5.28,0,8
151,5.28,0,8
152,5.28,0,8
153,5.28,0,8
154,5.28,0,8
155,5.28,0,8
156,5.28,0,8
157,5.28,0,8
158,5.28,0,8
159,5.28,0,8
160,5.28,0,8
161,5.28,0,8
162,5.28,0,8
163,5.28,0,8
164,5.28,0,8
165,5.28,0,8
166,5.28,0,8
167,5.28,0,8
168,5.28,0,8
169,5.28,0,8
170,5.28,0,8
171,5.28,0,8
172,5.28,0,8
173,5.28,0,8
174,5.28,0,8
175,5.28,0,8
176,5.28,0,8
177,5.28,0,8
178,5.28,0,8
179,5.28,0,8
180,5.28,0,8
181,5.28,0,8
182,5.28,0,8
183,5.28,0,8
184,5.28,0,8
185,5.28,0,8
186,5.28,0,8
187,5.28,0,8
188,5.28,0,8
189,5.28,0,8
190,5.28,0,8
191,5.28,0,8
192,5.28,0,8
193,5.28,0,8
194,5.28,0,8
195,5.28,0,8
196,5.28,0,8
197,5.28,0,8
198,5.28,0,8
199,5.28,0,8
200,5.28,0,8
201,5.28,0,8
202,5.28,0,8
203,5.28,0,8
204,5.28,0,8
205,5.28,0,8
206,5.28,0,8
207,5.28,0,8
208,5.28,0,8
209,5.28,0,8
210,5.28,0,8
211,5.28,0,8
212,5.28,0,8
213,5.28,0,8
214,5.28,0,8
215,5.28,0,8
216,5.28,0,8
217,5.28,0,8
218,5.28,0,8
219,5.28,0,8
220,5.28,0,8
221,5.28,0,8
222,5.28,0,8
223,5.28,0,8
224,5.28,0,8
225,5.28,0,8
226,5.28,0,8
227,5.28,0,8
228,5.28,0,8
229,5.28,0,8
230,5.28,0,8
231,5.28,0,8
232,5.28,0,8
233,5.28,0,8
234,5.28,0,8
235,5.28,0,8
236,5.28,0,8
237,5.28,0,8
238,5.28,0,8
239,5.28,0,8
240,5.28,0,8
241,5.28,0,8
242,5.28,0,8
243,5.28,0,8
244,5.28,0,8
245,5.28,0,8
246,5.28,0,8
247,5.28,0,8
248,5.28,0,8
249,5.28,0,8
250,5.28,0,8
251,5.28,0,8
252,5.28,0,8
253,5.28,0,8
254,5.28,0,8
255,5.28,0,8
256,5.28,0,8
257,5.28,0,8
258,5.28,0,8
259,5.28,0,8
260,5.28,0,8
261,5.28,0,8
262,5.28,0,8
263,5.28,0,8
264,5.28,0,8
265,5.28,0,8
266,5.28,0,8
267,5.28,0,8
268,5.28,0,8
269,5.28,0,8
270,5.28,0,8
271,5.28,0,8
272,5.28,0,8
273,5.28,0,8
274,5.28,0,8
275,5.28,0,8
276,5.28,0,8
277,5.28,0,8
278,5.28,0,8
279,5.28,0,8
280,5.28,0,8
281,5.28,0,8
282,5.28,0,8
283,5.28,0,8
284,5.28,0,8
285,5.28,0,8
286,5.28,0,8
287,5.28,0,8
288,5.28,0,8
289,5.28,0,8
290,5.28,0,8
291,5.28,0,8
292,5.28,0,8
293,5.28,0,8
294,5.28,0,8
295,5.28,0,8
296,5.28,0,8
297,5.28,0,8
298,5.28,0,8
299,5.28,0,8
300,5.28,0,8
301,5.28,0,8
302,5.28,0,8
303,5.28,0,8
304,5.28,0,8
305,5.28,0,8
306,5.28,0,8
307,5.28,0,8
308,5.28,0,8
309,5.28,0,8
310,5.28,0,8
311,5.28,0,8
312,5.28,0,8
313,5.28,0,8
314,5.28,0,8
315,5.28,0,8
316,5.28,0,8
317,5.28,0,8
318,5.28,0,8
319,5.28,0,8
320,5.28,0,8
321,5.28,0,8
322,5.28,0,8
323,5.28,0,8
324,5.28,0,8
325,5.28,0,8
326,5.28,0,8
327,5.28,0,8
328,5.28,0,8
329,5.28,0,8
330,5.28,0,8
331,5.28,0,8
332,5.28,0,8
333,5.28,0,8
334,5.28,0,8
335,5.28,0,8
336,5.28,0,8
337,5.28,0,8
338,5.28,0,8
339,5.28,0,8
340,5.28,0,8
341,5.28,0,8
342,5.28,0,8
343,5.28,0,8
344,5.28,0,8
345,5.28,0,8
346,5.28,0,8
347,5.28,0,8
348,5.28,0,8
349,5.28,0,8
350,5.28,0,8
351,5.28,0,8
352,5.28,0,8
353,5.28,0,8
354,5.28,0,8
355,5.28,0,8
356,5.28,0,8
357,5.28,0,8
358,5.28,0,8
359,5.28,0,8
360,5.28,0,8
361,5.28,0,8
362,5.28,0,8
363,5.28,0,8
364,5.28,0,8
365,5.28,0,8
366,5.28,0,8
367,5.28,0,8
368,5.28,0,8
369,5.28,0,8
370,5.28,0,8
371,5.28,0,8
372,5.28,0,8
373,5.28,0,8
374,5.28,0,8
375,5.28,0,8
376,5.28,0,8
377,5.28,0,8
378,5.28,0,8
379,5.28,0,8
380,5.28,0,8
381,5.28,0,8
382,5.28,0,8
383,5.28,0,8
384,5.28,0,8
385,5.28,0,8
386,5.28,0,8
387,5.28,0,8
388,5.28,0,8
389,5.28,0,8
390,5.28,0,8
391,5.28,0,8
392,5.28,0,8
393,5.28,0,8
394,5.28,0,8
395,5.28,0,8
396,5.28,0,8
397,5.28,0,8
398,5.28,0,8
399,5.28,0,8
400,5.28,0,8
401,5.28,0,8
402,5.28,0,8
403,5.28,0,8
404,5.28,0,8
405,5.28,0,8
406,5.28,0,8
407,5.28,0,8
408,5.28,0,8
409,5.28,0,8
410,5.28,0,8
411,5.28,0,8
412,5.28,0,8
413,5.28,0,8
414,5.28,0,8
415,5.28,0,8
416,5.28,0,8
417,5.28,0,8
418,5.28,0,8
419,5.28,0,8
420,5.28,0,8
421,5.28,0,8
422,5.28,0,8
423,5.28,0,8
424,5.28,0,8
425,5.28,0,8
426,5.28,0,8
427,5.28,0,8
428,5.28,0,8
429,5.28,0,8
430,5.28,0,8
431,5.28,0,8
432,5.28,0,8
433,5.28,0,8
434,5.28,0,8
435,5.28,0,8
436,5.28,0,8
437,5.28,0,8
438,5.28,0,8
439,5.28,0,8
440,5.28,0,8
441,5.28,0,8
442,5.28,0,8
443,5.28,0,8
444,5.28,0,8
445,5.28,0,8
446,5.28,0,8
447,5.28,0,8
448,5.28,0,8
449,5.28,0,8
450,5.28,0,8
451,5.28,0,8
452,5.28,0,8
453,5.28,0,8
454,5.28,0,8
455,5.28,0,8
456,5.28,0,8
457,5.28,0,8
458,5.28,0,8
459,5.28,0,8
460,5.28,0,8
461,5.28,0,8
462,5.28,0,8
463,5.28,0,8
464,5.28,0,8
465,5.28,0,8
466,5.28,0,8
467,5.28,0,8
468,5.28,0,8
469,5.28,0,8
470,5.28,0,8
471,5.28,0,8
472,5.28,0,8
473,5.28,0,8
474,5.28,0,8
475,5.28,0,8
476,5.28,0,8
477,5.28,0,8
478,5.28,0,8
479,5.28,0,8
480,5.28,0,8
481,5.28,0,8
482,5.28,0,8
483,5.28,0,8
484,5.28,0,8
485,5.28,0,8
486,5.28,0,8
487,5.28,0,8
488,5.28,0,8
489,5.28,0,8
490,5.28,0,8
491,5.28,0,8
492,5.28,0,8
493,5.28,0,8
494,5.28,0,8
495,5.28,0,8
496,5.28,0,8
497,5.28,0,8
498,5.28,0,8
499,5.28,0,8
500,5.28,0,8
501,5.28,0,8
502,5.28,0,8
503,5.28,0,8
504,5.28,0,8
505,5.28,0,8
506,5.28,0,8
507,5.28,0,8
508,5.28,0,8
509,5.28,0,8
510,5.28,0,8
511,5.28,0,8
512,5.28,0,8
513,5.28,0,8
514,5.28,0,8
515,5.28,0,8
516,5.28,0,8
517,5.28,0,8
518,5.28,0,8
519,5.28,0,8
520,5.28,0,8
521,5.28,0,8
522,5.28,0,8
523,5.28,0,8
524,5.28,0,8
525,5.28,0,8
526,5.28,0,8
527,5.28,0,8
528,5.28,0,8
529,5.28,0,8
530,5.28,0,8
531,5.28,0,8
532,5.28,0,8
533,5.28,0,8
534,5.28,0,8
535,5.28,0,8
536,5.28,0,8
537,5.28,0,8
538,5.28,0,8
539,5.28,0,8
540,5.28,0,8
541,5.28,0,8
542,5.28,0,8
543,5.28,0,8
544,5.28,0,8
545,5.28,0,8
546,5.28,0,8
547,5.28,0,8
548,5.28,0,8
549,5.28,0,8
550,5.28,0,8
551,5.28,0,8
552,5.28,0,8
553,5.28,0,8
554,5.28,0,8
555,5.28,0,8
556,5.28,0,8
557,5.28,0,8
558,5.28,0,8
559,5.28,0,8
560,5.28,0,8
561,5.28,0,8
562,5.28,0,8
563,5.28,0,8
564,5.28,0,8
565,5.28,0,8
566,5.28,0,8
567,5.28,0,8
568,5.28,0,8
569,5.28,0,8
570,5.28,0,8
571,5.28,0,8
572,5.28,0,8
573,5.28,0,8
574,5.28,0,8
575,5.28,0,8
576,5.28,0,8
577,5.28,0,8
578,5.28,0,8
579,5.28,0,8
580,5.28,0,8
581,5.28,0,8
582,5.28,0,8
583,5.28,0,8
584,5.28,0,8
585,5.28,0,8
586,5.28,0,8
587,5.28,0,8
588,5.28,0,8
589,5.28,0,8
590,5.28,0,8
591,5.28,0,8
592,5.28,0,8
593,5.28,0,8
594,5.28,0,8
595,5.28,0,8
596,5.28,0,8
597,5.28,0,8
598,5.28,0,8
599,5.28,0,8
600,5.28,0,8
601,5.28,0,8
602,5.28,0,8
603,5.28,0,8
604,5.28,0,8
605,5.28,0,8
606,5.28,0,8
607,5.28,0,8
608,5.28,0,8
609,5.28,0,8
610,5.28,0,8
611,5.28,0,8
612,5.28,0,8
613,5.28,0,8
614,5.28,0,8
615,5.28,0,8
616,5.28,0,8
617,5.28,0,8
618,5.28,0,8
619,5.28,0,8
620,5.28,0,8
621,5.28,0,8
622,5.28,0,8
623,5.28,0,8
624,5.28,0,8
625,5.28,0,8
626,5.28,0,8
627,5.28,0,8
628,5.28,0,8
629,5.28,0,8
630,5.28,0,8
631,5.28,0,8
632,5.28,0,8
633,5.28,0,8
634,5.28,0,8
635,5.28,0,8
636,5.28,0,8
637,5.28,0,8
638,5.28,0,8
639,5.28,0,8
640,5.28,0,8
641,5.28,0,8
642,5.28,0,8
643,5.28,0,8
644,5.28,0,8
645,5.28,0,8
646,5.28,0,8
647,5.28,0,8
648,5.28,0,8
649,5.28,0,8
650,5.28,0,8
651,5.28,0,8
652,5.28,0,8
653,5.28,0,8
654,5.28,0,8
655,5.28,0,8
656,5.28,0,8
657,5.28,0,8
658,5.28,0,8
659,5.28,0,8
660,5.28,0,8
661,5.28,0,8
662,5.28,0,8
663,5.28,0,8
664,5.28,0,8
665,5.28,0,8
666,5.28,0,8
667,5.28,0,8
668,5.28,0,8
669,5.28,0,8
670,5.28,0,8
671,5.28,0,8
672,5.28,0,8
673,5.28,0,8
674,5.28,0,8
675,5.28,0,8
676,5.28,0,8
677,5.28,0,8
678,5.28,0,8
679,5.28,0,8
680,5.28,0,8
681,5.28,0,8
682,5.28,0,8
683,5.28,0,8
684,5.28,0,8
685,5.28,0,8
686,5.28,0,8
687,5.28,0,8
688,5.28,0,8
689,5.28,0,8
690,5.28,0,8
691,5.28,0,8
692,5.28,0,8
693,5.28,0,8
694,5.28,0,8
695,5.28,0,8
696,5.28,0,8
697,5.28,0,8
698,5.28,0,8
699,5.28,0,8
700,5.28,0,8
701,5.28,0,8
702,5.28,0,8
703,5.28,0,8
704,5.28,0,8
705,5.28,0,8
706,5.28,0,8
707,5.28,0,8
708,5.28,0,8
709,5.28,0,8
710,5.28,0,8
711,5.28,0,8
712,5.28,0,8
713,5.28,0,8
714,5.28,0,8
715,5.28,0,8
716,5.28,0,8
717,5.28,0,8
718,5.28,0,8
719,5.28,0,8
720,5.28,0,8
721,5.28,0,8
722,5.28,0,8
723,5.28,0,8
724,5.28,0,8
725,5.28,0,8
726,5.28,0,8
727,5.28,0,8
728,5.28,0,8
729,5.28,0,8
730,5.28,0,8
731,5.28,0,8
732,5.28,0,8
733,5.28,0,8
734,5.28,0,8
735,5.28,0,8
736,5.28,0,8
737,5.28,0,8
738,5.28,0,8
739,5.28,0,8
740,5.28,0,8
741,5.28,0,8
742,5.28,0,8
743,5.28,0,8
744,5.28,0,8
745,3.98,0,8
746,3.98,0,8
747,3.98,0,8
748,3.98,0,8
749,3.98,0,8
750,3.98,0,8
751,3.98,0,8
752,3.98,0,8
753,3.98,0,8
754,3.98,0,8
755,3.98,0,8
756,3.98,0,8
757,3.98,0,8
758,3.98,0,8
759,3.98,0,8
760,3.98,0,8
761,3.98,0,8
762,3.98,0,8
763,3.98,0,8
764,3.98,0,8
765,3.98,0,8
766,3.98,0,8
767,3.98,0,8
768,3.98,0,8
769,3.98,0,8
770,3.98,0,8
771,3.98,0,8
772,3.98,0,8
773,3.98,0,8
774,3.98,0,8
775,3.98,0,8
776,3.98,0,8
777,3.98,0,8
778,3.98,0,8
779,3.98,0,8
780,3.98,0,8
781,3.98,0,8
782,3.98,0,8
783,3.98,0,8
784,3.98,0,8
785,3.98,0,8
786,3.98,0,8
787,3.98,0,8
788,3.98,0,8
789,3.98,0,8
790,3.98,0,8
791,3.98,0,8
792,3.98,0,8
793,3.98,0,8
794,3.98,0,8
795,3.98,0,8
796,3.98,0,8
797,3.98,0,8
798,3.98,0,8
799,3.98,0,8
800,3.98,0,8
801,3.98,0,8
802,3.98,0,8
803,3.98,0,8
804,3.98,0,8
805,3.98,0,8
806,3.98,0,8
807,3.98,0,8
808,3.98,0,8
809,3.98,0,8
810,3.98,0,8
811,3.98,0,8
812,3.98,0,8
813,3.98,0,8
814,3.98,0,8
815,3.98,0,8
816,3.98,0,8
817,3.98,0,8
818,3.98,0,8
819,3.98,0,8
820,3.98,0,8
821,3.98,0,8
822,3.98,0,8
823,3.98,0,8
824,3.98,0,8
825,3.98,0,8
826,3.98,0,8
827,3.98,0,8
828,3.98,0,8
829,3.98,0,8
830,3.98,0,8
831,3.98,0,8
832,3.98,0,8
833,3.98,0,8
834,3.98,0,8
835,3.98,0,8
836,3.98,0,8
837,3.98,0,8
838,3.98,0,8
839,3.98,0,8
840,3.98,0,8
841,3.98,0,8
842,3.98,0,8
843,3.98,0,8
844,3.98,0,8
845,3.98,0,8
846,3.98,0,8
847,3.98,0,8
848,3.98,0,8
849,3.98,0,8
850,3.98,0,8
851,3.98,0,8
852,3.98,0,8
853,3.98,0,8
854,3.98,0,8
855,3.98,0,8
856,3.98,0,8
857,3.98,0,8
858,3.98,0,8
859,3.98,0,8
860,3.98,0,8
861,3.98,0,8
862,3.98,0,8
863,3.98,0,8
864,3.98,0,8
865,3.98,0,8
866,3.98,0,8
867,3.98,0,8
868,3.98,0,8
869,3.98,0,8
870,3.98,0,8
871,3.98,0,8
872,3.98,0,8
873,3.98,0,8
874,3.98,0,8
875,3.98,0,8
876,3.98,0,8
877,3.98,0,8
878,3.98,0,8
879,3.98,0,8
880,3.98,0,8
881,3.98,0,8
882,3.98,0,8
883,3.98,0,8
884,3.98,0,8
885,3.98,0,8
886,3.98,0,8
887,3.98,0,8
888,3.98,0,8
