Names,Peak demand,Scale factor (multiples of representative networks),Share of zonal demand,Network_zones,DistrZones,CO_2_Max_ton_MWh,CO_2_Max_Mtons,CO_2_Import_ton_MWh,CO_2_Export_ton_MWh,RPS,CES,Share_in_MV,DistrLossFact_LV_Net_Quad,DistrLossFact_MV_Net_Linear,DistrLossFact_LV_Total_Linear,Predicted Average Loss at Peak,Assumed Distr. Headroom,Distr_Max_Inject,Distr_Max_Withdraw,Distr_Inject_Max_Reinforcement_MW,Distr_Withdraw_Max_Reinforcement_MW,Distr_MV_Reinforcement_Cost_per_MW_yr,Distr_LV_Reinforcement_Cost_per_MW_yr,DistrMarginFact_LV_Linear,DistrMarginFact_LV_Quad,DistrMarginFact_MV_Linear,DistrMargin_MV_Max,DistrMargin_MV_DiscountFact,Network_lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,Line_Loss_Percentage,Line_Max_Flow_MW,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MW_yr,Line_Voltage_kV,Line_Resistance_ohms,Line_X_ohms,Line_R_ohms,Thetha_max,Peak_Withdrawal_Hours,Peak_Injection_Hours,After_Tax_WACC,LineDistance_km
SPP_N,10000,0,0,z15,0,-1,-1,0,0,0.2,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,600,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
SPP_WEST,10000,0,0,z16,0,-1,-1,0,0,0.084835041,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1912,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
PJM_COMD,10000,0,0,z17,0,-1,-1,0,0,0.25,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,2000,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
PJM_West,10000,0,0,z18,0,-1,-1,0,0,0.096328473,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1400,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1732,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1949,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,905,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,956,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,300,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,2942,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
