R_ID,zone,Resource,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,TRADER,RPS,CES,Num_VRE_bins,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fixed_OM_cost_per_MWhyr,Inv_cost_charge_per_MWyr,Fixed_OM_cost_charge_per_MWyr,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Max_DSM_advance,DSM_energy_eff,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,voltage_level,Fixed_CAP,Fixed_CAP_MW,InveterLoadRatio,EtaInverter,Hydro_Res_flexibility_days,Cost_sheet_name,index
11,11,Solar_z11_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,13,0,0,1,1,-1,-1,0,0,35507,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Solar_z11_01,11
12,12,Solar_z12_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,253,0,0,1,1,-1,-1,0,0,36275,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Solar_z12_01,12
13,13,Solar_z13_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,-1,-1,0,0,35419,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Solar_z13_01,13
14,14,Solar_z14_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,16,0,0,1,1,-1,-1,0,0,35419,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Solar_z14_01,14
15,15,Solar_z15_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,22,0,0,1,1,-1,-1,0,0,36541,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Solar_z15_01,15
16,16,Solar_z16_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,259,0,0,1,1,-1,-1,0,0,35153,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Solar_z16_01,16
17,17,Solar_z17_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,41,0,0,1,1,-1,-1,0,0,39613,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Solar_z17_01,17
18,18,Solar_z18_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,55,0,0,1,1,-1,-1,0,0,36305,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Solar_z18_01,18
19,1,Wind_z01_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,164,0,0,0,1,-1,-1,0,0,0,0,37555,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z01_02,19
20,1,Wind_z01_03,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,923,0,0,1,1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z01_03,20
