R_ID,Zone,region,Resource,Hydro_Energy_to_Power_Ratio,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,Num_VRE_Bins,LDS,RETRO,Num_RETRO_Sources,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh_In,Externality_cost_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Ratio_Power_to_Energy,Min_Duration,Max_Duration,Max_DSM_Delay,Max_DSM_Advance,DSM_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,voltage_level,cluster,Cost_sheet_name,index,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr
1,1,1,Solar_z01_01,1,0,1,0,0,0,0,1,0,0,0,28,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,37752,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z01_01,1,None,0,-1,None,0,-1
2,2,2,Solar_z02_01,1,0,1,0,0,0,0,1,0,0,0,10,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,36394,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z02_01,2,None,0,-1,None,0,-1
3,3,3,Solar_z03_01,1,0,1,0,0,0,0,1,0,0,0,15,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,37752,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z03_01,3,None,0,-1,None,0,-1
4,4,4,Solar_z04_01,1,0,1,0,0,0,0,1,0,0,0,723,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,36394,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z04_01,4,None,0,-1,None,0,-1
5,5,5,Solar_z05_01,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,36394,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z04_01,5,None,0,-1,None,0,-1
6,6,6,Solar_z06_01,1,0,1,0,0,0,0,1,0,0,0,92,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,37339,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z06_01,6,None,0,-1,None,0,-1
7,7,7,Solar_z07_01,1,0,1,0,0,0,0,1,0,0,0,209,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,35507,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z07_01,7,None,0,-1,None,0,-1
8,8,8,Solar_z08_01,1,0,1,0,0,0,0,1,0,0,0,216,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,37752,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z08_01,8,None,0,-1,None,0,-1
9,9,9,Solar_z09_01,1,0,1,0,0,0,0,1,0,0,0,3,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,37752,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z09_01,9,None,0,-1,None,0,-1
10,10,10,Solar_z10_01,1,0,1,0,0,0,0,1,0,0,0,8,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,36394,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z10_01,10,None,0,-1,None,0,-1
11,11,11,Solar_z11_01,1,0,1,0,0,0,0,1,0,0,0,13,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,35507,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z11_01,11,None,0,-1,None,0,-1
12,12,12,Solar_z12_01,1,0,1,0,0,0,0,1,0,0,0,253,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,36275,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z12_01,12,None,0,-1,None,0,-1
13,13,13,Solar_z13_01,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,35419,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z13_01,13,None,0,-1,None,0,-1
