Region,Resource,Zone,Cluster,AnnualSum
1,Solar_z01_01,1,1,1.277658e6
2,Solar_z02_01,2,1,4.181579e8
3,Solar_z03_01,3,1,4.2612794e8
4,Solar_z04_01,4,1,2.4349557e8
5,Solar_z05_01,5,1,1.777443e8
6,Solar_z06_01,6,1,8.775626e8
7,Solar_z07_01,7,1,1.1280822e9
8,Solar_z08_01,8,1,1.1914212e9
9,Solar_z09_01,9,1,1.00412904e8
10,Solar_z10_01,10,1,1.3557982e8
11,Solar_z11_01,11,1,3.2419706e8
12,Solar_z12_01,12,1,1.0737482e9
13,Solar_z13_01,13,1,1.6915928e8
14,Solar_z14_01,14,1,2.1637923e8
15,Solar_z15_01,15,1,4.7558275e8
16,Solar_z16_01,16,1,1.117889e9
17,Solar_z17_01,17,1,5.2145396e7
18,Solar_z18_01,18,1,1.2668655e9
1,Wind_z01_02,1,1,1.4948945e7
1,Wind_z01_03,1,1,9.6178074e8
2,Wind_z02_01,2,1,9.587997e8
2,Wind_z02_02,2,1,4.8907408e8
3,Wind_z03_01,3,1,7.935937e8
4,Wind_z04_01,4,1,3.1722822e8
4,Wind_z04_02,4,1,1.7921957e8
4,Wind_z04_03,4,1,2.0338097e9
4,Wind_z04_04,4,1,2.2083146e8
5,Wind_z05_01,5,1,6.2779588e7
5,Wind_z05_02,5,1,7.455335e8
6,Wind_z06_01,6,1,1.5248257e9
6,Wind_z06_02,6,1,2.3742019e9
7,Wind_z07_01,7,1,2.6669353e9
8,Wind_z08_01,8,1,1.2948845e8
8,Wind_z08_02,8,1,1.5876253e9
9,Wind_z09_01,9,1,1.1238227e9
9,Wind_z09_02,9,1,2.0517173e8
10,Wind_z10_01,10,1,3.7194096e8
10,Wind_z10_02,10,1,1.05641144e8
11,Wind_z11_01,11,1,8.3886317e8
12,Wind_z12_01,12,1,1.9837819e9
13,Wind_z13_01,13,1,3.2530178e7
13,Wind_z13_02,13,1,5.7463763e8
14,Wind_z14_01,14,1,6.7476344e7
14,Wind_z14_02,14,1,1.0521262e9
15,Wind_z15_01,15,1,1.9926392e8
15,Wind_z15_02,15,1,1.6882647e9
16,Wind_z16_01,16,1,2.305512e8
16,Wind_z16_02,16,1,3.0406328e9
16,Wind_z16_03,16,1,1.7306306e8
16,Wind_z16_04,16,1,1.5288004e7
17,Wind_z17_01,17,1,1.100987e8
17,Wind_z17_02,17,1,7.442249e7
18,Wind_z18_01,18,1,4.764877e7
18,Wind_z18_02,18,1,5.8021274e9
2,Hyd_z02_01,2,1,0.0
3,Hyd_z03_01,3,1,0.0
4,Hyd_z04_01,4,1,0.0
6,Hyd_z06_01,6,1,0.0
7,Hyd_z07_01,7,1,0.0
8,Hyd_z08_01,8,1,0.0
11,Hyd_z11_01,11,1,0.0
12,Hyd_z12_01,12,1,0.0
13,Hyd_z13_01,13,1,0.0
14,Hyd_z14_01,14,1,0.0
15,Hyd_z15_01,15,1,0.0
16,Hyd_z16_01,16,1,0.0
18,Hyd_z18_01,18,1,0.0
11,coal-new_1_z11,11,1,1247.2877
11,CoalOldUns_1_z11,11,1,1386.0516
11,gas-CC_1_z11,11,1,5655.5166
11,gas-CT_1_z11,11,1,2.2539612e7
11,nuclear_1_z11,11,1,7.6479866e8
11,o-g-s_1_z11,11,1,60602.113
10,coal-new_1_z10,10,1,1977.7662
10,CoalOldScr_1_z10,10,1,1708.2157
10,CoalOldScr_2_z10,10,1,1922.4877
10,gas-CC_1_z10,10,1,9364.304
10,gas-CT_1_z10,10,1,2.2881958e6
10,o-g-s_1_z10,10,1,9353.205
9,coal-new_1_z09,9,1,1500.8838
9,CoalOldScr_1_z09,9,1,1579.0228
9,gas-CC_1_z09,9,1,2199.474
9,gas-CC_2_z09,9,1,7256.7583
9,gas-CT_1_z09,9,1,7.480886e7
9,nuclear_1_z09,9,1,4.2259232e8
9,o-g-s_1_z09,9,1,776060.94
8,coal-IGCC_1_z08,8,1,1626.423
8,coal-new_1_z08,8,1,3189.6858
8,CoalOldScr_1_z08,8,1,2708.5823
8,gas-CC_1_z08,8,1,5031.2837
8,gas-CC_2_z08,8,1,2883.2415
8,gas-CC_3_z08,8,1,4133.7075
8,gas-CT_1_z08,8,1,1.5868808e8
8,o-g-s_1_z08,8,1,2.1618145e6
7,coal-new_1_z07,7,1,1287.365
7,CoalOldScr_1_z07,7,1,1134.8829
7,gas-CC_1_z07,7,1,3797.0127
7,gas-CC_2_z07,7,1,6076.7744
7,gas-CC_4_z07,7,1,4414.8345
7,gas-CT_1_z07,7,1,3.500006e7
7,nuclear_1_z07,7,1,1.6825955e9
7,o-g-s_1_z07,7,1,2215.0127
7,o-g-s_2_z07,7,1,1.862336e8
6,biopower_1_z06,6,1,2.236535e7
6,coal-new_1_z06,6,1,644.3289
6,CoalOldScr_1_z06,6,1,596.8208
6,gas-CC_1_z06,6,1,2558.1328
18,gas-CC_2_z18,18,1,1.1444997e8
6,gas-CT_1_z06,6,1,1.4790677e8
6,nuclear_1_z06,6,1,6.956477e8
6,o-g-s_1_z06,6,1,1783.356
5,coal-new_1_z05,5,1,1982.2445
5,CoalOldScr_1_z05,5,1,1655.049
5,gas-CC_1_z05,5,1,12391.047
5,gas-CT_1_z05,5,1,1.7819346e7
5,o-g-s_1_z05,5,1,1.0196203e6
4,biopower_1_z04,4,1,1.4158329e7
4,coal-new_1_z04,4,1,1119.5254
4,CoalOldScr_1_z04,4,1,1198.064
4,CoalOldScr_2_z04,4,1,987.7308
4,gas-CC_1_z04,4,1,2.5193986e8
4,gas-CT_1_z04,4,1,1.21478904e8
4,gas-CT_2_z04,4,1,3.0358224e7
4,nuclear_1_z04,4,1,4.4669293e8
4,o-g-s_1_z04,4,1,814.83356
3,coal-new_1_z03,3,1,1374.4458
3,CoalOldUns_1_z03,3,1,2070.1638
3,CoalOldUns_2_z03,3,1,1807.5225
3,gas-CT_1_z03,3,1,3.4631316e7
3,nuclear_1_z03,3,1,4.3812944e8
