Resource,TechGroup,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Solar_z01_01,SolarPV,1,28,1.61E-05,0.000365221,28.00034909,0,0,0,0,0,0,0,0
Solar_z02_01,SolarPV,2,10,1.59E-05,9043.199379,9053.199364,0,0,0,0,0,0,0,0
Solar_z03_01,SolarPV,3,15,1.53E-05,8947.253179,8962.253164,0,0,0,0,0,0,0,0
Solar_z04_01,SolarPV,4,723,1.58E-05,4548.728926,5271.728911,0,0,0,0,0,0,0,0
Solar_z05_01,SolarPV,5,0,0,3848.202929,3848.202929,0,0,0,0,0,0,0,0
Solar_z06_01,SolarPV,6,92,1.55E-05,18526.46961,18618.4696,0,0,0,0,0,0,0,0
Solar_z07_01,SolarPV,7,209,1.63E-05,24692.38527,24901.38525,0,0,0,0,0,0,0,0
Solar_z08_01,SolarPV,8,216,1.53E-05,24841.76313,25057.76312,0,0,0,0,0,0,0,0
Solar_z09_01,SolarPV,9,3,1.53E-05,2108.873375,2111.873359,0,0,0,0,0,0,0,0
Solar_z10_01,SolarPV,10,8,1.59E-05,2927.334685,2935.334669,0,0,0,0,0,0,0,0
Solar_z11_01,SolarPV,11,13,1.63E-05,7143.359182,7156.359166,0,0,0,0,0,0,0,0
Solar_z12_01,SolarPV,12,253,1.59E-05,23053.89463,23306.89462,0,0,0,0,0,0,0,0
Solar_z13_01,SolarPV,13,1,1.63E-05,3740.310885,3741.310869,0,0,0,0,0,0,0,0
Solar_z14_01,SolarPV,14,16,1.64E-05,4769.676446,4785.67643,0,0,0,0,0,0,0,0
Solar_z15_01,SolarPV,15,22,1.59E-05,10241.7924,10263.79238,0,0,0,0,0,0,0,0
Solar_z16_01,SolarPV,16,259,1.64E-05,24611.72608,24870.72606,0,0,0,0,0,0,0,0
Solar_z17_01,SolarPV,17,41,1.46E-05,1014.411135,1055.41112,0,0,0,0,0,0,0,0
Solar_z18_01,SolarPV,18,55,1.60E-05,27425.82333,27480.82332,0,0,0,0,0,0,0,0
Wind_z01_02,Wind,1,164,0.001243559,0,163.9987564,0,0,0,0,0,0,0,0
Wind_z01_03,Wind,1,923,9.65E-06,8826.5305,9749.53049,0,0,0,0,0,0,0,0
Wind_z02_01,Wind,2,73,9.29E-06,9382.812618,9455.812609,0,0,0,0,0,0,0,0
Wind_z02_02,Wind,2,650,9.26E-06,4173.319023,4823.319014,0,0,0,0,0,0,0,0
Wind_z03_01,Wind,3,0,0,8044.628688,8044.628688,0,0,0,0,0,0,0,0
Wind_z04_01,Wind,4,3674,0.001804052,0,3673.998196,0,0,0,0,0,0,0,0
Wind_z04_02,Wind,4,2885,0.004212163,0,2884.995788,0,0,0,0,0,0,0,0
Wind_z04_03,Wind,4,202,9.27E-06,19855.69588,20057.69587,0,0,0,0,0,0,0,0
Wind_z04_04,Wind,4,1110,9.23E-06,1067.875083,2177.875073,0,0,0,0,0,0,0,0
Wind_z05_01,Wind,5,1029,0.002623285,0,1028.997377,0,0,0,0,0,0,0,0
Wind_z05_02,Wind,5,3935,9.27E-06,3417.553285,7352.553276,0,0,0,0,0,0,0,0
Wind_z06_01,Wind,6,1181,8.31E-06,12882.68111,14063.68111,0,0,0,0,0,0,0,0
Wind_z06_02,Wind,6,688,8.30E-06,21209.59229,21897.59228,0,0,0,0,0,0,0,0
Wind_z07_01,Wind,7,0,0,27034.60129,27034.60129,0,0,0,0,0,0,0,0
Wind_z08_01,Wind,8,1339,1.55E-05,0,1338.999984,0,0,0,0,0,0,0,0
