Costs,Total,Zone1,Zone2,Zone3
cTotal,2.8365109377955406e10,1.7516960969907745e10,2.068423212284082e10,2.249919493736488e10
cFix,6.643628433065765e10,1.9513395079729607e10,2.294492198084972e10,2.3977967270078327e10
cVar,1.1203878999507502e8,7.81714438417101e7,2.272944939597621e7,1.1137896757388894e7
cNSE,784302.4717044875,583993.6804956964,0.0,200308.7912087912
cStart,1.8480088274710685e7,1.2470825556624884e7,4.622225684085329e6,1.387037034000462e6
cUnmetRsv,0.0,-,-,-
cNetworkExp,8.865292793155552e8,-,-,-
