BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t700,33082.83287212331,9.407917876695137,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40384.24079
t701,35947.25630342802,0.0,-11.614713428018689,0.0,0.0,0.0,0.0,0.0,0.0,-43227.64159
t702,37530.836003927776,672.3568960722256,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45495.1929
t703,39377.15755206448,0.0,-830.0702420644759,0.0,0.0,0.0,0.0,0.0,0.0,-45839.08731
t704,37591.75438793553,830.0702420644759,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45713.82463
t705,38209.54662,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45501.54662
t706,37983.86515,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45275.86515
t707,38466.99897385686,0.0,-630.8994138568578,0.0,0.0,0.0,0.0,0.0,0.0,-45128.09956
t708,37623.59903,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44915.59903
t709,37881.022012765956,0.0,-393.8786627659521,0.0,0.0,0.0,0.0,0.0,0.0,-44779.14335
t710,37499.029,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44791.029
t711,37829.82643,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45121.82643
t712,39634.76721,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46926.76721
t713,41191.71333,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48483.71333
t714,40763.009403927776,672.3568960722255,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48727.3663
t715,41146.96832,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48438.96832
t716,40866.47820206447,0.0,-830.0702420644759,0.0,0.0,0.0,0.0,0.0,0.0,-47328.40796
t717,38188.56899,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45480.56899
t718,36392.34916,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43684.34916
t719,35351.71335,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42643.71335
t720,34334.20577,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41626.20577
t721,34132.75268,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41424.75268
t722,33905.45424,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41197.45424
t723,34402.58247,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41694.58247
t724,35931.62126,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43223.62126
t725,38750.51959000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46042.51959
t726,39714.746671820016,774.3123481799958,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47781.05902
t727,39909.709686115515,55.75789388448021,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47257.46758
t728,40345.323730000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47637.32373
t729,39421.76183,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46713.76183
t730,38900.14811,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46192.14811
t731,38385.9193,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45677.9193
t732,38300.12367455834,0.0,-194.70783455833396,0.0,0.0,0.0,0.0,0.0,0.0,-45397.41584
t733,38577.17394206447,0.0,-830.0702420644759,0.0,0.0,0.0,0.0,0.0,0.0,-45039.1037
t734,37594.03899,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44886.03899
t735,38085.43702,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45377.43702
t736,39654.79442,1.0231815394945442e-13,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46946.79442
t737,40893.4345,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48185.4345
t738,40133.556067935526,830.0702420644759,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48255.62631
t739,41022.696682716734,0.0,-622.0123627167297,0.0,0.0,0.0,0.0,0.0,0.0,-47692.68432
t740,39539.86300390608,0.0,-402.76571390608024,0.0,0.0,0.0,0.0,0.0,0.0,-46429.09729
t741,37441.78851,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44733.78851
t742,35595.19806,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42887.19806
t743,34277.90888,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41569.90888
t744,33618.5397,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40910.5397
t745,33196.36095,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40488.36095
