Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,IterativelyAddPeriods,Threshold,IterateMethod,nReps,LoadWeight,ClusterFuelPrices,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,,,,,,,,,,,,62,10127.330722044191,2893.058393061397,1380.4652815422533
,,,,,,,,,,,,,,,,,,,63,10018.776059637812,2861.3115575977145,1365.1040209909668
,,,,,,,,,,,,,,,,,,,64,10026.968864347728,2863.3597405308547,1367.1521890644717
,,,,,,,,,,,,,,,,,,,65,10528.778152830047,3006.7325458507116,1435.7658195268834
,,,,,,,,,,,,,,,,,,,66,11451.492783284271,3270.9481442258766,1561.7281560474303
,,,,,,,,,,,,,,,,,,,67,11461.733789171665,3272.9963271590177,1562.7522400841826
,,,,,,,,,,,,,,,,,,,68,11189.323032566977,3195.1653756996666,1524.8611307243436
,,,,,,,,,,,,,,,,,,,69,10745.887477642806,3069.2021253115067,1464.440172555951
,,,,,,,,,,,,,,,,,,,70,10011.607355516637,2859.263374664573,1364.0799369542146
,,,,,,,,,,,,,,,,,,,71,9094.01322800611,2597.0959592225495,1240.1657685071725
,,,,,,,,,,,,,,,,,,,72,8235.81693464247,2352.3380987122223,1122.3961042806452
,,,,,,,,,,,,,,,,,,,73,7683.826717311919,2194.62801286038,1047.6379695977187
,,,,,,,,,,,,,,,,,,,74,7406.295457763535,2114.748878467888,1009.7468602378797
,,,,,,,,,,,,,,,,,,,75,7282.379286526064,2079.9297686044947,992.3374316130885
,,,,,,,,,,,,,,,,,,,76,7288.5238900585,2081.977951537635,993.3615156498408
,,,,,,,,,,,,,,,,,,,77,7523.042924879829,2148.5438968647113,1025.1081207891657
,,,,,,,,,,,,,,,,,,,78,8281.901461135743,2364.6271963110676,1128.5406085011596
,,,,,,,,,,,,,,,,,,,79,9718.714587137161,2775.2878744058003,1325.1647435576228
,,,,,,,,,,,,,,,,,,,80,10520.58534812013,3004.6843629175714,1434.741735490131
,,,,,,,,,,,,,,,,,,,81,10587.151886388194,3023.1180093158387,1442.9344077841504
,,,,,,,,,,,,,,,,,,,82,10646.54972053508,3040.5275642475353,1452.151164114922
,,,,,,,,,,,,,,,,,,,83,10694.682448205833,3053.8407533129507,1458.2956683354364
,,,,,,,,,,,,,,,,,,,84,10667.03173230987,3046.6721130469577,1454.1993321884268
,,,,,,,,,,,,,,,,,,,85,10560.525271080967,3015.9493690498452,1439.862155673893
,,,,,,,,,,,,,,,,,,,86,10503.175638111561,2999.563905584719,1431.6694833798738
