Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
50000,1,1,1,2000,1,24,8736,1,22324,11162
,2,0.9,0.04,1800,,,,2,21112,10556
,3,0.55,0.024,1100,,,,3,20210,10105
,,,,,,,,4,19756,9878
,,,,,,,,5,19686,9843
,,,,,,,,6,20034,10017
,,,,,,,,7,20780,10390
,,,,,,,,8,21454,10727
,,,,,,,,9,22596,11298
,,,,,,,,10,23718,11859
,,,,,,,,11,24392,12196
,,,,,,,,12,24642,12321
,,,,,,,,13,24762,12381
,,,,,,,,14,24540,12270
,,,,,,,,15,24298,12149
,,,,,,,,16,24438,12219
,,,,,,,,17,26820,13410
,,,,,,,,18,29078,14539
,,,,,,,,19,28908,14454
,,,,,,,,20,28024,14012
,,,,,,,,21,26988,13494
,,,,,,,,22,25544,12772
,,,,,,,,23,23754,11877
,,,,,,,,24,21748,10874
