,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t17,11591.025292022729,0.0,-0.0,0,-0.0,0.0,0.0,-775.4054420621022,-7.619849960627961,-10808.0,3086.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-3086.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,775.4054420621022,-7.619849960627961,-1474.0
t18,12408.950635383648,0.0,-0.0,0,-0.0,0.0,0.0,-873.3681137425617,-8.582521641087451,-11527.0,3292.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-3292.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,873.3681137425617,-8.582521641087451,-1571.0
t19,12413.970484284277,0.0,-0.0,0,-0.0,0.0,0.0,-874.3780381928757,-8.592446091401467,-11531.0,3293.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-3293.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,874.3780381928757,-8.592446091401467,-1572.0
t20,12174.414715066694,0.0,-0.0,0,-0.0,0.0,0.0,-846.1001535840833,-8.314561482609037,-11320.0,3233.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-3233.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,846.1001535840833,-8.314561482609037,-1544.0
t21,11701.283327730895,0.0,-0.0,0,-0.0,0.0,0.0,-788.5344599161843,-7.7488678147101595,-10905.0,3115.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-3115.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,788.5344599161843,-7.7488678147101595,-1487.0
t22,10922.41753107186,0.0,-0.0,0,-0.0,0.0,0.0,-693.6015615866669,-6.8159694851927135,-10222.0,2920.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2920.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,693.6015615866669,-6.8159694851927135,-1393.0
t23,10052.353245406546,0.0,-0.0,0,-0.0,0.0,0.0,-588.5694187540093,-5.783826652535115,-9458.0,2701.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2701.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,588.5694187540093,-5.783826652535115,-1289.0
t24,9170.2691108406,0.0,-0.0,0,-0.0,0.0,0.0,-482.5273514710377,-4.7417593695635,-8683.0,2479.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2479.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,482.5273514710377,-4.7417593695635,-1184.0
t25,8535.76059439287,0.0,-0.0,0,-0.0,0.0,0.0,-405.77309324717254,-3.9875011456983307,-8126.0,2321.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2321.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,405.77309324717254,-3.9875011456983307,-1108.0
t26,8211.986487268377,0.0,-0.0,0,-0.0,0.0,0.0,-366.38603968492595,-3.6004475834517313,-7842.0,2239.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2239.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,366.38603968492595,-3.6004475834517313,-1069.0
