Line,1,2,Total
Sum,-4.14084e6,-1.216806e6,-5.357646e6
t1,0.0,-3162.9208600863208,-3162.9208600863208
t2,0.0,-3273.2511333970947,-3273.2511333970947
t3,-3424.861556957805,-3458.687661394303,-6883.549218352108
t4,0.0,-2433.6115949598684,-2433.6115949598684
t5,-3424.861556957805,-2607.2669726062923,-6032.128529564097
t6,0.0,-3411.9892197420336,-3411.9892197420336
t7,0.0,-3289.813392718661,-3289.813392718661
t8,0.0,-2444.331200075256,-2444.331200075256
t9,-3185.597484600314,-2306.1827446645652,-5491.780229264879
t10,-3424.861556957805,-212.45653412741174,-3637.318091085217
t11,1101.8148104274583,586.8519260451408,1688.666736472599
t12,0.0,911.1049147642487,911.1049147642487
t13,979.8411468574367,1027.9770286778576,2007.8181755352944
t14,-716.524047870384,1117.0884253936697,400.56437752328566
t15,-3424.861556957805,935.4886924956536,-2489.3728644621515
t16,0.0,369.77439066401644,369.77439066401644
t17,-948.4412105312225,-1014.6421813715745,-1963.0833919027968
t18,0.0,-2784.6613358310638,-2784.6613358310638
t19,0.0,-3630.507100690752,-3630.507100690752
t20,0.0,-3882.8122436655053,-3882.8122436655053
t21,0.0,-3735.517940969856,-3735.517940969856
t22,0.0,-4019.5155974172626,-4019.5155974172626
t23,-3424.861556957805,-3890.2423760759466,-7315.103933033752
t24,0.0,-4169.688354734948,-4169.688354734948
t25,0.0,-4427.189715195471,-4427.189715195471
t26,-2332.7868097589126,-4419.149473651197,-6751.936283410109
t27,-1855.393499881888,-4782.172824093614,-6637.566323975501
t28,-1553.5953725224192,-5091.1503102920815,-6644.7456828145005
t29,-1993.8364245162666,-4891.6576262667795,-6885.494050783046
t30,-3040.96980727158,-4578.8936623269965,-7619.863469598577
t31,-3424.861556957805,-4298.610263832416,-7723.4718207902215
t32,-3424.861556957805,-4918.738166636485,-8343.59972359429
t33,0.0,-4936.29324325594,-4936.29324325594
t34,3424.861556957805,-4718.749900275024,-1293.8883433172186
t35,3424.861556957805,-4430.1278433323205,-1005.2662863745154
t36,3424.861556957805,-3353.1159661552365,71.74559080256859
t37,3424.861556957805,-3214.796761605809,210.06479535199605
t38,3424.861556957805,-3500.587114155731,-75.72555719792581
t39,3424.861556957805,-3967.61427040103,-542.7527134432248
t40,-481.20859409886964,-4118.429121594791,-4599.6377156936605
t41,0.0,-4485.975228012239,-4485.975228012239
t42,-1836.8539136574698,-4640.151562612706,-6477.005476270176
t43,0.0,-4344.645147820032,-4344.645147820032
t44,0.0,-4657.290727678867,-4657.290727678867
t45,0.0,-4539.913780244526,-4539.913780244526
t46,-3424.861556957805,-5058.725315269638,-8483.586872227443
t47,-2965.957543528663,-5149.047237289006,-8115.00478081767
t48,-2051.3299142679734,-5149.047237289006,-7200.37715155698
t49,-1858.747343745871,-4758.60804689476,-6617.355390640631
t50,-2018.3351321203663,-4228.795764406354,-6247.13089652672
t51,0.0,-4602.295978566627,-4602.295978566627
t52,-1430.5724999761565,-4591.506269362485,-6022.078769338641
t53,-1909.3165834711606,-4316.000484928141,-6225.317068399302
t54,-2441.3324257048826,-4463.709619174884,-6905.042044879767
t55,-3310.8293545995775,-4947.314986973223,-8258.1443415728
t56,0.0,-4800.679974252877,-4800.679974252877
t57,-1261.438838294557,-3853.0128367800153,-5114.451675074572
t58,3424.861556957805,-3548.912678166498,-124.05112120869308
t59,8.02200025899428,1306.1496138250957,1314.17161408409
t60,1325.165284282952,1300.0900671232114,2625.2553514061633
t61,-278.63025429493564,1283.9312759181873,1005.3010216232517
t62,-3424.861556957805,1273.8320314150471,-2151.029525542758
t63,1235.8046783276156,1258.6831646603368,2494.4878429879527
t64,-3424.861556957805,0.0,-3424.861556957805
