Costs,Total,Zone1,Zone2,Zone3
cTotal,4.985639201738807e10,3.257442694245457e10,3.955654673649089e10,9.145110411616056e9
cFix,1.1689196194345097e11,4.155719278967242e10,6.547813747109354e10,9.856631682685015e9
cVar,1.5581531320002854e8,9.591633000575402e7,4.831037932049355e7,1.158860387377963e7
cNSE,1.9543578049450547e8,1.3618204148351648e8,3.8892494780219786e7,2.0361244230769232e7
cStart,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-
cNetworkExp,4.429762077505347e8,-,-,-
