Time_Index,solar_pv,natural_gas_combined_cycle
1,0.000000,1.000000
2,0.000000,1.000000
3,0.000000,1.000000
4,0.000000,1.000000
5,0.000000,1.000000
6,0.000000,1.000000
7,0.000000,1.000000
8,0.000000,1.000000
9,0.010542,1.000000
10,0.034638,1.000000
11,0.049698,1.000000
12,0.060240,1.000000
13,0.067770,1.000000
14,0.051204,1.000000
15,0.019578,1.000000
16,0.001506,1.000000
17,0.000000,1.000000
18,0.000000,1.000000
19,0.000000,1.000000
20,0.000000,1.000000
21,0.000000,1.000000
22,0.000000,1.000000
23,0.000000,1.000000
24,0.000000,1.000000
