region,Resource,cluster,R_ID,Zone,Resource_VRE,Resource_GRID,Resource_STOR,ESR,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,Cap_size,Existing_Cap_MWh,Existing_Cap_MW,Existing_Cap_Grid_MW,Min_Cap_VRE_MW,Max_Cap_VRE_MW,Min_Cap_Stor_MWh,Max_Cap_Stor_MWh,Min_Cap_Grid_MW,Max_Cap_Grid_MW,capex_VRE,Inv_Cost_VRE_per_MWyr,Fixed_OM_VRE_Cost_per_MWyr,capex_GRID,Inv_Cost_GRID_per_MWyr,Fixed_OM_GRID_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Fuel,Heat_Rate_MMBTU_per_MWh,Min_power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,EtaInverter,Ratio_VRE_STOR,Inverter_Ratio,Power_To_Energy_Ratio
CA_N,CA_N_utilitypv_losangeles_low_90_0_2_1,CA_N_1,1,1,CA_N_utilitypv_losangeles_low_90_0_2_1_hybrid,CA_N_utilitypv_losangeles_low_90_0_2_1_grid,storage_hybrid,1,1,0,0,0,0,0,1,0,0,0,0,14069.2214,0.006,0.006,-1,-1,709187.2288,33563.48553,8113.7,124728.7337,16467.07122,3477.3,153294.7084,12316.52536,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
CA_N,CA_N_utilitypv_losangeles_low_90_0_2_2,CA_N_2,2,1,CA_N_utilitypv_losangeles_low_90_0_2_2_hybrid,CA_N_utilitypv_losangeles_low_90_0_2_2_grid,storage_hybrid,1,1,0,0,0,0,0,1,0,0,0,0,59918.625,0.001,0.001,-1,-1,709187.2288,33563.48553,8113.7,124728.7337,20957.35422,3477.3,153294.7084,12316.52536,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
CA_N,CA_N_utilitypv_losangeles_low_90_0_2_3,CA_N_3,3,1,CA_N_utilitypv_losangeles_low_90_0_2_3_hybrid,CA_N_utilitypv_losangeles_low_90_0_2_3_grid,storage_hybrid,1,1,0,0,0,0,0,1,0,0,0,0,23859.225,20080.932,20080.932,-1,-1,709187.2288,33563.48553,8113.7,124728.7337,14981.53022,3477.3,153294.7084,12316.52536,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
CA_N,CA_N_utilitypv_losangeles_low_90_0_2_4,CA_N_4,4,1,CA_N_utilitypv_losangeles_low_90_0_2_4_hybrid,CA_N_utilitypv_losangeles_low_90_0_2_4_grid,storage_hybrid,1,1,0,0,0,0,0,1,0,0,0,0,32253.975,0.001,0.001,-1,-1,709187.2288,33563.48553,8113.7,124728.7337,19476.10122,3477.3,153294.7084,12316.52536,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
CA_S,CA_S_utilitypv_losangeles_low_90_0_2_1,CA_S_1,5,2,CA_S_utilitypv_losangeles_low_90_0_2_1_hybrid,CA_S_utilitypv_losangeles_low_90_0_2_1_grid,storage_hybrid,1,0,1,0,0,0,0,1,0,0,0,0,21249.3684,0,0,-1,-1,692831.4348,32789.41991,8113.7,121852.1485,18495.2324,3477.3,153441.9656,12328.3568,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
CA_S,CA_S_utilitypv_losangeles_low_90_0_2_2,CA_S_2,6,2,CA_S_utilitypv_losangeles_low_90_0_2_2_hybrid,CA_S_utilitypv_losangeles_low_90_0_2_2_grid,storage_hybrid,1,0,1,0,0,0,0,1,0,0,0,0,23687.2038,0,0,-1,-1,692831.4348,32789.41991,8113.7,121852.1485,23317.6214,3477.3,153441.9656,12328.3568,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
CA_S,CA_S_utilitypv_losangeles_low_90_0_2_3,CA_S_3,7,2,CA_S_utilitypv_losangeles_low_90_0_2_3_hybrid,CA_S_utilitypv_losangeles_low_90_0_2_3_grid,storage_hybrid,1,0,1,0,0,0,0,1,0,0,0,0,33960.6579,0,0,-1,-1,692831.4348,32789.41991,8113.7,121852.1485,17468.3924,3477.3,153441.9656,12328.3568,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
CA_S,CA_S_utilitypv_losangeles_low_90_0_2_4,CA_S_4,8,2,CA_S_utilitypv_losangeles_low_90_0_2_4_hybrid,CA_S_utilitypv_losangeles_low_90_0_2_4_grid,storage_hybrid,1,0,1,0,0,0,0,1,0,0,0,0,83298.15,0.001,0.001,-1,-1,692831.4348,32789.41991,8113.7,121852.1485,20193.8554,3477.3,153441.9656,12328.3568,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
WECC_N,WECC_N_utilitypv_losangeles_low_70_0_2_1,WECC_N_1,9,3,WECC_N_utilitypv_losangeles_low_70_0_2_1_hybrid,WECC_N_utilitypv_losangeles_low_70_0_2_1_grid,storage_hybrid,1,0,0,1,0,0,0,1,0,0,0,0,1307.475,754.936,754.936,-1,-1,645072.5163,30529.14828,8113.7,113452.5198,8115.057661,3477.3,151822.1368,12198.211,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
WECC_N,WECC_N_utilitypv_losangeles_low_70_0_2_2,WECC_N_2,10,3,WECC_N_utilitypv_losangeles_low_70_0_2_2_hybrid,WECC_N_utilitypv_losangeles_low_70_0_2_2_grid,storage_hybrid,1,0,0,1,0,0,0,1,0,0,0,0,7454.1025,4265.587,4265.587,-1,-1,645072.5163,30529.14828,8113.7,113452.5198,10632.73066,3477.3,151822.1368,12198.211,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
WECC_N,WECC_N_utilitypv_losangeles_low_70_0_2_3,WECC_N_3,11,3,WECC_N_utilitypv_losangeles_low_70_0_2_3_hybrid,WECC_N_utilitypv_losangeles_low_70_0_2_3_grid,storage_hybrid,1,0,0,1,0,0,0,1,0,0,0,0,7005.375,0,0,-1,-1,645072.5163,30529.14828,8113.7,113452.5198,8053.657661,3477.3,151822.1368,12198.211,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
WECC_N,WECC_N_utilitypv_losangeles_low_70_0_2_4,WECC_N_4,12,3,WECC_N_utilitypv_losangeles_low_70_0_2_4_hybrid,WECC_N_utilitypv_losangeles_low_70_0_2_4_grid,storage_hybrid,1,0,0,1,0,0,0,1,0,0,0,0,37705.6745,4353.492,4353.492,-1,-1,645072.5163,30529.14828,8113.7,113452.5198,13489.36366,3477.3,151822.1368,12198.211,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
WECC_N,WECC_N_utilitypv_losangeles_low_70_0_2_5,WECC_N_5,13,3,WECC_N_utilitypv_losangeles_low_70_0_2_5_hybrid,WECC_N_utilitypv_losangeles_low_70_0_2_5_grid,storage_hybrid,1,0,0,1,0,0,0,1,0,0,0,0,5101.2,0,0,-1,-1,645072.5163,30529.14828,8113.7,113452.5198,10072.03766,3477.3,151822.1368,12198.211,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
WECC_N,WECC_N_utilitypv_losangeles_low_70_0_2_6,WECC_N_6,14,3,WECC_N_utilitypv_losangeles_low_70_0_2_6_hybrid,WECC_N_utilitypv_losangeles_low_70_0_2_6_grid,storage_hybrid,1,0,0,1,0,0,0,1,0,0,0,0,6666.075,0.002,0.002,-1,-1,645072.5163,30529.14828,8113.7,113452.5198,9125.146661,3477.3,151822.1368,12198.211,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
WECC_N,WECC_N_utilitypv_losangeles_low_70_0_2_7,WECC_N_7,15,3,WECC_N_utilitypv_losangeles_low_70_0_2_7_hybrid,WECC_N_utilitypv_losangeles_low_70_0_2_7_grid,storage_hybrid,1,0,0,1,0,0,0,1,0,0,0,0,57537.0055,0.001,0.001,-1,-1,645072.5163,30529.14828,8113.7,113452.5198,16542.80266,3477.3,151822.1368,12198.211,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
WECC_N,WECC_N_utilitypv_losangeles_low_70_0_2_8,WECC_N_8,16,3,WECC_N_utilitypv_losangeles_low_70_0_2_8_hybrid,WECC_N_utilitypv_losangeles_low_70_0_2_8_grid,storage_hybrid,1,0,0,1,0,0,0,1,0,0,0,0,15669.225,0.001,0.001,-1,-1,645072.5163,30529.14828,8113.7,113452.5198,10430.15666,3477.3,151822.1368,12198.211,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_1,WECC_NMAZ_1,17,4,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_1_hybrid,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_1_grid,storage_hybrid,1,0,0,0,1,0,0,1,0,0,0,0,11914.4675,0.006,0.006,-1,-1,631333.6493,29878.93316,8113.7,111036.1882,7539.391256,3477.3,149024.2506,11973.41371,3681.429116,0,0,None,0,0,0,0.95,0.95,1,10,0.9,0,-1,0.25
