Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
50000,1,1,1,1,24,8736,1,22324
,,,,,,,2,21112
,,,,,,,3,20210
,,,,,,,4,19756
,,,,,,,5,19686
,,,,,,,6,20034
,,,,,,,7,20780
,,,,,,,8,21454
,,,,,,,9,22596
,,,,,,,10,23718
,,,,,,,11,24392
,,,,,,,12,24642
,,,,,,,13,24762
,,,,,,,14,24540
,,,,,,,15,24298
,,,,,,,16,24438
,,,,,,,17,26820
,,,,,,,18,29078
,,,,,,,19,28908
,,,,,,,20,28024
,,,,,,,21,26988
,,,,,,,22,25544
,,,,,,,23,23754
,,,,,,,24,21748
