Iteration_Number,Seconds,Upper_Bound,Lower_Bound,Relative_Gap
1,1075.0030000209808,14931.84694437414,13697.580574950516,0.09010834889197812
2,200.16599988937378,14931.84694437414,14090.524753312024,0.05970836471965747
3,177.70700001716614,14931.84694437414,14293.466571923103,0.04466238957769821
4,52.78000020980835,14909.611807868063,14303.416915509737,0.04238112445013092
5,39.90899991989136,14909.611807868063,14484.677054683703,0.029336846902427452
6,86.63100004196167,14909.611807868063,14730.927534355262,0.012129872548492023
7,43.57299995422363,14781.167125833412,14738.277777289499,0.0029100651508958556
