Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
NENGREST_biomass_1,1,106.062,106.062,106.062,106.062
NENGREST_conventional_hydroelectric_1,1,662.983,662.983,662.983,662.983
NENGREST_hydroelectric_pumped_storage_1,1,1768.002,1768.002,1768.002,1768.002
NENGREST_natural_gas_fired_combined_cycle_1,1,7077.3,7077.3,7077.3,7077.3
NENGREST_natural_gas_fired_combined_cycle_2,1,2684.803,2684.803,2684.803,2684.803
NENGREST_natural_gas_fired_combustion_turbine_1,1,302.701,302.701,302.701,302.701
NENGREST_natural_gas_fired_combustion_turbine_2,1,62.70399999999999,62.70399999999999,62.70399999999999,62.70399999999999
NENGREST_natural_gas_steam_turbine_1,1,0.6,0.6,0.6,0.6
NENGREST_nuclear_1,1,1242.0,0.0,0.0,0.0
NENGREST_offshore_wind_turbine_1,1,30.0,30.0,30.0,30.0
NENGREST_onshore_wind_turbine_1,1,145.8,0.0,0.0,0.0
NENGREST_small_hydroelectric_1,1,186.355,186.355,186.355,186.355
NENGREST_solar_photovoltaic_1,1,821.4,821.4,821.4,821.4
NENG_CT_biomass_1,2,27.248,27.248,27.248,27.248
NENG_CT_conventional_hydroelectric_1,2,67.7,67.7,67.7,67.7
NENG_CT_hydroelectric_pumped_storage_1,2,30.999,30.999,30.999,30.999
NENG_CT_natural_gas_fired_combined_cycle_1,2,3488.704,3488.704,3488.704,3488.704
NENG_CT_natural_gas_fired_combined_cycle_2,2,35.2,35.2,35.2,35.2
NENG_CT_natural_gas_fired_combustion_turbine_1,2,434.0,434.0,434.0,434.0
NENG_CT_natural_gas_fired_combustion_turbine_2,2,124.9,124.9,124.9,124.9
NENG_CT_nuclear_1,2,2162.9,0.0,0.0,0.0
NENG_CT_onshore_wind_turbine_1,2,6.5,0.0,0.0,0.0
NENG_CT_small_hydroelectric_1,2,18.711,18.711,18.711,18.711
NENG_CT_solar_photovoltaic_1,2,374.6,374.6,374.6,374.6
NENG_ME_biomass_1,3,24.95,24.95,24.95,24.95
NENG_ME_conventional_hydroelectric_1,3,327.81,327.81,327.81,327.81
NENG_ME_natural_gas_fired_combined_cycle_1,3,274.5,274.5,274.5,274.5
NENG_ME_natural_gas_fired_combined_cycle_2,3,1114.1,1114.1,1114.1,1114.1
NENG_ME_natural_gas_fired_combustion_turbine_1,3,163.5,163.5,163.5,163.5
NENG_ME_onshore_wind_turbine_1,3,1190.9,0.0,0.0,0.0
NENG_ME_small_hydroelectric_1,3,195.266,195.266,195.266,195.266
NENG_ME_solar_photovoltaic_1,3,11.8,11.8,11.8,11.8
NENGREST_naturalgas_ccccsavgcf_mid_0,1,0.0,0.0,0.0,0.0
NENGREST_naturalgas_ccavgcf_mid_0,1,0.0,0.0,0.0,0.0
NENGREST_naturalgas_ctavgcf_mid_0,1,0.0,1078.4361228303026,0.0,0.0
NENGREST_battery_mid_0,1,0.0,0.0,0.0,0.0
NENGREST_naturalgas_ccs100_mid_0,1,0.0,0.0,0.0,0.0
NENGREST_landbasedwind_ltrg1_mid_130_1,1,0.0,0.0,0.0,0.0
NENGREST_utilitypv_losangeles_mid_80_0_2_1,1,0.0,0.0,0.0,0.0
NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,1,0.0,0.0,0.0,0.0
NENG_CT_naturalgas_ccccsavgcf_mid_0,2,0.0,0.0,0.0,0.0
NENG_CT_naturalgas_ccavgcf_mid_0,2,0.0,0.0,1003.0713491784229,0.0
NENG_CT_naturalgas_ctavgcf_mid_0,2,0.0,0.0,0.0,695.8023569686729
NENG_CT_battery_mid_0,2,0.0,0.0,0.0,0.0
NENG_CT_naturalgas_ccs100_mid_0,2,0.0,0.0,0.0,0.0
NENG_CT_landbasedwind_ltrg1_mid_110_1,2,0.0,0.0,0.0,0.0
NENG_CT_utilitypv_losangeles_mid_80_0_2_1,2,0.0,0.0,0.0,0.0
NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,2,0.0,0.0,0.0,0.0
NENG_ME_naturalgas_ccccsavgcf_mid_0,3,0.0,0.0,0.0,0.0
NENG_ME_naturalgas_ccavgcf_mid_0,3,0.0,0.0,155.81627100000023,0.0
NENG_ME_naturalgas_ctavgcf_mid_0,3,0.0,41.35147214630674,0.0,91.75189880079998
NENG_ME_battery_mid_0,3,0.0,0.0,0.0,0.0
NENG_ME_naturalgas_ccs100_mid_0,3,0.0,0.0,0.0,0.0
NENG_ME_landbasedwind_ltrg1_mid_110_1,3,0.0,0.0,0.0,0.0
NENG_ME_utilitypv_losangeles_mid_100_0_2_1,3,0.0,0.0,0.0,0.0
NENGREST_heat_load_shifting_1,1,165.52,165.52,165.52,165.52
NENG_CT_heat_load_shifting_1,2,47.27,47.27,47.27,47.27
NENG_ME_heat_load_shifting_1,3,22.56,22.56,22.56,22.56
Total,n/a,25400.348,21772.035594976613,21811.135620178426,21439.80225576948
