Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,4.340974331602837e9,2.0198436033628175e9,1.4882627862157352e9
cVar,8.272523078002313e9,4.4389729340913105e9,3.2008473058950443e9
cNSE,6.967521233340329e8,1.6202927093461502e8,2.1303205491842106e8
cStart,1.1871864451254606e6,970470.4806929971,385032.194562752
cUnmetRsv,0.0,0.0,0.0
cNetworkExp,0.0,0.0,0.0
