Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
50000,1,1,1,8,24,24.0,1,11122.0
,,,,,,24.0,2,10655.0
,,,,,,1464.0,3,10441.0
,,,,,,1560.0,4,10365.0
,,,,,,2688.0,5,10639.0
,,,,,,24.0,6,11577.0
,,,,,,1584.0,7,13349.0
,,,,,,1392.0000000000002,8,14550.0
,,,,,,,9,14922.0
,,,,,,,10,15165.0
,,,,,,,11,15328.0
,,,,,,,12,15380.0
,,,,,,,13,15275.0
,,,,,,,14,15154.0
,,,,,,,15,14953.0
,,,,,,,16,14885.0
,,,,,,,17,15340.0
,,,,,,,18,16003.0
,,,,,,,19,15767.0
,,,,,,,20,15236.0
,,,,,,,21,14663.0
,,,,,,,22,13889.0
,,,,,,,23,12855.0
,,,,,,,24,11809.0
,,,,,,,25,14935.0
,,,,,,,26,14062.0
,,,,,,,27,13498.0
,,,,,,,28,13146.0
,,,,,,,29,13178.0
,,,,,,,30,13712.0
,,,,,,,31,15192.0
,,,,,,,32,17114.0
,,,,,,,33,18656.0
,,,,,,,34,20020.0
,,,,,,,35,21201.0
,,,,,,,36,22009.0
,,,,,,,37,22567.0
,,,,,,,38,23070.0
,,,,,,,39,23388.0
,,,,,,,40,23629.0
,,,,,,,41,23770.0
,,,,,,,42,23575.0
,,,,,,,43,23034.0
,,,,,,,44,22325.0
,,,,,,,45,21921.0
,,,,,,,46,21122.0
,,,,,,,47,19311.0
,,,,,,,48,17514.0
,,,,,,,49,13039.0
,,,,,,,50,12260.0
,,,,,,,51,11788.0
,,,,,,,52,11580.0
,,,,,,,53,11677.0
,,,,,,,54,12384.0
,,,,,,,55,13586.0
,,,,,,,56,14898.0
,,,,,,,57,15970.0
,,,,,,,58,16943.0
,,,,,,,59,17834.0
,,,,,,,60,18495.0
,,,,,,,61,18922.0
,,,,,,,62,19296.0
,,,,,,,63,19505.0
,,,,,,,64,19592.0
,,,,,,,65,19626.0
,,,,,,,66,19422.0
,,,,,,,67,18775.0
,,,,,,,68,18192.0
,,,,,,,69,18140.0
,,,,,,,70,17090.0
,,,,,,,71,15479.0
,,,,,,,72,13852.0
,,,,,,,73,11008.0
,,,,,,,74,10419.0
,,,,,,,75,10075.0
,,,,,,,76,9888.0
,,,,,,,77,9892.0
,,,,,,,78,10200.0
,,,,,,,79,10690.0
,,,,,,,80,11436.0
,,,,,,,81,12400.0
,,,,,,,82,13052.0
,,,,,,,83,13361.0
,,,,,,,84,13454.0
,,,,,,,85,13445.0
,,,,,,,86,13350.0
,,,,,,,87,13238.0
,,,,,,,88,13183.0
,,,,,,,89,13213.0
