Period_Index,Rep_Period,Rep_Period_Index
1,354,7
2,357,8
3,357,8
4,354,7
5,354,7
6,354,7
7,354,7
8,357,8
9,354,7
10,357,8
11,354,7
12,357,8
13,357,8
14,357,8
15,357,8
16,357,8
17,357,8
18,357,8
19,354,7
20,357,8
21,354,7
22,354,7
23,357,8
24,357,8
25,357,8
26,354,7
27,27,1
28,357,8
29,357,8
30,357,8
31,354,7
32,357,8
33,354,7
34,357,8
35,357,8
36,354,7
37,357,8
38,357,8
39,354,7
40,357,8
41,357,8
42,354,7
43,357,8
44,357,8
45,354,7
46,354,7
47,354,7
48,357,8
49,357,8
50,354,7
51,357,8
52,354,7
53,357,8
54,357,8
55,354,7
56,357,8
57,357,8
58,354,7
59,357,8
60,357,8
61,354,7
62,357,8
63,354,7
64,357,8
65,354,7
66,357,8
67,357,8
68,357,8
69,354,7
70,357,8
71,354,7
72,354,7
73,354,7
74,354,7
75,354,7
76,354,7
77,354,7
78,354,7
79,354,7
80,354,7
81,357,8
82,357,8
83,354,7
84,354,7
85,357,8
86,357,8
87,354,7
88,357,8
89,357,8
90,354,7
91,354,7
92,258,4
93,258,4
94,258,4
95,258,4
96,258,4
97,258,4
98,258,4
99,258,4
100,258,4
101,354,7
102,258,4
103,258,4
104,258,4
105,258,4
106,258,4
107,258,4
108,354,7
109,267,5
110,258,4
111,258,4
112,258,4
113,258,4
114,258,4
115,258,4
116,267,5
117,258,4
118,258,4
119,258,4
120,354,7
121,354,7
122,267,5
123,267,5
124,267,5
125,267,5
126,267,5
127,267,5
128,258,4
129,267,5
130,258,4
131,258,4
132,258,4
133,267,5
134,267,5
135,267,5
136,267,5
137,258,4
138,267,5
139,267,5
140,267,5
141,267,5
142,267,5
143,267,5
144,267,5
145,267,5
146,267,5
147,267,5
148,267,5
149,228,3
150,267,5
151,228,3
152,267,5
153,258,4
154,267,5
155,258,4
156,267,5
157,267,5
158,267,5
159,267,5
160,267,5
161,267,5
162,258,4
163,267,5
164,267,5
165,267,5
166,267,5
167,267,5
168,267,5
169,267,5
170,267,5
171,228,3
172,228,3
173,228,3
174,228,3
175,267,5
176,267,5
177,258,4
178,258,4
179,228,3
180,228,3
181,228,3
182,228,3
183,228,3
184,228,3
185,228,3
186,228,3
187,228,3
188,228,3
189,228,3
190,228,3
191,228,3
192,228,3
193,228,3
194,228,3
195,228,3
196,228,3
197,228,3
198,198,2
199,228,3
200,228,3
201,267,5
202,267,5
203,267,5
204,228,3
205,228,3
206,228,3
207,228,3
208,228,3
209,267,5
210,267,5
211,228,3
212,228,3
213,228,3
214,228,3
215,228,3
216,228,3
217,228,3
218,228,3
219,228,3
220,228,3
221,228,3
222,228,3
223,228,3
224,228,3
225,228,3
226,228,3
227,228,3
228,228,3
229,228,3
230,267,5
231,267,5
232,267,5
233,228,3
234,228,3
235,228,3
236,228,3
237,267,5
238,267,5
239,228,3
240,228,3
241,228,3
242,258,4
243,258,4
244,267,5
245,267,5
246,267,5
247,267,5
248,228,3
249,228,3
250,228,3
251,258,4
252,267,5
253,258,4
254,267,5
255,267,5
256,267,5
257,267,5
258,258,4
259,267,5
260,267,5
261,258,4
262,258,4
263,267,5
264,267,5
265,267,5
266,258,4
267,267,5
268,258,4
269,258,4
270,267,5
271,267,5
272,267,5
273,267,5
274,258,4
275,267,5
276,267,5
277,267,5
278,267,5
279,258,4
280,267,5
281,267,5
282,267,5
283,267,5
284,258,4
285,258,4
286,267,5
287,258,4
288,258,4
289,258,4
290,267,5
291,267,5
292,258,4
293,267,5
294,258,4
295,258,4
296,267,5
297,267,5
298,267,5
299,267,5
300,267,5
301,258,4
302,258,4
303,258,4
304,267,5
305,267,5
306,258,4
307,258,4
308,258,4
309,267,5
310,267,5
311,258,4
312,258,4
313,258,4
314,267,5
315,267,5
316,267,5
317,267,5
318,267,5
319,267,5
320,267,5
321,267,5
322,267,5
323,267,5
324,267,5
325,267,5
326,267,5
327,267,5
328,258,4
329,258,4
330,267,5
331,331,6
332,267,5
333,267,5
334,267,5
335,267,5
336,354,7
337,354,7
338,354,7
339,357,8
340,354,7
341,354,7
342,354,7
343,354,7
344,354,7
345,354,7
346,354,7
347,354,7
348,357,8
349,354,7
350,354,7
351,354,7
352,354,7
353,357,8
354,354,7
355,357,8
356,357,8
357,357,8
358,354,7
359,354,7
360,354,7
361,357,8
362,357,8
363,354,7
364,357,8
365,357,8
