Resource,Zone,LDS,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MGA,Resource_Type,RPS_1,RPS_2,region,cluster
solar_pv,1,0,1,1,0,0,924417,0,50920.18439,8490.038196,0.0,0.0,None,0,0,0,1.0,1.0,0,0.0,0.0,0.0,0,0,1,solar_photovoltaic,1,1,NE,1
onshore_wind_1,1,0,3,1,0,0,63489,0,80100.0,34568.125,0.1,0.0,None,0,0,0,1.0,1.0,0,0.0,0.0,0.0,0,0,1,onshore_wind_turbine,1,1,NE,1
onshore_wind_2,1,0,0,1,0,0,49396,0,83401.0,34568.125,0.1,0.0,None,0,0,0,1.0,1.0,0,0.0,0.0,0.0,0,0,1,onshore_wind_turbine,1,1,NE,1
onshore_wind_3,1,0,0,1,0,0,10465,0,84336.0,34568.125,0.1,0.0,None,0,0,0,1.0,1.0,0,0.0,0.0,0.0,0,0,1,onshore_wind_turbine,1,1,NE,1
