Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
2000.0,1.0,1.0,1.0,2000.0,1.0,8760.0,8760.0,1,433055,56250,158195
,2.0,0.9,0.04,1800.0,,,,2,406808,53975,151211
,3.0,0.55,0.024,1100.0,,,,3,394480,51413,144460
,4.0,0.2,0.003,400.0,,,,4,389845,50217,137745
,,,,,,,,5,387098,49407,131059
,,,,,,,,6,392355,48847,129242
,,,,,,,,7,404654,49928,127643
,,,,,,,,8,416313,52099,127594
,,,,,,,,9,428156,53971,131035
,,,,,,,,10,443175,56180,136863
,,,,,,,,11,461485,59324,140327
,,,,,,,,12,478750,61430,146574
,,,,,,,,13,500639,63720,153859
,,,,,,,,14,510242,66292,160582
,,,,,,,,15,512939,66236,167097
,,,,,,,,16,520359,66270,172644
,,,,,,,,17,542617,66603,173528
,,,,,,,,18,567183,68052,174662
,,,,,,,,19,589765,70029,179348
,,,,,,,,20,597606,78675,189488
,,,,,,,,21,578601,79796,200159
,,,,,,,,22,551207,77624,206282
,,,,,,,,23,519544,74795,201139
,,,,,,,,24,480627,70153,190159
,,,,,,,,25,431487,64246,177388
,,,,,,,,26,400191,55981,161673
,,,,,,,,27,393686,54038,141634
,,,,,,,,28,396127,53473,122650
,,,,,,,,29,405361,54156,120106
,,,,,,,,30,426287,55475,118763
,,,,,,,,31,457895,59486,120264
,,,,,,,,32,493880,66212,123714
,,,,,,,,33,519419,71157,132231
,,,,,,,,34,528899,72078,144433
,,,,,,,,35,536453,71476,152951
,,,,,,,,36,544014,71013,155264
,,,,,,,,37,552853,71108,155619
,,,,,,,,38,554639,71006,159860
,,,,,,,,39,559014,69465,163214
,,,,,,,,40,590029,69137,164528
,,,,,,,,41,654625,72316,165005
,,,,,,,,42,733787,77939,171961
,,,,,,,,43,735153,86729,188877
,,,,,,,,44,669902,88978,211955
,,,,,,,,45,617914,81094,224500
,,,,,,,,46,586863,77876,200890
,,,,,,,,47,552018,74537,174997
,,,,,,,,48,522016,69291,163310
,,,,,,,,49,504053,65152,150494
,,,,,,,,50,489010,62070,137387
,,,,,,,,51,484674,60872,127773
,,,,,,,,52,489774,60653,121490
,,,,,,,,53,505920,61834,118842
,,,,,,,,54,545108,64065,117804
,,,,,,,,55,631752,70881,119555
,,,,,,,,56,705303,84495,125956
,,,,,,,,57,712846,88343,141122
,,,,,,,,58,692225,85017,159663
,,,,,,,,59,673280,79799,168325
,,,,,,,,60,666790,76196,165519
,,,,,,,,61,668376,75022,162197
,,,,,,,,62,665396,74266,164700
,,,,,,,,63,668051,72819,167592
,,,,,,,,64,699560,72725,169551
,,,,,,,,65,772298,76315,170944
,,,,,,,,66,862730,82213,178060
,,,,,,,,67,874246,90824,193451
,,,,,,,,68,813401,92468,215420
,,,,,,,,69,764300,83804,227026
,,,,,,,,70,679062,80076,203574
,,,,,,,,71,623706,75098,178094
,,,,,,,,72,588603,68416,165118
,,,,,,,,73,565677,63012,151402
,,,,,,,,74,549435,59337,138233
,,,,,,,,75,543480,57643,129108
,,,,,,,,76,546852,56859,123249
,,,,,,,,77,561090,57371,120601
,,,,,,,,78,598234,59023,119405
,,,,,,,,79,687049,64834,121346
,,,,,,,,80,754943,75782,127439
,,,,,,,,81,746156,79757,142530
,,,,,,,,82,708130,76600,161156
,,,,,,,,83,675926,72758,169519
,,,,,,,,84,659591,70310,166041
,,,,,,,,85,653475,69794,162272
,,,,,,,,86,643762,69714,164294
,,,,,,,,87,643309,69099,167798
,,,,,,,,88,673761,69491,170255
,,,,,,,,89,742971,72763,171681
,,,,,,,,90,827715,77807,179115
,,,,,,,,91,831945,84578,195334
,,,,,,,,92,767822,85059,216599
,,,,,,,,93,717539,76837,227606
,,,,,,,,94,626726,73153,203616
,,,,,,,,95,569531,69154,177740
,,,,,,,,96,533125,63553,164398
,,,,,,,,97,505130,58625,150100
,,,,,,,,98,489713,55310,136835
