Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,2.6521361547002125e9,1.3019580929635558e9,8.703809959537208e8
cVar,0.0,0.0,10954.80115995822
cFuel,1.0950329004815514e9,7.051219973537186e8,4.538588122460996e8
cNSE,0.0,0.0,0.0
cStart,710875.2733227554,457752.2669631953,50736.648639652536
cUnmetRsv,0.0,0.0,0.0
cNetworkExp,0.0,0.0,0.0
cUnmetPolicyPenalty,0.0,0.0,0.0
cCO2,0.0,0.0,0.0
