Time_Index,CA_N_utilitypv_losangeles_low_90_0_2_1,CA_N_utilitypv_losangeles_low_90_0_2_2,CA_N_utilitypv_losangeles_low_90_0_2_3,CA_N_utilitypv_losangeles_low_90_0_2_4,CA_S_utilitypv_losangeles_low_90_0_2_1,CA_S_utilitypv_losangeles_low_90_0_2_2,CA_S_utilitypv_losangeles_low_90_0_2_3,CA_S_utilitypv_losangeles_low_90_0_2_4,WECC_N_utilitypv_losangeles_low_70_0_2_1,WECC_N_utilitypv_losangeles_low_70_0_2_2,WECC_N_utilitypv_losangeles_low_70_0_2_3,WECC_N_utilitypv_losangeles_low_70_0_2_4,WECC_N_utilitypv_losangeles_low_70_0_2_5,WECC_N_utilitypv_losangeles_low_70_0_2_6,WECC_N_utilitypv_losangeles_low_70_0_2_7,WECC_N_utilitypv_losangeles_low_70_0_2_8,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_1,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_2,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_3,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_4,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_5,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_6,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_7,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_8,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_9,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_10,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_11,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_12,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_13,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_14,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_15,WECC_NMAZ_utilitypv_losangeles_low_70_0_2_16,WECC_PNW_utilitypv_losangeles_low_70_0_2_1,WECC_PNW_utilitypv_losangeles_low_70_0_2_2,WECC_PNW_utilitypv_losangeles_low_70_0_2_3,WECC_PNW_utilitypv_losangeles_low_70_0_2_4,WECC_WYCO_utilitypv_losangeles_low_70_0_2_1,WECC_WYCO_utilitypv_losangeles_low_70_0_2_2,WECC_WYCO_utilitypv_losangeles_low_70_0_2_3,WECC_WYCO_utilitypv_losangeles_low_70_0_2_4,WECC_WYCO_utilitypv_losangeles_low_70_0_2_5,CA_N_battery_low_0,CA_S_battery_low_0,WECC_N_battery_low_0,WECC_NMAZ_battery_low_0,WECC_PNW_battery_low_0,WECC_WYCO_battery_low_0,CA_N_landbasedwind_ltrg1_low_110_1,CA_N_landbasedwind_ltrg1_low_110_2,CA_N_landbasedwind_ltrg1_low_110_3,CA_N_landbasedwind_ltrg1_low_110_4,CA_N_landbasedwind_ltrg1_low_110_5,CA_S_landbasedwind_ltrg1_low_90_1,CA_S_landbasedwind_ltrg1_low_90_2,CA_S_landbasedwind_ltrg1_low_90_3,CA_S_landbasedwind_ltrg1_low_90_4,CA_S_landbasedwind_ltrg1_low_90_5,CA_S_landbasedwind_ltrg1_low_90_6,CA_S_landbasedwind_ltrg1_low_90_7,CA_S_landbasedwind_ltrg1_low_90_8,CA_S_landbasedwind_ltrg1_low_90_9,CA_S_landbasedwind_ltrg1_low_90_10,WECC_N_landbasedwind_ltrg1_low_70_1,WECC_N_landbasedwind_ltrg1_low_70_2,WECC_N_landbasedwind_ltrg1_low_70_3,WECC_N_landbasedwind_ltrg1_low_70_4,WECC_N_landbasedwind_ltrg1_low_70_5,WECC_N_landbasedwind_ltrg1_low_70_6,WECC_N_landbasedwind_ltrg1_low_70_7,WECC_N_landbasedwind_ltrg1_low_70_8,WECC_N_landbasedwind_ltrg1_low_70_9,WECC_NMAZ_landbasedwind_ltrg1_low_70_1,WECC_NMAZ_landbasedwind_ltrg1_low_70_2,WECC_NMAZ_landbasedwind_ltrg1_low_70_3,WECC_NMAZ_landbasedwind_ltrg1_low_70_4,WECC_NMAZ_landbasedwind_ltrg1_low_70_5,WECC_NMAZ_landbasedwind_ltrg1_low_70_6,WECC_NMAZ_landbasedwind_ltrg1_low_70_7,WECC_NMAZ_landbasedwind_ltrg1_low_70_8,WECC_NMAZ_landbasedwind_ltrg1_low_70_9,WECC_NMAZ_landbasedwind_ltrg1_low_70_10,WECC_PNW_landbasedwind_ltrg1_low_70_1,WECC_PNW_landbasedwind_ltrg1_low_70_2,WECC_PNW_landbasedwind_ltrg1_low_70_3,WECC_PNW_landbasedwind_ltrg1_low_70_4,WECC_PNW_landbasedwind_ltrg1_low_70_5,WECC_PNW_landbasedwind_ltrg1_low_70_6,WECC_PNW_landbasedwind_ltrg1_low_70_7,WECC_PNW_landbasedwind_ltrg1_low_70_8,WECC_WYCO_landbasedwind_ltrg1_low_70_1,WECC_WYCO_landbasedwind_ltrg1_low_70_2,WECC_WYCO_landbasedwind_ltrg1_low_70_3,WECC_WYCO_landbasedwind_ltrg1_low_70_4,WECC_WYCO_landbasedwind_ltrg1_low_70_5,WECC_WYCO_landbasedwind_ltrg1_low_70_6,WECC_WYCO_landbasedwind_ltrg1_low_70_7,WECC_WYCO_landbasedwind_ltrg1_low_70_8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.008258936,0.065079249,0.191824213,0.115660936,0.055411924,0.105638936,0.195298254,0.21419692,0.095610887,0.026561324,0.010108449,0.09119387,0.093929678,0.077310108,0.181899995,0.029101826,0.012981033,0.121515676,0.023920653,0.058545202,0.071316212,0.109980166,0.06369026,0.030641275,0.417992771,0.27758199,0.322280854,0.300715208,0.282212764,0.273385733,0.244798452,0.254959315,0.361079752,0.184377745,0.30156368,0.185110003,0.075629175,0.060841303,0.027649187,0.048383787,0.0153228,0.094030447,0.061422579,0.121085867,0.086342536,0.080309168,0.106973842,0.091306187,0.079794377,0.062307965
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.008281428,0.062254898,0.200743482,0.113391571,0.028252432,0.151888669,0.200902015,0.220314875,0.091276623,0.019861322,0.031147698,0.078819714,0.142107114,0.068474464,0.149599999,0.030122995,0.009047601,0.128017128,0.019262748,0.081781946,0.073946096,0.137935877,0.090940818,0.023603424,0.338479489,0.499750108,0.226317883,0.198525667,0.386369467,0.185367882,0.203113556,0.179731026,0.278474748,0.24951455,0.249959424,0.184222668,0.076507777,0.056373827,0.013555776,0.060118333,0.010645151,0.075390175,0.123901412,0.167623043,0.11413312,0.095207065,0.103320077,0.09677206,0.085658595,0.073199809
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.00231151,0.096244462,0.203147322,0.10515257,0.02601191,0.274377078,0.188913643,0.231787682,0.076373346,0.018207632,0.074140742,0.055776358,0.111152425,0.056547455,0.112599999,0.05719452,0.015205543,0.133249432,0.030543828,0.114727177,0.088711508,0.153020591,0.125653058,0.026541958,0.467063844,0.342803299,0.297971815,0.277431309,0.238702059,0.260065049,0.188977137,0.24471128,0.319681287,0.123712927,0.25640294,0.166692436,0.089116484,0.059855178,0.022081889,0.056443378,0.014820484,0.087059259,0.080972746,0.157669857,0.109123297,0.090423889,0.151444316,0.098055899,0.090617411,0.071910158
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.000747408,0.025317054,0.183621168,0.086667679,0.016503356,0.255432248,0.186595201,0.191221476,0.060412396,0.023594912,0.058683522,0.033143096,0.100921184,0.049915705,0.092399999,0.012785878,0.018944371,0.107823148,0.028280545,0.14189826,0.07222455,0.110604495,0.133840263,0.037403524,0.343579829,0.216931492,0.298099637,0.259710252,0.177271068,0.247424185,0.187326342,0.217260614,0.257924289,0.090027645,0.304703951,0.140997142,0.064875521,0.070819266,0.014192516,0.066537991,0.007414652,0.113987416,0.136571884,0.163746059,0.109776817,0.080918536,0.116684467,0.087885529,0.068056978,0.061260898
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0.037007883,0.163437724,0.086607076,0.03327994,0.234505057,0.180600002,0.168837428,0.045780286,0.026424937,0.041301172,0.060401343,0.082727246,0.052735705,0.039899997,0.012867644,0.01374666,0.070767418,0.027658755,0.162867561,0.073975198,0.096361369,0.116742074,0.028399272,0.181207299,0.265277684,0.167469487,0.118206605,0.270826459,0.095753007,0.22113435,0.106044307,0.162597939,0.140415281,0.317232788,0.117947906,0.039509118,0.064521313,0.028272886,0.071757622,0.006776042,0.111188829,0.238063216,0.228714585,0.145292103,0.104894571,0.114092171,0.103967384,0.072548784,0.06003014
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.006301004,0.048960418,0.212257862,0.103990197,0.025847966,0.270807505,0.17710565,0.237749174,0.083715685,0.017423412,0.060620636,0.102409661,0.121237323,0.073161803,0.092899993,0.020449296,0.014510435,0.108758152,0.053099774,0.14444834,0.070492089,0.120219663,0.095470473,0.060325515,0.198522061,0.265410036,0.166650295,0.108349532,0.302313149,0.095432326,0.19357121,0.106090553,0.148820072,0.167209327,0.258330256,0.120467789,0.056397155,0.069802113,0.045110844,0.071250685,0.012424168,0.112307653,0.193852141,0.190069541,0.118331663,0.094342344,0.133400202,0.083734006,0.079927817,0.072939262
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015281408,0,0.020209964,0,0.000266053,0,0.035407646,0,0,0,0.048825329,0,0.000594196,0,0,0.054062809,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.010927963,0.019207114,0.193070188,0.092983745,0.039236456,0.226051942,0.179783195,0.224255636,0.088067055,0.053310174,0.039452296,0.164116889,0.126296178,0.080742545,0.094799995,0.069240317,0.032999638,0.065991431,0.066421069,0.172727227,0.10576015,0.107204288,0.126816869,0.067273296,0.20449467,0.260273814,0.144673571,0.088311017,0.30423069,0.073629506,0.328794092,0.094061941,0.126734376,0.166881084,0.21548982,0.118205093,0.073024854,0.041239642,0.034954857,0.048826717,0.012526779,0.079860151,0.071711913,0.075899705,0.046239704,0.03886874,0.083564579,0.032611538,0.055099092,0.067193896
8,0,0.086090532,0,0.000472149,0.250680307,0.231776689,0.275599942,0.189120843,0,0,0.218413412,0,0.220288536,0,0.002161683,0,0.350210501,0.240627336,0.346454691,0.354028386,0.422768777,0.239024115,0.347367072,0.346171594,0.330615795,0.35075742,0.348857016,0.23406057,0.422496207,0.328264476,0.352666301,0.34680797,0,0,0,0,0.307649003,0.367128632,0.310726624,0.375217219,0.309527513,1,1,1,1,1,1,0.014034124,0.006706794,0.119439274,0.099989757,0.057324566,0.176259786,0.20604983,0.290479124,0.127929673,0.08619941,0.031114547,0.257161498,0.125711799,0.087905377,0.0682,0.015056338,0.125964552,0.065316968,0.150638506,0.241948396,0.072710402,0.111641839,0.152586281,0.153362557,0.205859929,0.223545104,0.119821399,0.067882665,0.246908754,0.068306848,0.398927152,0.080141544,0.09595485,0.163682312,0.154350832,0.076893404,0.06886486,0.028248137,0.034251951,0.033255842,0.024266664,0.057081111,0.02570058,0.029909689,0.015719138,0.014934349,0.128699198,0.022514947,0.044313248,0.054448105
9,0.391960095,0.441532625,0.411283268,0.426769949,0.492681615,0.482417309,0.505810946,0.467604073,0.393135186,0.398712866,0.478725331,0.403510496,0.474627882,0.349157288,0.401858321,0.342872457,0.498075588,0.491012141,0.501420763,0.552385156,0.598130782,0.489776704,0.512973537,0.546374675,0.532506315,0.549323326,0.534421472,0.488950245,0.597356366,0.530484106,0.550989537,0.523974004,0.196719941,0.192116544,0.203760801,0.204517004,0.466369673,0.520657,0.467433957,0.523352603,0.469641306,1,1,1,1,1,1,0.044124413,0.006370907,0.058497794,0.094394803,0.041643504,0.046599355,0.151949465,0.113540836,0.095433801,0.088227317,0.004185454,0.2061124,0.052763365,0.056826785,0.052699998,0.006044119,0.109360486,0.060187586,0.157805219,0.250275671,0.054830451,0.076680452,0.153341219,0.1864786,0.313338637,0.109219998,0.079668418,0.050882597,0.105810136,0.040269136,0.250481248,0.055363677,0.041434325,0.072719768,0.19656679,0.090316951,0.073470518,0.050638355,0.046347458,0.050677329,0.027386701,0.089147717,0.011708503,0.017582692,0.012992488,0.008792682,0.209555134,0.006558321,0.028881228,0.056390129
10,0.576862154,0.603859104,0.588864731,0.601506055,0.612733475,0.610390854,0.623739477,0.613659769,0.563078506,0.571682283,0.582276737,0.572366402,0.58838651,0.484376108,0.566100699,0.487784742,0.60782998,0.624205639,0.559922573,0.651798142,0.622185803,0.624148011,0.590778405,0.648420644,0.614888237,0.65035824,0.583898962,0.62425101,0.616894927,0.561193645,0.652464073,0.582249801,0.417116368,0.400808666,0.404627787,0.41244284,0.537335971,0.613842289,0.526184862,0.604688281,0.536085114,1,1,1,1,1,1,0.074501522,0,0.009788861,0.050375406,0.022857979,0.00500124,0.037343159,0.01169945,0.074075207,0.102652766,0.002397647,0.012147325,0.018513542,0.022002488,0,0.016905824,0.102177367,0.04166764,0.172284365,0.26304394,0.030183714,0.072025813,0.159883827,0.208988428,0.249281168,0.077235907,0.099016532,0.102228582,0.08337827,0.075289145,0.079415709,0.084219307,0.061769594,0.082588717,0.200081035,0.084543496,0.073457763,0.040672168,0.047029469,0.041886318,0.031327814,0.0916107,0.014132317,0.015695304,0.018400557,0.009083325,0.257137179,0.008066577,0.023604389,0.045989163
