Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
CO2_Price_1,-933.1813500928542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,-944.85882666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,-926.2314856722618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,-519.6591304195136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,-763.7044515444028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,-1794.4692347890546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,-2762.682261404918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1160.5120598513597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-964.3210540731494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-762.3525795438654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1975.0400385785126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2108.483468769732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-542.3414944777567,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-691.4354715789245,0.0,0.0,0.0,0.0,0.0
CO2_Price_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-794.0686730930679,0.0,0.0,0.0,0.0
CO2_Price_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-894.2308881174358,0.0,0.0,0.0
CO2_Price_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-868.258880573582,0.0,0.0
CO2_Price_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1161.4981312969633,0.0
AnnualSum,240363.03297715154,698530.2512312969,429558.94738505094,1.0438470348766244e6,317526.8230726299,1.1340755607307542e6,1.5296295172327291e6,1.0284711297240963e6,504051.7964911858,231799.6267846841,433320.4250730883,1.797556298813834e6,232409.8273375221,343536.34450145275,724583.0745276243,1.6269250464811078e6,1.0810314664209657e6,2.254215201386097e6,1.5651431405047897e7
t1,0.0006064102778573797,0.00116865862389712,0.0008976549350468991,0.0023169888033166258,0.0010762767948373014,0.000630733565252487,0.0005120797252401285,0.001120799746925643,0.0010267965738836708,0.0011573737951007799,0.0004526866421878324,0.0005124801447562009,0.0011967773090157817,0.0013649139297587831,0.0011722374121971141,0.0014225392621313548,0.0010162444609136696,0.0010131577265904644,0.018664809728909236
t2,0.0006024178919299317,0.0011572314039442482,0.0008929844308055448,0.0022785361945966373,0.0010623245913211183,0.0006110388876309206,0.0005109334622001844,0.0011129170192349098,0.0010225171252175092,0.0011439374003896798,0.0004528879207998976,0.0005124809444998227,0.0011777558287007124,0.001343692066655974,0.0010946233502102,0.0013082625368803626,0.0010044993236891131,0.001013163421442576,0.018302203800149342
t3,0.0006000013289675458,0.0011520283360647895,0.0008892613566918475,0.0022863146062119797,0.0010558372238804379,0.0006131259919427502,0.0005183158316135957,0.0011095255080303225,0.0010204699163183478,0.0011365482850832231,0.00045296685163314797,0.0005125067945727052,0.0011716907201737852,0.001332387229401152,0.0010635576385909222,0.0012624196610758333,0.0009994829899572875,0.0010132751523202234,0.018189715422529895
t4,0.0005984355579857022,0.0011495358048405682,0.0008863394008650241,0.002246576404149348,0.0010516740486220398,0.0006035449018205769,0.0005499535081950262,0.0011078033989372958,0.001019275258437796,0.001132104265363956,0.0004528795756655789,0.0005125659511864914,0.0011688704273334594,0.0013264611051007288,0.001049654291153378,0.0012456115744421269,0.0009971215621948591,0.0010135069106500878,0.018111913946944044
t5,0.0005976942684147743,0.001148427647299106,0.0008850954878050816,0.0022391642672707156,0.001048949061129555,0.0006059053753517438,269.1621898964909,0.0011066750036699464,0.001018630706944887,0.0011294899522091431,0.00045293995995059104,0.0005126236188520844,0.0011670614250988668,0.0013236529789836292,0.0010429327427161014,0.0012389569734656048,0.0009958847280419863,0.0010136194563384526,269.17971760014444
t6,0.0005973873695495269,0.0011482652912484417,0.0008843175055551583,0.002263074406660243,0.0010471092965864002,0.0006223023842047741,1157.0678686974165,0.0011058422450103446,0.0010179499997734816,0.0011278585284295794,0.0004529719986516164,0.0005125889366651735,0.0011658101015007305,0.001322768676979458,0.0010392187506725007,0.001235944403847293,0.0009951316679552428,0.0010136438644932242,1157.0854208828441
t7,0.0005970759073883501,0.001147299526989544,0.0008842137094511993,0.0022327053020559074,0.0010464495942207382,0.0006400290369363846,972.2044664744283,0.001105201007988119,0.0010178722425810592,0.001126652405188654,0.00045298499488261734,0.0005125828551150218,0.0011648528836994674,0.0013227952945944585,0.0010376341341636708,0.0012346614733130528,0.0009946929975073442,0.0010136062688310748,972.2219977840632
t8,0.0005966491284248874,0.0011459422982344287,0.0008847832324372282,0.0022299767022853395,0.001046156680823698,23.89555846265172,256.20067502460284,0.001104772384884248,0.0010176638570056113,0.0011252489531580557,0.00045287596942663824,0.0005126369677772648,0.001163675026014955,0.0013219722211136992,0.0010382656496378342,0.0012338999266830353,0.0009943887855273473,0.0010135183161845906,280.11311591335414
t9,0.0005955510158402911,0.0011458698018318768,0.0008876553842301777,0.0022569928778246938,0.0010472091176723247,36.90240096569608,0.0005393547095869839,0.0011045453872177053,0.001017456688507344,0.0011235402840502253,0.00045307572358487685,0.0005127822246346847,0.0011614583231289283,0.001325442753371199,0.0010389235061694384,0.0012340227085989946,0.000995072696163965,0.0010133320483521932,36.919853250946844
t10,0.0005959879180118475,0.0011475232692873061,0.0008874590508921106,0.0022319111659857725,0.001049496913265174,216.70486537179815,0.0005137559985460354,0.0011046736655383285,0.0010177370748329767,0.0011267153592008008,0.00045298241951460035,0.0005128915743372176,0.0011639103563660879,0.0013255128672604217,0.001040404827791252,0.0012348066519392985,0.0009953586441600146,0.0010136470161765678,216.72228014657125
t11,0.0005962334261286348,0.0011484206507799718,0.0008878619266600549,0.0022341846142760603,0.0010523525261544797,35.85345344845717,0.0005064533225841016,0.001104448159617419,0.0010195593459137167,0.0011315017917875477,0.0004531304014174313,0.0005128396964377106,0.001164744833329897,0.0013252789651511958,0.0010421351769661761,0.0012358714254410315,0.0009955896533819966,0.0010136981910787543,35.87087775256428
t12,0.0005968393903631758,0.0011453474841772498,0.0008886760148258931,0.0022663547226761337,0.0010531775815835135,22.156127073545232,0.0005040924317568609,0.001104369640983585,0.0010205322170919046,0.001132435655417673,0.0004528888519612733,0.0005128073604763637,0.0011660463500297834,0.0013251854916116552,0.0010444860765847868,0.001237456795391729,0.000996438572660285,0.0010137354110333508,22.17358794359386
t13,0.0005980870886902373,0.0011448232595994456,0.0008906652386996324,0.002244463958834584,0.0010536745537821227,0.0006508562217544703,0.0005031672371868531,0.0011042981929010058,0.0010214606287748296,0.0011301678342177472,0.0004529129899721081,0.0005127998599200528,0.0011686314900285,0.0013276849864049557,0.0010484477568904799,0.0012408161140918224,0.0009975906442714114,0.001013621444993863,0.018104169501014122
t14,0.0005996800861546392,0.0011458931020295157,0.0008938258544057364,0.0022543653538986894,0.001057498132251435,0.0006513096451972315,0.0005027423152087122,0.00110426018997378,0.001023126938282473,0.0011335620359229019,0.000452931539297899,0.0005128068886927533,0.001173214718654825,0.0013327782094446467,0.0010565748617353294,0.0012482399125520525,0.0009996463266840729,0.001013575237215204,0.018156031347601898
t15,0.0006022253384993306,0.0011470891278529416,0.0008991892759638495,0.0022996169068353798,0.0010663773301162515,98.73497221626275,0.0005024014686735957,0.0011043548059549255,0.001025714867480955,0.0011448044331372437,0.0004529782124988941,0.0005127792938552638,0.0011831668477406247,0.0013446523886953279,0.0010755445135688193,0.0012698878509688244,0.0010038319097023247,0.0010135884546140232,98.7526204192889
t16,0.0006078699805052409,0.0011472429214512457,0.0009072293213011222,0.0023055958422478905,0.001079642537192145,152.43867590253072,0.0005022275088796373,0.0011046231516672752,0.001031837953209702,0.001157232951035831,0.00045310674042206654,0.0005127714459724771,0.0012029442065812682,0.0013640966161698354,0.001117914101852922,0.0013266408309113612,0.0010132713497376649,0.0010135796634339227,152.4565237296533
t17,0.0006223625684056548,0.00114599289874684,0.0009215549729279136,0.002366784050983778,0.0011066442938251007,687.3179618595193,0.0005020467146886805,0.0011068182701643161,0.001050100757472581,0.0011797433495753077,0.00045318483840846763,0.0005127441537057618,0.0012465342821130273,0.0014026806532928292,0.0012177006418604684,0.0014777819560133963,0.00103654971308619,0.0010134141935655614,687.3363244978282
t18,0.0006618827917264431,0.0011445662889970221,0.0009554280705678555,0.0025410770400754157,0.0011818578304195972,172.44081579990964,0.0005018538384584328,0.0011043594346310762,0.001098966557767039,0.001246139587683961,0.0004533278081700586,0.0005128172360022327,0.0013663308966082462,0.0014925391348866578,995.7222003953163,407.0912497801828,0.0011032832920199792,0.0010132396726258823,1575.2706436448896
t19,0.000809116428153818,0.0011448425113612453,0.001093080909606762,303.26568226438087,0.017422398107406326,115.88080021184236,0.0005018216222176191,0.0011041168540920443,0.0012702727726808414,29.49700619479535,0.00045326418449712335,0.000512802935684044,122.70641872580387,210.1983100109166,1172.1075777831097,1930.5866937528822,0.0014116322944447309,0.0010133375430153553,3884.269225629894
t20,0.0017947356328388592,0.001144952893920689,0.0019525377709427485,692.7052896014737,0.07025639298660935,0.0006302987126009505,0.0005017956534819587,0.0011043084557981954,0.002328843127486628,93.22565992297905,0.0004533129999224226,0.0005127987444616997,293.21474457876917,485.77922688171174,1179.0176395921924,1889.8070844221154,0.003259442313638994,0.0010134866502150876,4633.834597905183
t21,0.0013685312835992856,0.0011455899963863279,0.0015917011888054266,545.5744600927931,0.06804912944674199,0.0006169845469332304,0.0005017261806492906,0.0011042316414477708,0.001838245493837379,92.09725121277904,0.0004531963417130132,0.0005127217595804822,129.71956832966563,484.05181643705805,979.3370149454831,1353.719444882614,0.002416267271310079,0.0010135645266798696,3584.580167790071
t22,0.0007792163264028819,0.0011454389692632538,0.001054925056243161,25.927899924922546,0.015717480815681074,0.0006018446915315829,0.0005017424564937319,0.001104214418291436,0.0012281039208741108,13.682748461244485,0.0004532875106687812,0.0005127483590639904,16.356264326403206,20.942758626725794,908.7466193698867,934.6251379812746,0.0013503189737197675,0.0010136693171550184,1920.3068916812729
