Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
1,Solar_z01_01,1,1,1,0.0
2,Solar_z02_01,2,1,2,0.0
3,Solar_z03_01,3,1,3,0.0
4,Solar_z04_01,4,1,4,0.0
5,Solar_z05_01,5,1,5,0.0
6,Solar_z06_01,6,1,6,0.0
7,Solar_z07_01,7,1,7,0.0
8,Solar_z08_01,8,1,8,0.0
9,Solar_z09_01,9,1,9,0.0
10,Solar_z10_01,10,1,10,0.0
11,Solar_z11_01,11,1,11,0.0
12,Solar_z12_01,12,1,12,0.0
13,Solar_z13_01,13,1,13,0.0
14,Solar_z14_01,14,1,14,0.0
15,Solar_z15_01,15,1,15,0.0
16,Solar_z16_01,16,1,16,0.0
17,Solar_z17_01,17,1,17,0.0
18,Solar_z18_01,18,1,18,0.0
1,Wind_z01_02,1,1,19,0.0
1,Wind_z01_03,1,1,20,0.0
2,Wind_z02_01,2,1,21,0.0
2,Wind_z02_02,2,1,22,0.0
3,Wind_z03_01,3,1,23,0.0
4,Wind_z04_01,4,1,24,0.0
4,Wind_z04_02,4,1,25,0.0
4,Wind_z04_03,4,1,26,0.0
4,Wind_z04_04,4,1,27,0.0
5,Wind_z05_01,5,1,28,0.0
5,Wind_z05_02,5,1,29,0.0
6,Wind_z06_01,6,1,30,0.0
6,Wind_z06_02,6,1,31,0.0
7,Wind_z07_01,7,1,32,0.0
8,Wind_z08_01,8,1,33,0.0
8,Wind_z08_02,8,1,34,0.0
9,Wind_z09_01,9,1,35,0.0
9,Wind_z09_02,9,1,36,0.0
10,Wind_z10_01,10,1,37,0.0
10,Wind_z10_02,10,1,38,0.0
11,Wind_z11_01,11,1,39,0.0
12,Wind_z12_01,12,1,40,0.0
13,Wind_z13_01,13,1,41,0.0
13,Wind_z13_02,13,1,42,0.0
14,Wind_z14_01,14,1,43,0.0
14,Wind_z14_02,14,1,44,0.0
15,Wind_z15_01,15,1,45,0.0
15,Wind_z15_02,15,1,46,0.0
16,Wind_z16_01,16,1,47,0.0
16,Wind_z16_02,16,1,48,0.0
16,Wind_z16_03,16,1,49,0.0
16,Wind_z16_04,16,1,50,0.0
17,Wind_z17_01,17,1,51,0.0
17,Wind_z17_02,17,1,52,0.0
18,Wind_z18_01,18,1,53,0.0
18,Wind_z18_02,18,1,54,0.0
2,Hyd_z02_01,2,1,55,0.0
3,Hyd_z03_01,3,1,56,0.0
4,Hyd_z04_01,4,1,57,0.0
6,Hyd_z06_01,6,1,58,0.0
7,Hyd_z07_01,7,1,59,0.0
8,Hyd_z08_01,8,1,60,0.0
11,Hyd_z11_01,11,1,61,0.0
