Region,Resource,Zone,Cluster,AnnualSum
17,CoalOldUns_1_z17,17,1,226.96667
17,gas-CC_1_z17,17,1,3.2518467e8
17,gas-CC_2_z17,17,1,1211.515
17,gas-CT_1_z17,17,1,1.7709133e8
17,nuclear_1_z17,17,1,5.301542e9
17,o-g-s_1_z17,17,1,385.51556
18,coal-new_1_z18,18,1,267.46548
18,CoalOldScr_1_z18,18,1,217.2457
18,CoalOldScr_2_z18,18,1,247.48349
18,gas-CC_1_z18,18,1,8.623869e8
18,gas-CT_1_z18,18,1,1.16240664e8
18,nuclear_1_z18,18,1,1.1241641e9
18,o-g-s_1_z18,18,1,396.15182
12,coal-new_1_z12,12,1,153.10793
12,CoalOldUns_1_z12,12,1,171.59879
12,gas-CC_1_z12,12,1,1.1453123e9
12,gas-CT_1_z12,12,1,9.100871e6
12,nuclear_1_z12,12,1,7.2737336e9
12,o-g-s_1_z12,12,1,2576.6418
12,o-g-s_2_z12,12,1,596.9473
1,CoalOldUns_1_z01,1,1,251.2024
1,gas-CC_1_z01,1,1,1.4712917e8
1,gas-CT_1_z01,1,1,6967.137
15,coal-new_1_z15,15,1,123.42235
15,CoalOldScr_1_z15,15,1,125.28776
15,gas-CC_1_z15,15,1,1.0376556e8
15,gas-CT_1_z15,15,1,2.4142714e7
15,nuclear_1_z15,15,1,4.398953e8
15,o-g-s_1_z15,15,1,245.37648
14,coal-new_1_z14,14,1,159.75114
14,CoalOldUns_1_z14,14,1,159.26343
14,CoalOldUns_2_z14,14,1,143.59743
14,gas-CC_1_z14,14,1,3.2480866e7
14,gas-CT_1_z14,14,1,3266.5603
14,nuclear_1_z14,14,1,9766.069
14,o-g-s_1_z14,14,1,2.159137e6
13,coal-new_1_z13,13,1,144.05699
13,gas-CC_1_z13,13,1,4.155445e7
13,gas-CT_1_z13,13,1,1.667315e6
13,o-g-s_1_z13,13,1,126.77632
16,CoalOldScr_1_z16,16,1,114.39102
16,gas-CC_1_z16,16,1,9.456429e8
16,gas-CC_2_z16,16,1,1.8167908e7
16,gas-CC_3_z16,16,1,18373.12
16,gas-CC_4_z16,16,1,5.903097e7
16,gas-CT_1_z16,16,1,8.448525e7
16,o-g-s_1_z16,16,1,21243.137
6,pumped-hydro_z06,6,1,0.0
3,pumped-hydro_z03,3,1,0.0
16,pumped-hydro_z16,16,1,0.0
18,pumped-hydro_z18,18,1,0.0
15,pumped-hydro_z15,15,1,0.0
12,pumped-hydro_z12,12,1,0.0
1,battery_z01,1,1,0.0
2,battery_z02,2,1,0.0
3,battery_z03,3,1,0.0
4,battery_z04,4,1,0.0
5,battery_z05,5,1,0.0
6,battery_z06,6,1,0.0
7,battery_z07,7,1,0.0
8,battery_z08,8,1,0.0
9,battery_z09,9,1,0.0
10,battery_z10,10,1,0.0
11,battery_z11,11,1,0.0
12,battery_z12,12,1,0.0
13,battery_z13,13,1,0.0
14,battery_z14,14,1,0.0
15,battery_z15,15,1,0.0
16,battery_z16,16,1,0.0
17,battery_z17,17,1,0.0
18,battery_z18,18,1,0.0
1,gas-CC_0_z01,1,1,2.0362922e8
2,gas-CC_0_z02,2,1,3.587351e8
3,gas-CC_0_z03,3,1,5.688853e8
4,gas-CC_0_z04,4,1,4.9083248e8
5,gas-CC_0_z05,5,1,2.6763331e8
6,gas-CC_0_z06,6,1,2.2718728e9
7,gas-CC_0_z07,7,1,4.2554493e9
8,gas-CC_0_z08,8,1,8.383105e8
9,gas-CC_0_z09,9,1,5.8618477e8
10,gas-CC_0_z10,10,1,9.343778e7
11,gas-CC_0_z11,11,1,1.02900474e9
12,gas-CC_0_z12,12,1,3.425638e9
13,gas-CC_0_z13,13,1,1.7088075e8
14,gas-CC_0_z14,14,1,3.3640717e8
15,gas-CC_0_z15,15,1,7.3632474e8
16,gas-CC_0_z16,16,1,1.04840986e9
17,gas-CC_0_z17,17,1,8.306547e8
18,gas-CC_0_z18,18,1,2.5589453e9
1,gas-CT_0_z01,1,1,2696.3003
2,gas-CT_0_z02,2,1,2277.7698
3,gas-CT_0_z03,3,1,2759.812
4,gas-CT_0_z04,4,1,3015.6533
5,gas-CT_0_z05,5,1,2406.2686
6,gas-CT_0_z06,6,1,2710.672
7,gas-CT_0_z07,7,1,2089.1233
8,gas-CT_0_z08,8,1,2339.1062
9,gas-CT_0_z09,9,1,2769.2632
10,gas-CT_0_z10,10,1,2358.7178
11,gas-CT_0_z11,11,1,1246.5428
12,gas-CT_0_z12,12,1,2063.8572
13,gas-CT_0_z13,13,1,2514.8433
14,gas-CT_0_z14,14,1,2395.8337
15,gas-CT_0_z15,15,1,2953.9229
16,gas-CT_0_z16,16,1,2505.1416
17,gas-CT_0_z17,17,1,2734.3965
18,gas-CT_0_z18,18,1,2781.6626
