Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,Total
Sum,17329.53007010825,-176190.87753630365,-1.19395445110001e6,-972339.5961375716,-2.207863760620308e6,236375.51564126994,-67536.95090992778,8.685672939817527e6,124244.41495200059,-192810.39913343682,2.799733665828989e6,1.3716174999336058e6,799324.5513509525,3.6669276909864834e6,-337566.8440981961,-4.273807976012127e6,4.253898111681637e6,-273127.5868871574,-10327.479788266315,1.625200322968185e6,224323.4456441014,-254634.73460946663,42175.55866378789,339444.8170535325,-1.5143825143928811e7,-36485.6324583945,2.281140263100148e6,3.056990778834458e6,-277719.2672855951,-2.818001596018167e6,-903309.5619667053,368850.13686083985,989309.825375355,-1.3357472168456828e6,449487.1060698066,856797.0994966604
t1,375.5296930950007,91.91315803461531,81.38310332557074,114.21397043542369,81.56323656770547,366.566404968347,96.19914019301568,1204.6970881915863,16.18323030208274,-0.8895959887865179,185.32477958017844,-58.240401015971166,-38.109813463500174,-108.32412218955079,-59.42895115762015,-597.6179378063042,309.259175860499,248.62065863199078,-922.203154455001,-1089.3715973620153,-174.88294983857,-245.30243181264865,-38.05839453151505,-1114.975856548081,-3647.6777638784324,-144.74481154305317,1193.3265116798148,53.36142209798878,2.2732936501860257,555.6460378575255,-17.480792268393273,-26.307335971500923,198.26350687782357,-102.88088530763994,28.28903152175888,-3183.883352267471
t2,303.8160538075698,67.39827467468373,66.4357661788666,91.96649407428414,69.83124516489991,406.96210873063075,105.97316840689986,1547.8057488297866,20.079632555732918,-1.6644997910996162,296.6934173337832,5.756124968639309,-24.227225906141125,46.05731060989737,-66.91616687913371,-661.3030738099952,369.79986498271387,306.0067586756383,-1255.1013847390916,-1451.4427231807595,-440.092011494289,-260.2739923448225,-43.24874342857699,-1277.4498843634358,-3746.290891457683,-203.8810630525709,1111.9453114174548,106.22110232311321,5.984149078153145,703.506632141611,-20.001414588970867,-8.559867087025275,142.74187301270035,-91.76425269282929,23.69209501447811,-3753.5440628348874
t3,252.12551078282797,23.75215777321804,64.6672487272415,69.52079617288942,61.78429469587976,305.51961191192345,46.523871196198385,1307.0335521864363,13.740443309267992,-0.763180436264832,121.87722550489566,68.00080437793987,18.915395582654316,6.437541535335933,-22.0403743663371,-313.62702261689293,473.9484089745294,63.864578531936274,-359.9619920560793,-306.6869959520713,46.14530729195687,-161.45078578435522,-30.353105744130193,-874.0533281232525,-3529.5233376216875,-168.92091195781057,667.2862466107516,189.3584491407938,18.56243968745963,293.94256845164256,-32.04604178162174,22.97546494372704,-20.825802860628073,-118.95715115475369,15.983956943998457,-1787.2441561223802
t4,85.42321582678846,-24.15880458314046,40.30894003007845,-21.440612263345038,42.18794511406876,281.5754845052252,56.382003564161785,1197.3002358000867,17.234084969250468,1.367176699952788,181.60944582836035,166.1932064291305,2.0439183556747453,10.811584020001153,-32.92063431865711,-424.72688252928737,278.77027345872654,13.235414180798877,-543.9386020862547,-641.7448997474557,-50.90498038392144,-93.5776334693571,-26.550292972758683,-446.9721638556892,-3265.826210564981,-196.95218899836675,463.2445372044995,52.37415389589817,14.249994371714592,201.06600827046606,-35.485345691063316,95.2251120834493,-545.0897577963581,-135.69183382134887,-10.17287081272733,-3295.5509792863795
t5,-246.04606504859007,-88.94476919596428,9.126080648458323,-155.13085733388587,27.067815194955493,277.045831377144,79.39222239722609,1051.3441256916383,20.684777445815484,5.683897549780603,278.6478035078124,491.66648852491954,-30.281718490419273,31.090730459996774,-43.43740855518907,-595.5251636571737,19.617391531533634,31.87511431932166,-1348.208231286755,-1567.2782032944292,-558.5653633461061,-42.98810656329899,-22.75696438924285,9.773641799820432,-3012.93690745086,-207.32021587278737,439.32860136975506,-134.67411821392528,-11.614380619837995,114.95560021943251,-67.1794037185096,220.83376238212705,-1222.7464053942801,-158.49188426644866,-46.02777839230787,-6452.020060670274
t6,-97.51635727393327,-139.02143106880928,94.98440695714882,-243.4005185869683,91.35542702815269,389.82312010156716,99.74199328310418,1106.3466378321762,25.151047394774583,8.434177460873382,448.91283957401583,753.6914309928959,-48.93805802062623,75.56975326027326,-81.27494251796108,-902.4865656390766,-259.4090752494425,-20.65393861962228,-1731.9999858548606,-1948.9999857751745,-904.9999857450239,71.4259817786702,-22.303829668265106,743.960631679498,-3046.708693130777,-337.6862700233354,73.77182566842234,-216.0953049544052,-30.314711809274698,19.45714359062256,-98.56292373428288,445.23473875356933,-1962.4553778333304,-238.56562021992167,-69.72285957544145,-7953.2552799447685
t7,1.1215381674749558,-264.9607318378806,72.4812142192195,-390.30353145783357,-0.6589630138522651,524.088301921311,116.02700054941539,1020.7837859860081,30.92709335453056,4.6814972415369915,636.6053283657726,894.5313700142182,-70.48118220584631,226.30097396265936,-138.87288251748748,-1164.013872998595,-285.5477667697255,20.45671704200536,-1731.9999791264238,-1948.9999791176042,-904.9999791085075,-16.89673115051027,-42.599638570329,251.9647758696948,-4155.864092276261,-481.01789891586844,435.7812581604645,-213.57690150169907,-32.36062855164956,80.1079533129232,-110.93661995856674,601.1276028947094,-2297.9337966225107,-358.12153451479924,-113.80868982285364,-9806.96898897686
t8,322.95435512374746,-226.2128768373346,39.214852930333336,-371.14576517139494,5.597431635434802,546.9741232305607,95.36860715365569,1039.5631015797098,31.35880614879519,-3.8620032843438845,643.4506789008532,991.8182152240456,-47.62728472746036,313.4623039507083,-126.83018940928974,-1179.702903614716,-92.29241392155463,-50.19859867602561,-1385.6587376511707,-1614.5897345695962,-594.6184889172628,-4.942901493154461,-46.00642134204108,387.4900243217758,-4260.618416886724,-532.7345258046711,472.5747852479527,-339.8183357553324,-47.10447592881084,89.87545471864821,-171.28068034006017,546.405216602029,-2181.2551987044653,-394.53269539145055,-109.20072652761326,-8254.125418186222
t9,334.5236484688447,-178.45126163166137,88.75828112204131,-189.34454414488067,249.6549730264086,551.6691229926762,102.18855546515316,1592.660331295082,25.898794799720708,-1.592205287350268,462.096820393745,852.6304782333493,-13.451824034802385,283.1427084106082,-53.262531322276985,-1038.4315341003773,411.80346654552477,-533.5971235453782,-115.33907217179396,-118.12821338620006,51.984684865810316,-162.30067781618374,-54.812382136373905,-509.7305558128151,-4396.880316544102,-490.98465716952876,1067.8552519640627,34.67876098984179,18.357896033743828,288.03530906967325,-274.6948071486206,403.7986822872466,-1743.0634185412118,-378.54412007263306,-61.881360727987,-3494.752839630645
t10,-410.94675604330644,-255.94525143087233,-115.49154400062966,-262.9800335570397,252.64039727463694,288.2182335317898,-28.309319201803905,757.1982988441994,5.561096819625106,0.022045885113286534,-31.90887164468803,601.9075363851493,60.254305672095775,1.4900283952850035,37.07286515818575,-254.82489280615428,474.21499213139697,-1399.9999773701422,-134.83076619645962,-10.26401974134239,120.11124008793428,67.59273448975311,-16.81510849417006,591.8611187831626,-1240.7364934224693,-240.717358354114,-152.3839525205619,192.18747193210328,34.863325516632074,146.53344369508358,-195.59087968892408,291.97795384329095,-1104.4660849513627,-125.74661494251882,-77.6532179376681,-2135.9040538587897
t11,-126.73170225670205,-269.71675185336596,-117.62591926840904,-254.04745161931996,287.1174672521748,318.5038362746102,-78.26318710156677,76.17374520871856,3.489232721376551,-5.984570462247318,-154.03994717333424,475.47921212662783,77.01985636824816,-156.03890166021438,40.063401516098885,-102.39651975152641,579.9086992078139,-745.3239782917357,-192.54592554302087,-3.3425838918217377,106.28183012283566,89.89044281222158,-15.8528024250284,693.1163518777179,-856.4743718077406,-239.72522495648084,-265.8299411834051,290.6849187656566,45.71622564000144,124.97445947097896,-163.8302227282634,282.6040712296105,-1029.6758365355788,-120.35530040157948,-76.12855625722581,-1482.9059445738756
t12,-115.66558299294316,-295.03749391110557,-147.9416174943997,-308.48422182914004,255.19941811629977,276.1923101126935,-58.357396961092874,46.99563662298844,5.385978448761236,-8.435695221201467,-115.89458931826191,451.316364299303,55.42528279055436,-228.02764506191699,18.973568593351086,-330.7366111473966,343.03754538140475,-178.83740083555733,-120.54641207420103,-44.61100750156688,80.2113696652812,159.1508888122135,-16.50702813030158,1035.524514021565,-479.3450172711857,-317.54242672109933,-553.1754723455142,129.85449853832742,36.482571139045184,113.88393397735719,-170.3499878501916,283.8703224153876,-1213.415479483213,-155.8442157682396,-97.82761040094978,-1665.078709384945
t13,-168.79975425906514,-217.7660858847359,11.900648342251241,-107.50523810582857,280.04600968989666,261.2059847274975,31.90456482956261,978.010939334387,9.54288671372705,3.786873631146326,-11.912274459739747,173.0897979729371,10.923160170526526,-168.81770779605776,-9.225314322410917,-510.0778599652789,45.8169542407707,-745.4567774178207,-178.0259346524786,-74.65149046214204,68.98624046339164,127.25957803072352,-14.935906949935019,963.9305697325798,-648.8813363311143,-289.1618944734897,-361.8108436950531,186.855826546545,83.63892119841331,123.64034705230952,-142.3292653285112,305.4193958092484,-921.2636852117608,-150.59679196433916,-64.59795260624612,-1119.857415400094
t14,-124.70067877004487,-148.37655920606707,36.02547117369803,172.3908611094922,379.3930050925538,296.1396405986707,65.93561151921156,1470.2025957457026,13.464114728139547,4.119519805579285,28.391977477909116,-95.8337963824265,9.960598029044254,-72.53119157040678,-16.6821945996114,-538.0212011490846,-18.88393392139487,-657.9939994950736,-74.70056242425049,-38.93725943055082,192.6898177397096,175.1582716790696,-11.988729195274106,1166.2326201281276,-173.7041294985886,-325.6015134758856,-483.8895220548816,68.75385889620134,161.50723288875113,104.49884173586987,-130.2067976640997,213.90263841458614,1035.7540380252751,-163.52987005728227,-49.12628378408901,2469.8124921085796
