Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
t1,-4.132220098229863e-6,-2.0748666468081543e-6,-6.626854461107602e-7,-5.853590474210118e-7,5.250010830333736e-6,4.8440765793280936e-8,1.6368510280573052e-5,1.3604623326475656e-5,3.640975635531273e-6,4.649060019086569e-6,-3.8084168304303306e-7,-2.886248128991025e-8,-9.13034805474421e-7,-9.178172853269265e-7,-1.439601208610807e-6,-9.991666075581837e-7,8.293114412431737e-6,4.975500819615519e-6
t2,-3.5223969237934267e-6,-2.1090373385492193e-6,-6.572009945843984e-7,-8.383068150398773e-7,6.009279113445472e-6,7.24178727206095e-7,3.408116844628633e-5,1.620631862849433e-5,5.502236524406525e-6,7.420838960665527e-6,-6.231370983367747e-7,1.6372102164894374e-7,-9.126294741929622e-7,-1.0180741555841694e-6,-1.2161439176105505e-6,-9.478901837113395e-7,9.726230012113493e-6,6.8970647363129325e-6
t3,-2.99124369318146e-6,-1.9157005352167096e-6,-5.683446539381963e-7,-7.89442450927077e-7,1.6394900079405867e-6,1.2789137836301528e-6,3.0882658497871713e-6,1.0303429351391638e-5,4.248487973837094e-6,2.548944250214027e-6,-1.555280562569409e-6,-1.1973216410504785e-7,-6.096593237428978e-7,-1.0769488568534835e-6,-7.136279915995203e-7,-8.886667571771756e-7,6.455824626150212e-6,2.358872436352689e-6
t4,-4.0202532884031603e-7,-1.2775977622949189e-6,6.002456787701691e-7,-4.8225363631251e-7,3.524490569225992e-6,1.4600686088853384e-6,7.21497931236103e-6,8.08200605350413e-6,4.924636665451236e-6,4.487763960994539e-6,-5.228877109270257e-7,-1.632096527854955e-7,1.1160349857030081e-7,-4.7634899490001454e-7,1.1308102216795618e-6,-6.722179380586343e-7,6.326531618304806e-6,1.5460189544807728e-6
t5,3.4910917700992718e-6,-7.29556796274957e-7,1.6780368309377174e-6,-1.720650260940689e-7,6.351199652195733e-6,5.558604511774759e-7,4.6381101591279946e-5,6.5355617207349576e-6,5.387481553737973e-6,7.58536602400823e-6,1.0993048081711355e-6,4.441427970508411e-8,1.8011764498310732e-6,1.722108244192459e-7,4.105864034056957e-6,-3.268658945181802e-7,6.706116950777837e-6,1.0950275430790618e-6
t6,6.182008354631869e-6,-1.5263107212239989e-6,5.6885626105532766e-6,6.538567146861514e-8,1.1823438057560654e-5,1.025232935059936e-6,1483.8700632589405,6.127263081988445e-6,9.650229846442935e-6,1.3633723173559288e-5,1.9722142465073424e-6,3.9248863231187865e-7,3.2566896946322976e-6,6.014985737023924e-7,9.264015605945274e-6,-4.4303661534120036e-8,9.578873725399658e-6,6.165418836424939e-7
t7,1.116684500966691e-5,-2.436869061173986e-7,1.1571597111404566e-5,-1.5973457898240784e-7,1.8605958919495413e-5,8.50009686317283e-7,959.0967463133238,1.4890340813879498e-5,1.5033607007768607e-5,2.2513891602715045e-5,2.1086680047137885e-6,5.496597515742021e-7,3.7345480504080852e-6,6.395180717146119e-7,1.3492822936108048e-5,-2.440589069376043e-8,1.612154754061551e-5,1.254216079765802e-6
t8,1.0595975518672023e-5,1.0711114643425849e-6,1.374684291530017e-5,1.1377139505415926e-6,1.910333021889474e-5,2.267889916480849e-6,5.471240734036273e-5,1.6610453084579944e-5,1.728272517325165e-5,2.4424608852400953e-5,3.1401723297604182e-6,4.888854469412559e-7,5.606978131043992e-6,7.107587899891048e-7,1.1897164070875536e-5,1.1343728606620258e-7,1.8479538171046586e-5,1.3228279774196424e-6
t9,5.215643472849478e-6,8.556777258111897e-7,8.324410489029048e-6,4.779534419786388e-6,1.4278014325438701e-5,1.4404708288704556e-5,1.0189207224554942e-6,2.0341294269660553e-5,1.467958890170784e-5,1.9097999324232462e-5,-3.5821684938243944e-7,-1.0570410472577492e-7,8.603132541033848e-6,4.5488004115008714e-7,8.047827937096163e-6,4.990897538117072e-7,1.8411749407580785e-5,2.37896686284468e-6
t10,6.492879678830112e-6,-2.8718287848518e-6,3.145910283263517e-6,1.2930377943989737e-6,-1.0004193623248358e-7,1278.7887130155796,-5.076743071520234e-7,2.409674293609537e-6,5.785439248157065e-6,-5.547338025873262e-8,-2.0325516825645073e-6,-5.652538193898393e-7,3.7779236659387277e-6,-1.9816852736106547e-6,3.3543898731534574e-6,-4.875541403679382e-7,4.913976971076171e-6,9.2650553171732e-7
