Resource,TechGroup,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Solar_z01_01,SolarPV,1,28,3.74E-06,0.005438779,28.00543504,0,0,0,0,0,0,0,0
Solar_z02_01,SolarPV,2,10,3.67E-06,11024.43965,11034.43965,0,0,0,0,0,0,0,0
Solar_z03_01,SolarPV,3,15,3.55E-06,8963.625991,8978.625987,0,0,0,0,0,0,0,0
Solar_z04_01,SolarPV,4,723,3.70E-06,5742.437918,6465.437914,0,0,0,0,0,0,0,0
Solar_z05_01,SolarPV,5,0,0,2925.282754,2925.282754,0,0,0,0,0,0,0,0
Solar_z06_01,SolarPV,6,92,3.61E-06,21175.96417,21267.96417,0,0,0,0,0,0,0,0
Solar_z07_01,SolarPV,7,209,3.79E-06,36164.9502,36373.9502,0,0,0,0,0,0,0,0
Solar_z08_01,SolarPV,8,216,3.57E-06,30513.70739,30729.70739,0,0,0,0,0,0,0,0
Solar_z09_01,SolarPV,9,3,3.39E-06,4573.597136,4576.597133,0,0,0,0,0,0,0,0
Solar_z10_01,SolarPV,10,8,3.61E-06,4219.544632,4227.544628,0,0,0,0,0,0,0,0
Solar_z11_01,SolarPV,11,13,3.77E-06,7284.854205,7297.854201,0,0,0,0,0,0,0,0
Solar_z12_01,SolarPV,12,253,3.71E-06,32518.36328,32771.36328,0,0,0,0,0,0,0,0
Solar_z13_01,SolarPV,13,1,3.16E-06,3991.207835,3992.207832,0,0,0,0,0,0,0,0
Solar_z14_01,SolarPV,14,16,3.78E-06,5169.736969,5185.736966,0,0,0,0,0,0,0,0
Solar_z15_01,SolarPV,15,22,3.67E-06,13319.02968,13341.02968,0,0,0,0,0,0,0,0
Solar_z16_01,SolarPV,16,259,3.83E-06,28786.04795,29045.04795,0,0,0,0,0,0,0,0
Solar_z17_01,SolarPV,17,41,3.40E-06,1982.842345,2023.842341,0,0,0,0,0,0,0,0
Solar_z18_01,SolarPV,18,55,3.71E-06,37712.60347,37767.60346,0,0,0,0,0,0,0,0
Wind_z01_02,Wind,1,164,5.78E-05,0,163.9999422,0,0,0,0,0,0,0,0
Wind_z01_03,Wind,1,923,2.25E-06,8243.371863,9166.371861,0,0,0,0,0,0,0,0
Wind_z02_01,Wind,2,73,2.16E-06,16042.04399,16115.04399,0,0,0,0,0,0,0,0
Wind_z02_02,Wind,2,650,2.17E-06,5875.807277,6525.807275,0,0,0,0,0,0,0,0
Wind_z03_01,Wind,3,0,0,13387.14746,13387.14746,0,0,0,0,0,0,0,0
Wind_z04_01,Wind,4,3674,0.000411054,0,3673.999589,0,0,0,0,0,0,0,0
Wind_z04_02,Wind,4,2885,0.000294668,0,2884.999705,0,0,0,0,0,0,0,0
Wind_z04_03,Wind,4,202,2.15E-06,19919.99444,20121.99444,0,0,0,0,0,0,0,0
Wind_z04_04,Wind,4,1110,2.20E-06,0.005596308,1110.005594,0,0,0,0,0,0,0,0
Wind_z05_01,Wind,5,1029,7.48E-05,0,1028.999925,0,0,0,0,0,0,0,0
Wind_z05_02,Wind,5,3935,2.16E-06,7292.294981,11227.29498,0,0,0,0,0,0,0,0
