Costs,Total,Zone1,Zone2,Zone3
cTotal,7.142895195939082e9,3.7680804952294545e9,1.5504529878194525e9,1.0099932678226043e9
cFix,6.584204775093014e9,3.8816888916280794e9,1.716126046129701e9,9.863898373352339e8
cVar,4.492783342149997e8,3.3465408047855496e8,8.556742437950666e7,2.905682935694013e7
cNSE,0.0,0.0,0.0,0.0
cStart,7.08900866311224e7,5.32939199766224e7,1.3555445706393743e7,4.040720948106288e6
cUnmetRsv,0.0,-,-,-
cNetworkExp,3.8522e7,-,-,-
