Resource,TechGroup,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Solar_z01_01,SolarPV,1,28,0,0,28,0,0,0,0,0,0,0,0
Solar_z02_01,SolarPV,2,10,0,2781.478592,2791.478592,0,0,0,0,0,0,0,0
Solar_z03_01,SolarPV,3,15,0,4886.717785,4901.717785,0,0,0,0,0,0,0,0
Solar_z04_01,SolarPV,4,723,0,0,723,0,0,0,0,0,0,0,0
Solar_z05_01,SolarPV,5,0,0,326.6455572,326.6455572,0,0,0,0,0,0,0,0
Solar_z06_01,SolarPV,6,92,0,7044.261455,7136.261455,0,0,0,0,0,0,0,0
Solar_z07_01,SolarPV,7,209,0,16482.90006,16691.90006,0,0,0,0,0,0,0,0
Solar_z08_01,SolarPV,8,216,0,10010.9551,10226.9551,0,0,0,0,0,0,0,0
Solar_z09_01,SolarPV,9,3,0,0,3,0,0,0,0,0,0,0,0
Solar_z10_01,SolarPV,10,8,0,0,8,0,0,0,0,0,0,0,0
Solar_z11_01,SolarPV,11,13,0,4895.265638,4908.265638,0,0,0,0,0,0,0,0
Solar_z12_01,SolarPV,12,253,0,9063.498286,9316.498286,0,0,0,0,0,0,0,0
Solar_z13_01,SolarPV,13,1,0,3486.582897,3487.582897,0,0,0,0,0,0,0,0
Solar_z14_01,SolarPV,14,16,0,5315.025157,5331.025157,0,0,0,0,0,0,0,0
Solar_z15_01,SolarPV,15,22,0,9230.585262,9252.585262,0,0,0,0,0,0,0,0
Solar_z16_01,SolarPV,16,259,0,13366.42969,13625.42969,0,0,0,0,0,0,0,0
Solar_z17_01,SolarPV,17,41,0,0,41,0,0,0,0,0,0,0,0
Solar_z18_01,SolarPV,18,55,0,11971.83956,12026.83956,0,0,0,0,0,0,0,0
Wind_z01_02,Wind,1,164,0,0,164,0,0,0,0,0,0,0,0
Wind_z01_03,Wind,1,923,0,0,923,0,0,0,0,0,0,0,0
Wind_z02_01,Wind,2,73,0,0,73,0,0,0,0,0,0,0,0
Wind_z02_02,Wind,2,650,0,0,650,0,0,0,0,0,0,0,0
Wind_z03_01,Wind,3,0,0,0,0,0,0,0,0,0,0,0,0
Wind_z04_01,Wind,4,3674,0,0,3674,0,0,0,0,0,0,0,0
Wind_z04_02,Wind,4,2885,0,0,2885,0,0,0,0,0,0,0,0
Wind_z04_03,Wind,4,202,0,14020.40214,14222.40214,0,0,0,0,0,0,0,0
Wind_z04_04,Wind,4,1110,0,0,1110,0,0,0,0,0,0,0,0
Wind_z05_01,Wind,5,1029,0,0,1029,0,0,0,0,0,0,0,0
Wind_z05_02,Wind,5,3935,0,0,3935,0,0,0,0,0,0,0,0
Wind_z06_01,Wind,6,1181,0,0,1181,0,0,0,0,0,0,0,0
Wind_z06_02,Wind,6,688,0,0,688,0,0,0,0,0,0,0,0
Wind_z07_01,Wind,7,0,0,0,0,0,0,0,0,0,0,0,0
Wind_z08_01,Wind,8,1339,0,0,1339,0,0,0,0,0,0,0,0
Wind_z08_02,Wind,8,1920,0,0,1920,0,0,0,0,0,0,0,0
Wind_z09_01,Wind,9,1461,0,0,1461,0,0,0,0,0,0,0,0
Wind_z09_02,Wind,9,2805,0,0,2805,0,0,0,0,0,0,0,0
Wind_z10_01,Wind,10,2712,0,0,2712,0,0,0,0,0,0,0,0
Wind_z10_02,Wind,10,1221,0,0,1221,0,0,0,0,0,0,0,0
Wind_z11_01,Wind,11,0,0,0,0,0,0,0,0,0,0,0,0
Wind_z12_01,Wind,12,29,0,0,29,0,0,0,0,0,0,0,0
Wind_z13_01,Wind,13,344,0,0,344,0,0,0,0,0,0,0,0
Wind_z13_02,Wind,13,1130,0,0,1130,0,0,0,0,0,0,0,0
Wind_z14_01,Wind,14,861,0,0,861,0,0,0,0,0,0,0,0
Wind_z14_02,Wind,14,1499,0,1112.288258,2611.288258,0,0,0,0,0,0,0,0
Wind_z15_01,Wind,15,2431,0,0,2431,0,0,0,0,0,0,0,0
Wind_z15_02,Wind,15,3380,0,594.2658683,3974.265868,0,0,0,0,0,0,0,0
Wind_z16_01,Wind,16,2678,0,0,2678,0,0,0,0,0,0,0,0
Wind_z16_02,Wind,16,4645,0,11082.19993,15727.19993,0,0,0,0,0,0,0,0
Wind_z16_03,Wind,16,2687,0,0,2687,0,0,0,0,0,0,0,0
Wind_z16_04,Wind,16,326,0,0,326,0,0,0,0,0,0,0,0
Wind_z17_01,Wind,17,1288,0,0,1288,0,0,0,0,0,0,0,0
Wind_z17_02,Wind,17,668,0,0,668,0,0,0,0,0,0,0,0
Wind_z18_01,Wind,18,476,0,0,476,0,0,0,0,0,0,0,0
Wind_z18_02,Wind,18,910,0,10359.9019,11269.9019,0,0,0,0,0,0,0,0
Hyd_z02_01,Hydro,2,188,0,0,188,0,0,0,0,0,0,0,0
Hyd_z03_01,Hydro,3,261,0,0,261,0,0,0,0,0,0,0,0
Hyd_z04_01,Hydro,4,866,0,0,866,0,0,0,0,0,0,0,0
Hyd_z06_01,Hydro,6,85,0,0,85,0,0,0,0,0,0,0,0
Hyd_z07_01,Hydro,7,358,0,0,358,0,0,0,0,0,0,0,0
Hyd_z08_01,Hydro,8,137,0,0,137,0,0,0,0,0,0,0,0
Hyd_z11_01,Hydro,11,501,0,0,501,0,0,0,0,0,0,0,0
Hyd_z12_01,Hydro,12,3985,0,0,3985,0,0,0,0,0,0,0,0
Hyd_z13_01,Hydro,13,1594,0,0,1594,0,0,0,0,0,0,0,0
Hyd_z14_01,Hydro,14,274,0,0,274,0,0,0,0,0,0,0,0
Hyd_z15_01,Hydro,15,289,0,0,289,0,0,0,0,0,0,0,0
Hyd_z16_01,Hydro,16,1613,0,0,1613,0,0,0,0,0,0,0,0
Hyd_z18_01,Hydro,18,746,0,0,746,0,0,0,0,0,0,0,0
coal-new_1_z11,Coal,11,1279,0,0,1279,0,0,0,0,0,0,0,0
CoalOldUns_1_z11,Coal,11,1657,0,0,1657,0,0,0,0,0,0,0,0
gas-CC_1_z11,NGCC,11,4404,0,0,4404,0,0,0,0,0,0,0,0
gas-CT_1_z11,NGCT,11,348,0,0,348,0,0,0,0,0,0,0,0
nuclear_1_z11,Nuclear,11,1818,0,0,1818,0,0,0,0,0,0,0,0
o-g-s_1_z11,NGST,11,789,789,0,0,0,0,0,0,0,0,0,0
coal-new_1_z10,Coal,10,767,0,0,767,0,0,0,0,0,0,0,0
CoalOldScr_1_z10,Coal,10,228,0,0,228,0,0,0,0,0,0,0,0
CoalOldScr_2_z10,Coal,10,1243,0,0,1243,0,0,0,0,0,0,0,0
gas-CC_1_z10,NGCC,10,1202,0,0,1202,0,0,0,0,0,0,0,0
gas-CT_1_z10,NGCT,10,217,0,0,217,0,0,0,0,0,0,0,0
o-g-s_1_z10,NGST,10,569,569,0,0,0,0,0,0,0,0,0,0
coal-new_1_z09,Coal,9,1194,0,0,1194,0,0,0,0,0,0,0,0
CoalOldScr_1_z09,Coal,9,6047,0,0,6047,0,0,0,0,0,0,0,0
gas-CC_1_z09,NGCC,9,840,840,0,-1.11E-13,0,0,0,0,0,0,0,0
gas-CC_2_z09,NGCC,9,624,0,0,624,0,0,0,0,0,0,0,0
gas-CT_1_z09,NGCT,9,3036,0,0,3036,0,0,0,0,0,0,0,0
nuclear_1_z09,Nuclear,9,1060,1060,0,0,0,0,0,0,0,0,0,0
o-g-s_1_z09,NGST,9,134,0,0,134,0,0,0,0,0,0,0,0
coal-IGCC_1_z08,Coal,8,733,733,0,0,0,0,0,0,0,0,0,0
coal-new_1_z08,Coal,8,8227,0,0,8227,0,0,0,0,0,0,0,0
CoalOldScr_1_z08,Coal,8,6975,0,0,6975,0,0,0,0,0,0,0,0
gas-CC_1_z08,NGCC,8,4076,0,0,4076,0,0,0,0,0,0,0,0
gas-CC_2_z08,NGCC,8,513,513,0,0,0,0,0,0,0,0,0,0
gas-CC_3_z08,NGCC,8,177,0,0,177,0,0,0,0,0,0,0,0
gas-CT_1_z08,NGCT,8,3347,631.5348889,0,2715.465111,0,0,0,0,0,0,0,0
o-g-s_1_z08,NGST,8,98,98,0,0,0,0,0,0,0,0,0,0
coal-new_1_z07,Coal,7,1004,0,0,1004,0,0,0,0,0,0,0,0
CoalOldScr_1_z07,Coal,7,2045,0,0,2045,0,0,0,0,0,0,0,0
