transmission_path_name,Path_Max_Reinforcement_MW,Path_Max_Flow_Possible_MW
BASN_to_CANO,10000,100000
BASN_to_CASO,59200,100000
BASN_to_NWPP,33500,100000
BASN_to_RMRG,37500,100000
BASN_to_SRSG,53850,100000
CANO_to_CASO,36750,100000
CANO_to_NWPP,36750,100000
CASO_to_NWPP,28580,100000
CASO_to_SRSG,43540,100000
FRCC_to_SRSE,36000,100000
ISNE_to_NYCW,10000,100000
ISNE_to_NYUP,14000,100000
MISC_to_MISE,10000,100000
MISC_to_MISS,10390,100000
MISC_to_MISW,16550,100000
MISC_to_PJMC,52440,100000
MISC_to_PJMW,54410,100000
MISC_to_SPPC,14300,100000
MISC_to_SPPN,10000,100000
MISC_to_SPPS,11720,100000
MISC_to_SRCE,37450,100000
MISE_to_MISW,10000,100000
MISE_to_PJMW,26620,100000
MISS_to_SPPC,10000,100000
MISS_to_SPPS,16970,100000
MISS_to_SRCE,40920,100000
MISS_to_SRSE,10000,100000
MISW_to_NWPP,10000,100000
MISW_to_PJMC,32000,100000
MISW_to_SPPC,10000,100000
MISW_to_SPPN,55120,100000
NWPP_to_RMRG,10000,100000
NYCW_to_NYUP,24890,100000
NYCW_to_PJME,10000,100000
NYUP_to_PJME,12550,100000
PJMC_to_PJMW,10000,100000
PJMD_to_PJME,12000,100000
PJMD_to_PJMW,69300,100000
PJMD_to_SRCA,10000,100000
PJME_to_PJMW,38850,100000
PJMW_to_SRCA,12190,100000
PJMW_to_SRCE,33330,100000
RMRG_to_SPPC,10000,100000
RMRG_to_SPPN,10000,100000
RMRG_to_SRSG,10000,100000
SPPC_to_SPPN,14330,100000
SPPC_to_SPPS,33720,100000
SPPN_to_SPPS,10000,100000
SPPS_to_SRSG,10100,100000
SPPS_to_TRE,10000,100000
SPPS_to_TRE_WEST,10000,100000
SRCA_to_SRCE,10000,100000
SRCA_to_SRSE,14000,100000
SRCE_to_SRSE,31960,100000
TRE_to_TRE_WEST,165290,100000
NWPP_to_SPPN,10000,100000
SRSG_to_TRE,10000,100000
