Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000.0,1.0,1.0,1.0,5000.0,52.0,168.0,168.0,1,24899.275660265834,21006.862430707195,32514.928958860564,30483.07155131238,26556.705815761277,30508.782511661728,13693.161239333562,26300.77761031309,35455.08602667205,44534.91880781992,12809.506972481837,10873.200796645702,16688.467951138024,15328.895325434256,41527.7154222399,43948.09765701211,21425.523631118653,13164.921539056679,8849.10710499867,21301.109677433196,30142.785350114737,30338.866635438037,34344.35704186315,24833.766090132965,55073.330819184346,2638.7063454141153
,,,,,,,168.0,2,24060.706814760364,20009.257041314602,30969.89332748208,27966.54380516733,25164.63661823819,28641.798714542183,12919.003752935501,24836.558913990608,34051.80808649851,42163.9907416982,12239.615850027878,10408.739871389964,15646.31635832444,14423.242847099584,38780.06673896538,41427.23373215143,20679.066614890497,11428.656458362804,7634.386100220458,18302.648308593438,28234.163518702335,28566.324070141814,32263.154400023708,23854.171877033,52862.976250751635,2533.3987945709064
,,,,,,,168.0,3,23032.55721351263,19004.633322549395,29414.83150771049,26618.045869484027,24625.673994539633,27570.364703084,12343.399611494457,23279.071492491417,31750.79336544196,40166.31076723848,12007.846749170722,10164.973122281659,15199.96654234557,14242.714113876726,37949.45224106422,40571.56444130138,19904.51713030967,10773.670266743451,7208.080214976246,17008.997751468596,28402.659823314676,27332.46591772848,30963.28036444592,22887.612182633446,49776.10176725078,2375.938932833918
,,,,,,,168.0,4,22128.788637196332,17847.611594550344,27621.146404182844,26137.80013625555,24003.408023044092,27256.3582933589,12107.742863691938,22712.438914804978,31382.671132387142,38347.22799792884,11677.75136310144,9841.957100829504,14799.75625790609,14160.473246519645,37597.34392130176,40147.24074841795,18527.98618102871,10714.490809920262,7132.849764639032,16548.698832305567,28646.377692486098,26723.56193519605,30519.959127003494,22177.732241103484,48273.782736619105,2307.739757049745
,,,,,,,168.0,5,20988.294884397626,16428.906442801075,25418.39281421625,25932.26699364211,23645.10326203779,27150.01746450631,11905.178340048922,22020.4451473649,31080.75071781085,35365.256684973385,11396.819119638221,9585.14933222158,14447.691571594669,14117.346938027518,37561.23024747997,39915.5178806731,19062.74638217066,10700.44822694527,7112.788311215775,16138.541407604745,28966.32008041072,26166.821061546132,30054.57212661145,21135.973400355415,47238.807276264044,2263.6108786011623
,,,,,,,168.0,6,20915.070571333155,15982.741218399362,24726.58581509156,26754.39956409587,24190.087814492756,27224.255401629813,11974.371172382429,21488.913702809477,30824.970964598375,34750.200017799194,11435.948967834884,9596.184041028951,14468.755270775693,14745.185754680348,38730.91201626351,40666.86172457308,18890.178362289957,10684.399560688133,7103.7606571753095,15841.703760388502,30593.1117832751,26264.125322346208,30360.48384023122,20867.261784070062,46404.408455512676,2224.4966454308274
,,,,,,,168.0,7,20713.452942210428,15559.636219079084,24073.8809507,27818.158902207386,24947.847183007485,28110.094570279227,12437.662310615464,21940.21398592257,31774.866753979608,34418.089484626835,11718.887870179982,9765.717294524025,14727.537860714005,15340.93057431578,40582.7409572364,41968.92355285368,18503.906922440707,10995.342469420139,7335.470444213928,16267.90646331723,32029.342189256477,27065.631553060233,31211.018703016685,20778.025463736492,47463.453112620184,2281.663601602855
,,,,,,,168.0,8,20714.456014992134,15259.853293020406,23610.67104693825,31323.2509342883,24341.6396881957,28938.75046303621,12942.068030380004,22179.904580731527,33084.86031356978,34259.559381179,11711.864564093403,9758.695207101153,15230.057541175607,16144.283437157499,41263.8849718196,43352.23885423963,18779.815093761597,11375.49525138604,7660.465989670692,16640.95918211602,33897.845852904036,28079.802766141434,32846.89412896374,21057.76628815296,49581.54242683519,2402.015088280808
,,,,,,,168.0,9,21336.3611396493,15538.581230961252,24042.799766681354,34526.56015697094,23249.663273700302,29982.094444231443,13397.336811241039,23654.1521722343,34923.465363132396,35722.451095273565,11605.511643353755,9651.357585065809,15877.014016021383,16654.77857721547,42493.75619697278,44962.261376882445,19176.119558022514,11643.307369551994,8019.566005946992,17512.418355869115,33674.187067615036,29876.42061246036,34600.11929423377,21737.566571143518,52048.635093960635,2521.3636459031113
,,,,,,,168.0,10,22132.80092832315,15964.694085726933,24714.554389019824,37905.32450139676,23883.97310270866,31391.61203421154,14207.594905813101,24782.402880017034,36833.28752045221,38888.03638880468,11814.204167069289,9830.922392022132,16504.9128582748,17094.065161391092,44344.58198033951,47310.587062556486,19773.08451051681,11939.204653667935,8356.59842345771,18178.297402327174,33639.0836708208,31474.417390342016,36330.27570732921,22566.76249154646,54689.226554343266,2657.7619974714576
,,,,,,,168.0,11,22501.93171199063,16205.322521359318,25080.510265368393,41196.86258529883,24929.78139673826,33057.95275802431,15211.392371984679,26798.21081125552,39681.97183074017,41065.31692349961,12305.835593129923,10229.17506443364,17303.327360565094,17070.99760103484,45960.66888386461,49117.22292752827,20779.396859007185,12638.324677494411,8915.309901295417,19153.048054672407,33587.933006920626,33159.687061930956,37948.09732722657,23214.477805428316,58394.87997102152,2843.303872766635
,,,,,,,168.0,12,23203.079586402502,17016.440873136813,26337.794289864574,43999.13152971135,25743.745433646134,34327.020196689664,16062.765048088246,28017.724465178904,42047.18225456377,44328.22766028667,12677.067486277747,10572.25419280829,17710.558878064916,17677.774732145,47527.60106468783,51263.91962438536,22060.614076377286,13202.034079776306,9383.74483872847,19690.564875307224,35036.19886323145,34902.135525948805,40356.27445641042,24007.578135583968,60866.98705413705,2971.6787918897844
,,,,,,,168.0,13,24418.80379782909,18227.60399915315,28215.699375894357,46665.04677951202,26843.75108648341,35997.37378196856,17192.914642868833,29749.714662815157,44383.30400057105,47407.52441649807,13264.015209227686,11044.740360833028,18442.77318292913,18473.10409573237,49801.75935785443,54151.92887216646,23111.071732279004,13780.789106674263,9841.14597677873,20874.906974504465,36451.36723113629,37061.888861026775,42965.04943059084,24982.159072260696,63935.809640073574,3121.115221181576
,,,,,,,168.0,14,25432.91038013295,19382.620490188598,30009.384479422002,47553.350995880355,26909.992302803905,37031.68882486499,17697.32036263337,31379.41012961244,47306.214592183416,49444.3352392772,13403.478001518355,11175.15055582924,19220.123986038394,18390.863228375292,49767.65199924496,54689.60617567833,24262.86293473858,14463.860464243604,10405.875890643414,22023.147197688922,35915.789691475635,37871.42018541503,43673.159823428745,26400.916300035977,67138.01569134655,3291.613160642009
,,,,,,,168.0,15,26666.68990163023,20445.3960808983,31659.695088928154,47189.40694335021,27169.938894122202,37110.94283882117,17891.86252890439,31290.15296250785,47434.60599771752,50976.45845424456,13588.090618651328,11352.709052093312,19463.861076561687,18799.05875294031,50383.59076942771,55219.25844480943,26292.54377321917,14483.921297065024,10550.318355290865,22065.266053037172,36597.79854347797,38226.53058049984,43848.682937800746,27497.821181439624,67346.6153965344,3306.657096476753
,,,,,,,168.0,16,27738.974705272987,21524.213567316823,33338.07902593502,47327.76583935341,27210.085085831593,37624.58910648651,18296.99157619042,31768.53126260773,48095.62112464701,53421.63479666463,13663.340326721833,11399.857353361174,19675.501101666276,19121.001660521073,51512.14307635865,56313.6725084875,26464.108490658706,14684.529625279221,10720.840709388549,22440.324431614452,37832.43515644101,39266.783348022305,44606.942791887785,28188.650672561296,67619.39962639542,3316.686387033249
,,,,,,,168.0,17,27692.833357314554,21682.62728744148,33583.72064156625,49323.94382444296,27677.788219245984,39074.235311127966,19010.981382298472,32357.22740969081,49413.639147083064,53319.29257798311,13776.71655354806,11464.059295513156,20409.721473119156,20449.89372452267,55584.962957371616,59074.284335473814,27167.423501916688,15067.691532168337,10948.538205742516,22808.363000967023,41607.55474311273,41692.36791105924,46911.8120308984,28520.5295717794,68103.79221103834,3341.7596134244895
,,,,,,,168.0,18,27996.7644101712,21982.410213500156,34048.93578300662,51405.34286866493,28900.2397567969,41359.55991609214,20397.846412983083,33531.611035302885,53563.28949625958,52970.12500836383,14101.795292412642,11705.819733929211,21616.370526203602,21000.50636085239,57738.74233779892,60755.529038246,27679.107746911795,16137.936963191078,11519.286555634179,23838.26929722068,41132.15445509934,44049.7391778652,49370.138621331396,28878.477508398322,69807.69076447171,3434.029086544253
,,,,,,,168.0,19,28746.059778104915,22446.622570574298,34773.82920382858,50456.88261055607,32821.519032011536,43293.75914276945,21213.118480912643,33592.78729590266,54594.432971955364,53996.5572604343,15562.64295842138,12920.640858086232,23448.9123549528,22426.68335331297,60106.19428833848,64409.92906939104,29333.553472395975,16712.67982352475,11923.524842112807,24298.568216383705,43353.69799507751,45255.50950241872,50768.3056009575,29846.039858082524,71486.51723795464,3506.2399785510247
,,,,,,,168.0,20,30676.97488288724,23521.42958306562,36447.20004663889,49370.063456444026,33133.65567255204,44515.67545920771,21074.732816245632,36961.4931869624,56671.76579118296,58483.56120105906,15597.759488854283,12947.726052431597,23515.11255237888,21865.03840550852,58917.452525037894,63822.09530099933,29665.64658042221,18059.764747483085,12572.512860355173,27357.199378578105,42350.74380095644,46210.49564965245,51576.71491629369,31608.70784849167,80853.44630744716,3968.5902732054938
,,,,,,,168.0,21,31814.45941734083,25414.373276707047,39377.854913945375,46008.34332384469,31913.211444586595,43497.41186217583,20206.312630726567,37042.72723792276,55202.286032530894,59734.744992194814,15121.17800440775,12602.640613364698,22688.613117847224,20716.67507472978,56206.92067319133,61515.90104582436,32115.711141751723,17956.451458452775,12415.030450982604,27416.366342043504,39493.327301905505,44704.78744902447,49295.917418682664,33620.03434949324,82006.7619851684,4027.7630874888205
,,,,,,,168.0,22,32989.05764471751,27145.895394778414,42063.87078445995,41557.798835741945,30944.684569597568,41543.14832816784,19088.19657200398,35753.011317737335,51995.51006774547,62666.54855089462,14774.026017842487,12349.845466141272,21957.401846277346,19289.49514486241,53169.359441736335,58394.162671703205,30974.956266144985,17113.896479953146,11788.110031505823,26316.261953542766,36466.411544048104,42540.01843040011,46022.16058833861,34129.38323409383,79315.02348168683,3882.3383744196276
,,,,,,,168.0,23,32222.71003949481,26636.5652060232,41274.80975792207,37067.15031981219,29791.48521274535,39335.07130642678,17744.451712193877,34205.552791418435,48956.24476486781,61460.515738588954,14302.461180600656,12013.788425189496,21213.15114188112,17636.654298466463,49572.0362660436,54504.027255622925,29086.741071868924,16243.25633550353,11121.066705182528,25052.696293095243,32687.2801405999,39500.51420128434,42252.92708085301,33097.65094619223,75879.14564527555,3702.8140734583476
,,,,,,,168.0,24,30637.85504440074,25228.888857573747,39082.08235634859,32549.431585099213,27755.069638286557,36539.11007989686,16101.874040276749,32091.4616874131,45016.23350753995,57141.07209717804,13564.010712068766,11459.043518782531,19980.423223143975,15715.026227049813,45125.03859793264,49965.87031329514,27255.714116739375,15036.597241295136,10225.3228098341,23127.262905746637,29103.724805005306,36003.57963273729,37963.14216560131,31110.38817202219,70425.4668144511,3426.0056540990563
,,,,,,,168.0,25,28541.43293063707,23751.029215398186,36783.07735780813,27706.870224987422,22877.307345595713,33149.24535637889,14280.798916832608,29372.628204036217,40833.48224912418,52830.658651533144,12050.989915131146,10414.758803466711,18280.281789246932,13389.214380695323,39424.093922120635,44925.14559287137,24669.200423411166,13664.436276310029,9225.259356684739,20899.97772173557,24576.38957274278,31574.73106126993,32718.511508165928,28606.75792625903,63623.91296548983,3079.995129899942
,,,,,,,168.0,26,26249.411624440905,21653.551351469232,33524.56613004689,24911.619485444637,21518.358756232872,30258.98188539479,13141.62417000852,25265.79562770706,34338.68263323877,47293.141936795204,11430.932320630183,9864.026518444247,17003.420405559067,12854.648742874304,38217.29532190916,43579.949204794095,21963.2937395841,11674.401660425196,7892.17577670931,17571.585319334514,24117.03655183533,29464.131424946638,29732.612585391948,25747.185054446236,54249.96371361118,2584.5481764090364
,,,,,,,168.0,27,23053.62174192844,18994.60713773138,29406.810556996003,24291.009654821613,20694.35817139765,29796.499601422674,12845.799741915996,24530.67761099173,33087.86948713698,41116.48803284037,10968.397448356813,9475.805399493986,16682.449751372016,12720.255130363954,37639.47654076052,43083.400202483695,17485.554944656327,11343.39791887177,7600.281629400921,16777.344047053215,24237.391055129858,29366.82716414656,29428.70685022214,22317.101325669395,51841.03827197081,2468.208405953682
,,,,,,,168.0,28,19579.98069888366,15512.51315043441,24040.79452900273,24376.230713954017,20605.032894844255,29788.473878490404,12823.738259142994,24109.46401341951,32399.771798102636,33222.090223172294,10802.848090601701,9300.253213922162,16549.046323225524,13054.233286826242,38302.56371843283,43566.90852392534,17308.973715010958,11243.093754764672,7533.075760433009,16457.44131238436,25491.0837977812,29793.16026559019,30018.464514512063,19837.534806737756,50963.51547370465,2426.0853856163985
,,,,,,,168.0,29,19216.86835190641,14804.664502282478,22943.929518796336,25306.644159540712,20500.65279639984,30326.197314952562,12969.143486510506,24294.998574254892,32816.04080823274,32356.194784719886,10696.495169862055,9182.88403842557,16690.474017726694,13450.393562509737,39386.977090692686,44467.71863316724,17562.809232626176,11474.796373852068,7616.330792139526,16492.5403585079,27177.049798098724,30812.34716221779,31332.380399239613,19440.483314017605,51468.96860550596,2458.179115397186
,,,,,,,168.0,30,19055.373634051888,14348.473093062748,22240.09109359991,27731.935242379306,21384.87266879915,31340.44805051831,13475.554795618045,24634.97812086676,33205.227256258,31776.255545524644,10889.134422522548,9323.32578688303,17060.593303336136,14626.839140678696,42212.87206724775,47016.67017836063,17733.370647624546,11692.456409964472,7712.62576857116,16647.97899134073,30947.154613799838,33032.28869985251,34014.37358684379,19435.470037594372,52572.14012332627,2514.343142513564
