region,Resource,cluster,R_ID,Zone,Resource_VRE,Resource_GRID,Resource_STOR,ESR,ESR_1,Cap_size,Existing_Cap_MWh,Existing_Cap_MW,Existing_Cap_Grid_MW,Min_Cap_VRE_MW,Max_Cap_VRE_MW,Min_Cap_Stor_MWh,Max_Cap_Stor_MWh,Min_Cap_Grid_MW,Max_Cap_Grid_MW,capex_VRE,Inv_Cost_VRE_per_MWyr,Fixed_OM_VRE_Cost_per_MWyr,capex_GRID,Inv_Cost_GRID_per_MWyr,Fixed_OM_GRID_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Fuel,Heat_Rate_MMBTU_per_MWh,Min_power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,EtaInverter,Ratio_VRE_STOR,Inverter_Ratio,Power_To_Energy_Ratio
NE,pv_battery,1,1,1,pv,pv_grid,storage_hybrid,0,1,1,0,0,0,0,-1,0,-1,0,-1,0,59710,13132,0,25590,5628,0,17995.2,5622,0,0,None,0,0,0,0.85,0.85,0,10,0.9,-1,-1,0.25
NE,wind_battery,1,2,1,wind,wind_grid,storage_hybrid,0,1,1,0,0,0,0,-1,0,-1,0,-1,0,68040,30243.5,0,29160,12961.5,0,17995.2,5622,0,0,None,0,0,0,0.85,0.85,0,10,0.9,-1,-1,0.25
