Resource,TechGroup,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Solar_z01_01,SolarPV,1,28,0,0,28,0,0,0,0,0,0,0,0
Solar_z02_01,SolarPV,2,10,0,2233.436689,2243.436689,0,0,0,0,0,0,0,0
Solar_z03_01,SolarPV,3,15,0,5033.204285,5048.204285,0,0,0,0,0,0,0,0
Solar_z04_01,SolarPV,4,723,0,0,723,0,0,0,0,0,0,0,0
Solar_z05_01,SolarPV,5,0,0,0,0,0,0,0,0,0,0,0,0
Solar_z06_01,SolarPV,6,92,0,7209.570195,7301.570195,0,0,0,0,0,0,0,0
Solar_z07_01,SolarPV,7,209,0,17435.00933,17644.00933,0,0,0,0,0,0,0,0
Solar_z08_01,SolarPV,8,216,0,12269.59545,12485.59545,0,0,0,0,0,0,0,0
Solar_z09_01,SolarPV,9,3,0,0,3,0,0,0,0,0,0,0,0
Solar_z10_01,SolarPV,10,8,0,0,8,0,0,0,0,0,0,0,0
Solar_z11_01,SolarPV,11,13,0,4290.619443,4303.619443,0,0,0,0,0,0,0,0
Solar_z12_01,SolarPV,12,253,0,9768.485826,10021.48583,0,0,0,0,0,0,0,0
Solar_z13_01,SolarPV,13,1,0,3170.711878,3171.711878,0,0,0,0,0,0,0,0
Solar_z14_01,SolarPV,14,16,0,4534.494855,4550.494855,0,0,0,0,0,0,0,0
Solar_z15_01,SolarPV,15,22,0,3172.789143,3194.789143,0,0,0,0,0,0,0,0
Solar_z16_01,SolarPV,16,259,0,18264.93512,18523.93512,0,0,0,0,0,0,0,0
Solar_z17_01,SolarPV,17,41,0,0,41,0,0,0,0,0,0,0,0
Solar_z18_01,SolarPV,18,55,0,14106.41252,14161.41252,0,0,0,0,0,0,0,0
Wind_z01_02,Wind,1,164,0,0,164,0,0,0,0,0,0,0,0
Wind_z01_03,Wind,1,923,0,0,923,0,0,0,0,0,0,0,0
Wind_z02_01,Wind,2,73,0,0,73,0,0,0,0,0,0,0,0
Wind_z02_02,Wind,2,650,0,0,650,0,0,0,0,0,0,0,0
Wind_z03_01,Wind,3,0,0,0,0,0,0,0,0,0,0,0,0
Wind_z04_01,Wind,4,3674,0,0,3674,0,0,0,0,0,0,0,0
Wind_z04_02,Wind,4,2885,0,0,2885,0,0,0,0,0,0,0,0
Wind_z04_03,Wind,4,202,0,13865.20474,14067.20474,0,0,0,0,0,0,0,0
Wind_z04_04,Wind,4,1110,0,0,1110,0,0,0,0,0,0,0,0
Wind_z05_01,Wind,5,1029,0,0,1029,0,0,0,0,0,0,0,0
