Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,Total
Sum,-4.567012918313763e6,3.2346654302187366e6,-3.5949032783512785e6,-712946.5210612607,-8.757201793249076e6,-2.591090384878603e6,-764773.0476683024,2.6621489933776017e6,-910714.3532782582,24566.847213713874,2.5660327551886663e6,1.3073339551620778e7,3.8412819131381703e6,-6.34688560466692e6,-184852.48394892918,-6.084589870473857e6,9.109313383679802e6,-1.1539438850149924e6,-3.889575764064549e6,-1.446782525595822e6,-3.912310857474562e6,-293941.5358640498,1.5214923517844444e6,-9.329281271225411e6,4.372814885399763e7,6.74547285411355e6,6.216953049458998e6,1.397917449651329e7,-1.323208322322587e6,1.6056328449618095e6,3.3997112795577412e6,5.479019886192652e6,1.5259021934474332e7,6.73911850448494e6,1.9812181037339054e6,8.530229861625855e7
t1,-254.2932239463753,1039.0,-1130.0,-1145.9706742126245,-1480.0,-1200.0,-716.0,378.8414700536241,-223.0,-300.0,1195.0,2419.881332287252,716.0,-1120.3252904590004,552.9870020887479,-1437.2740608657475,2000.0,97.55136762450911,-533.5879716172064,1949.0,-905.0,956.0,300.0,-2811.490537284624,5283.0,1200.0,2444.088608664624,2143.0,-792.0,-2119.0,1070.0,885.9571975967192,3372.0,980.0,600.0,13414.365219929898
t2,-1412.2671394068666,1039.0,-1130.0,109.91166301986595,-1480.0,-1200.0,-716.0,-715.973121406867,-223.0,-300.0,1195.0,2676.4926841201795,716.0,-1204.4372285179995,321.1832844578207,-1058.4838086288214,2000.0,208.59208062467587,-506.5054736172067,1949.0,-905.0,956.0,300.0,-1897.182139366134,5283.0,1200.0,1386.0167624901333,2143.0,-792.0,-2119.0,1070.0,1154.6717930583345,3372.0,980.0,600.0,13000.019356827113
t3,-2100.0,772.5585969281469,-1130.0,991.5967043088531,-1480.0,-1200.0,-716.0,-1371.003839,-223.0,-300.0,1195.0,2830.032850105641,716.0,-1052.9383850767454,201.64275965235947,-1080.4099104106144,2000.0,99.58069743602482,-196.13438654535298,1949.0,-905.0,956.0,300.0,-1933.924980881001,5283.0,1200.0,1372.3428854330004,2143.0,-792.0,-1664.7032912319141,1070.0,1366.0624225026131,3372.0,980.0,600.0,13252.70212322101
t4,-2100.0,1039.0,-1130.0,685.778039541,-1480.0,-1200.0,-716.0,-1379.7265290000005,-223.0,-300.0,803.8763054319425,3000.0,716.0,-1201.949573023333,209.27521157399985,-949.5964987056668,2000.0,323.12279543474233,91.31946428979973,1949.0,-905.0,956.0,300.0,-2024.660778948999,5283.0,1200.0,1516.2311643489993,2143.0,-363.5664070929936,-1100.6336630646351,1070.0,1433.0,3372.0,980.0,600.0,14596.469530784858
t5,-2100.0,1039.0,-1130.0,559.430388885,-1480.0,-1200.0,-716.0,-1504.9027190000006,-223.0,-300.0,848.2820679200001,3000.0,716.0,-1616.0,295.8274404456049,-747.1465977996049,2000.0,194.776412087499,-130.98260461720633,1451.988318907005,-905.0,956.0,300.0,-1634.284569972997,5283.0,1200.0,1337.0005621289984,2143.0,-792.0,5.726267656609252,1070.0,1433.0,3372.0,980.0,600.0,14305.714966640908
t6,-2100.0,934.3056719081987,-1130.0,437.9332859268011,-1480.0,-799.1201677650015,-716.0,-1801.6303000000007,-223.0,-300.0,1135.54683032,2824.3627072435056,716.0,-1616.0,600.0,-867.6065610620001,2000.0,-457.3472962630167,-1635.6455057102012,1949.0,-905.0,956.0,300.0,-1624.6517711539973,5283.0,1200.0,1222.3888397989986,1477.9902912807465,-792.0,1191.4439091131248,1001.2915007315053,1214.256712939483,3372.0,980.0,600.0,12947.518147308147
t7,-2100.0,1039.0,-1130.0,266.81703724199997,-1480.0,-76.9015338380018,-716.0,-2166.7219510000004,-223.0,-300.0,1195.0,2059.831546754791,716.0,-1597.8396770157892,600.0,-1144.66160997221,2000.0,153.94406190593327,-1732.0,1120.6367342897993,-905.0,956.0,300.0,-2368.5951318000016,5283.0,1200.0,621.2928418149995,2143.0,-792.0,824.979855296177,261.17862404679136,421.06524800260195,3372.0,980.0,600.0,9381.026045727089
t8,-1555.0741885611965,1039.0,-1130.0,-485.2945998618038,-1480.0,-133.08350419200224,-716.0,-1805.4408345611969,-223.0,-300.0,603.4269039680003,2446.1949739624597,716.0,-1616.0,600.0,-1436.2003142979993,2000.0,39.607169915130726,-1732.0,1069.5883442897994,-905.0,-956.0,300.0,-479.92554400480003,4775.811500735801,1200.0,-1547.8823307111975,2114.694988,-792.0,1279.0236541971803,636.2521721864596,440.36508504058884,3372.0,980.0,600.0,6919.063476105224
t9,-695.7939957347434,-1039.0,-1130.0,495.73272217674355,-1480.0,60.68486020203761,-141.86264489985138,-968.1491829200407,223.0,-300.0,4.255141886000274,3000.0,716.0,-1102.6114313660005,472.9604598231669,-1572.0202583710175,2000.0,-1283.2073849748285,771.1380949645453,895.4232545218156,-905.0,956.0,-300.0,-2673.155217288998,5283.0,1200.0,703.5069703529595,2143.0,-675.989434110178,1147.2445327051464,1070.0,708.4671747139378,3372.0,980.0,600.0,12535.623661680695
t10,-255.15555001468977,255.15985806968922,-1130.0,-1172.0,-1480.0,-873.9310092285391,-716.0,1421.4148599692362,14.608475055529084,-300.0,-273.263019181529,1648.9449859539084,716.0,-264.51731673799986,-600.0,-1912.0,2000.0,-1400.0,-1011.9983819620174,-1949.0,-905.0,-67.14358867069632,-300.0,-2942.0,5283.0,1200.0,2777.6223700595397,1502.4807333023796,-792.0,1612.8979495646724,-1070.0,-523.9540261761917,2473.0227723939297,980.0,600.0,2547.189112397221
t11,-963.6192754379999,1039.0,-1130.0,-1172.0,-1480.0,-625.1528644399577,-716.0,1289.8859846949447,-166.1774751862265,-300.0,166.88972480422547,946.6895763959159,716.0,-559.3308971559991,-600.0,-1912.0,2000.0,-1400.0,-1438.558994157103,1633.9173119693792,-905.0,-956.0,-300.0,-2942.0,5283.0,-23.022419081440603,2548.785405665959,2143.0,-792.0,2119.0,-1070.0,-502.25370355707446,1443.0617281687755,980.0,600.0,2956.1141026833984
t12,773.5637102290382,-624.9689777480387,-1130.0,-1172.0,-1480.0,-1000.4451885006026,-146.2972870557021,2112.9274196246024,223.0,-300.0,-980.1338788582982,1519.3388867233127,716.0,-59.72312458970168,-600.0,-1912.0,2000.0,-1400.0,-29.800692758066475,-346.2195431667777,-905.0,-956.0,-300.0,-2942.0,5283.0,1200.0,2730.254231160602,2143.0,-792.0,2119.0,-1070.0,-679.1803812799317,569.3739448462038,980.0,600.0,4143.689118626639
t13,214.37472524603243,-137.6741160490327,-1130.0,-1172.0,-1480.0,-877.2558200113328,716.0,1078.9357922310146,-223.0,-300.0,-1195.0,689.0171506510151,-246.72646120973604,859.890509103,67.71108692273526,-1912.0,2000.0,-1400.0,-543.9161066391252,1949.0,-905.0,-956.0,-300.0,-2942.0,5283.0,-1030.0808087639248,2627.816911050333,2143.0,-792.0,2119.0,-1070.0,-1156.3521502170197,508.0814863096002,980.0,600.0,2066.8221986235594
t14,1679.2985956131593,-1039.0,-1130.0,-1172.0,-1100.6533679067893,-1200.0,716.0,1908.7495643848983,223.0,107.56528406664759,-1195.0,848.4324234951523,186.744692799708,446.2558478940001,33.183011575080855,-1905.7713898037887,2000.0,-1400.0,662.8931319091289,1949.0,-905.0,-956.0,-300.0,-2942.0,5283.0,-1200.0,2820.378903703002,2143.0,-3.459453398343612,2119.0,-1070.0,-1433.0,162.60137940697678,980.0,-50.74996101615886,5266.468662722675
t15,1955.2464015067917,-1039.0,-1130.0,-1172.0,-1003.7840395545064,-1200.0,716.0,2903.231243009541,-223.0,-300.0,-1195.0,226.85307452950826,-600.3739889753019,613.096953836,234.49025599846846,-1321.860518059166,2000.0,-1400.0,1031.5937372981198,1949.0,-905.0,-956.0,-300.0,-2942.0,5283.0,-1200.0,2962.4609761360025,2143.0,399.1062142349074,2119.0,-1070.0,-1433.0,216.67997844645288,980.0,-350.6918665387915,5991.048421868027
t16,1989.8632666919998,-1039.0,-1130.0,-1172.0,-38.7028947279548,-1200.0,716.0,2301.5693455336227,-43.62190885958671,-300.0,-1195.0,229.4000453129322,-716.0,331.52209546358677,600.0,-1250.8443844745861,2000.0,-1400.0,1720.9634777359088,1949.0,-905.0,-956.0,-300.0,-2825.3603839240004,5283.0,-384.88732416937773,3200.0,2143.0,159.67220507529692,2119.0,-1070.0,-1433.0,-1005.4323494894438,980.0,-600.0,6758.141190168398
