region,cluster,Resource,Resource_Type,MGA,R_ID,Zone,LDS,Existing_Cap_MW,New_Build,Can_Retire,Cap_Size,Min_Cap_MW,Max_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Hydro_Energy_to_Power_Ratio,Ramp_Up_Percentage,Ramp_Dn_Percentage,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost
NENGREST,1,NENGREST_small_hydroelectric_1,small_hydroelectric,1,12,1,0,186.355,0,0,0.79,0,0.0,0,46475,0.0,0,0.0,9.12,None,0.117,1.0,1.0,1.0,0.0,0.0,0,0
NENG_CT,1,NENG_CT_small_hydroelectric_1,small_hydroelectric,1,23,2,0,18.711,0,0,0.57,0,0.0,0,46475,0.0,0,0.0,9.12,None,0.18,1.0,1.0,1.0,0.0,0.0,0,0
NENG_ME,1,NENG_ME_small_hydroelectric_1,small_hydroelectric,1,31,3,0,195.266,0,0,1.1,0,0.0,0,46475,0.0,0,0.0,9.12,None,0.192,1.0,1.0,1.0,0.0,0.0,0,0
