Time_Index,Solar_z01_01,Solar_z02_01,Solar_z03_01,Solar_z04_01,Solar_z05_01,Solar_z06_01,Solar_z07_01,Solar_z08_01,Solar_z09_01,Solar_z10_01,Solar_z11_01,Solar_z12_01,Solar_z13_01,Solar_z14_01,Solar_z15_01,Solar_z16_01,Solar_z17_01,Solar_z18_01,Wind_z01_02,Wind_z01_03,Wind_z02_01,Wind_z02_02,Wind_z03_01,Wind_z04_01,Wind_z04_02,Wind_z04_03,Wind_z04_04,Wind_z05_01,Wind_z05_02,Wind_z06_01,Wind_z06_02,Wind_z07_01,Wind_z08_01,Wind_z08_02,Wind_z09_01,Wind_z09_02,Wind_z10_01,Wind_z10_02,Wind_z11_01,Wind_z12_01,Wind_z13_01,Wind_z13_02,Wind_z14_01,Wind_z14_02,Wind_z15_01,Wind_z15_02,Wind_z16_01,Wind_z16_02,Wind_z16_03,Wind_z16_04,Wind_z17_01,Wind_z17_02,Wind_z18_01,Wind_z18_02,Hyd_z02_01,Hyd_z03_01,Hyd_z04_01,Hyd_z06_01,Hyd_z07_01,Hyd_z08_01,Hyd_z11_01,Hyd_z12_01,Hyd_z13_01,Hyd_z14_01,Hyd_z15_01,Hyd_z16_01,Hyd_z18_01,coal-new_1_z11,CoalOldUns_1_z11,gas-CC_1_z11,gas-CT_1_z11,nuclear_1_z11,o-g-s_1_z11,coal-new_1_z10,CoalOldScr_1_z10,CoalOldScr_2_z10,gas-CC_1_z10,gas-CT_1_z10,o-g-s_1_z10,coal-new_1_z09,CoalOldScr_1_z09,gas-CC_1_z09,gas-CC_2_z09,gas-CT_1_z09,nuclear_1_z09,o-g-s_1_z09,coal-IGCC_1_z08,coal-new_1_z08,CoalOldScr_1_z08,gas-CC_1_z08,gas-CC_2_z08,gas-CC_3_z08,gas-CT_1_z08,o-g-s_1_z08,coal-new_1_z07,CoalOldScr_1_z07,gas-CC_1_z07,gas-CC_2_z07,gas-CC_4_z07,gas-CT_1_z07,nuclear_1_z07,o-g-s_1_z07,o-g-s_2_z07,biopower_1_z06,coal-new_1_z06,CoalOldScr_1_z06,gas-CC_1_z06,gas-CC_2_z18,gas-CT_1_z06,nuclear_1_z06,o-g-s_1_z06,coal-new_1_z05,CoalOldScr_1_z05,gas-CC_1_z05,gas-CT_1_z05,o-g-s_1_z05,biopower_1_z04,coal-new_1_z04,CoalOldScr_1_z04,CoalOldScr_2_z04,gas-CC_1_z04,gas-CT_1_z04,gas-CT_2_z04,nuclear_1_z04,o-g-s_1_z04,coal-new_1_z03,CoalOldUns_1_z03,CoalOldUns_2_z03,gas-CT_1_z03,nuclear_1_z03,o-g-s_1_z03,coal-new_1_z02,CoalOldScr_1_z02,gas-CC_1_z02,gas-CC_2_z02,gas-CC_3_z02,gas-CT_1_z02,nuclear_1_z02,o-g-s_2_z02,CoalOldUns_1_z17,gas-CC_1_z17,gas-CC_2_z17,gas-CT_1_z17,nuclear_1_z17,o-g-s_1_z17,coal-new_1_z18,CoalOldScr_1_z18,CoalOldScr_2_z18,gas-CC_1_z18,gas-CT_1_z18,nuclear_1_z18,o-g-s_1_z18,coal-new_1_z12,CoalOldUns_1_z12,gas-CC_1_z12,gas-CT_1_z12,nuclear_1_z12,o-g-s_1_z12,o-g-s_2_z12,CoalOldUns_1_z01,gas-CC_1_z01,gas-CT_1_z01,coal-new_1_z15,CoalOldScr_1_z15,gas-CC_1_z15,gas-CT_1_z15,nuclear_1_z15,o-g-s_1_z15,coal-new_1_z14,CoalOldUns_1_z14,CoalOldUns_2_z14,gas-CC_1_z14,gas-CT_1_z14,nuclear_1_z14,o-g-s_1_z14,coal-new_1_z13,gas-CC_1_z13,gas-CT_1_z13,o-g-s_1_z13,CoalOldScr_1_z16,gas-CC_1_z16,gas-CC_2_z16,gas-CC_3_z16,gas-CC_4_z16,gas-CT_1_z16,o-g-s_1_z16,pumped-hydro_z06,pumped-hydro_z03,pumped-hydro_z16,pumped-hydro_z18,pumped-hydro_z15,pumped-hydro_z12,battery_z01,battery_z02,battery_z03,battery_z04,battery_z05,battery_z06,battery_z07,battery_z08,battery_z09,battery_z10,battery_z11,battery_z12,battery_z13,battery_z14,battery_z15,battery_z16,battery_z17,battery_z18,gas-CC_0_z01,gas-CC_0_z02,gas-CC_0_z03,gas-CC_0_z04,gas-CC_0_z05,gas-CC_0_z06,gas-CC_0_z07,gas-CC_0_z08,gas-CC_0_z09,gas-CC_0_z10,gas-CC_0_z11,gas-CC_0_z12,gas-CC_0_z13,gas-CC_0_z14,gas-CC_0_z15,gas-CC_0_z16,gas-CC_0_z17,gas-CC_0_z18,gas-CT_0_z01,gas-CT_0_z02,gas-CT_0_z03,gas-CT_0_z04,gas-CT_0_z05,gas-CT_0_z06,gas-CT_0_z07,gas-CT_0_z08,gas-CT_0_z09,gas-CT_0_z10,gas-CT_0_z11,gas-CT_0_z12,gas-CT_0_z13,gas-CT_0_z14,gas-CT_0_z15,gas-CT_0_z16,gas-CT_0_z17,gas-CT_0_z18
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666901531,0.600796251,0.695912902,0.645758456,0.666901531,0.609826665,0.20060977,0.730654413,0.467324066,0.137439637,0.249296317,0.217612257,0.525265233,0.137439637,0.463338461,0.231231898,0.483021743,0.315907263,0.558394789,1.116884406,0.479913532,0.463338461,0.569987829,0.727701692,0.561749325,0.658166777,0.72386751,0.712329844,0.972017963,0.772563121,0.835253586,0.608178711,0.508391603,0.393030544,0.229093743,0.376513688,0.591377988,0.268427203,0.464404523,0.632818878,0.491885542,0.687737867,0.356676216,0.625293813,0.317416562,0.572252371,0.27338669,0.224558707,0.230737577,0.84,0.84,0.9,0.92,0.9355,0.7807,0.84,0.84,0.84,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.92,0.989322681,0.7807,0.8,0.84,0.84,0.9,0.9,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.777675288,0.7807,0.7807,0.834,0.84,0.84,0.9,0.9,0.92,0.946947166,0.7807,0.84,0.84,0.9,0.92,0.7807,0.834,0.84,0.84,0.84,0.9,0.92,0.92,0.88,0.7807,0.84,0.84,0.84,0.92,0.998,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.997,0.7807,0.84,0.9,0.9,0.92,0.995,0.7807,0.84,0.84,0.84,0.9,0.92,0.960333333,0.7807,0.84,0.84,0.9,0.92,0.942419401,0.7807,0.7807,0.84,0.9,0.92,0.84,0.84,0.9,0.92,0.903,0.7807,0.84,0.84,0.84,0.9,0.92,1.0,0.7807,0.84,0.9,0.92,0.7807,0.84,0.9,0.9,0.9,0.9,0.92,0.7807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733766331,0.500768777,0.68013055,0.656528055,0.733766331,0.714089011,0.270651947,0.773826209,0.504100715,0.117537698,0.256182182,0.221798844,0.435353338,0.117537698,0.429083186,0.209601308,0.393201975,0.309384596,0.384925256,1.108216385,0.553133536,0.429083186,0.595538051,0.717932668,0.598111863,0.687939316,0.750020414,0.649934855,0.965976923,0.831734653,0.796358195,0.579857553,0.482977287,0.374237611,0.221600735,0.372783048,0.591377988,0.268427203,0.464404523,0.632818878,0.491885542,0.687737867,0.356676216,0.625293813,0.317416562,0.572252371,0.27338669,0.224558707,0.230737577,0.84,0.84,0.9,0.92,0.9355,0.7807,0.84,0.84,0.84,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.92,0.989322681,0.7807,0.8,0.84,0.84,0.9,0.9,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.777675288,0.7807,0.7807,0.834,0.84,0.84,0.9,0.9,0.92,0.946947166,0.7807,0.84,0.84,0.9,0.92,0.7807,0.834,0.84,0.84,0.84,0.9,0.92,0.92,0.88,0.7807,0.84,0.84,0.84,0.92,0.998,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.997,0.7807,0.84,0.9,0.9,0.92,0.995,0.7807,0.84,0.84,0.84,0.9,0.92,0.960333333,0.7807,0.84,0.84,0.9,0.92,0.942419401,0.7807,0.7807,0.84,0.9,0.92,0.84,0.84,0.9,0.92,0.903,0.7807,0.84,0.84,0.84,0.9,0.92,1.0,0.7807,0.84,0.9,0.92,0.7807,0.84,0.9,0.9,0.9,0.9,0.92,0.7807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678838289,0.46234609,0.589530737,0.669046014,0.678838289,0.71537704,0.21665227,0.741648997,0.487770198,0.190922118,0.328457907,0.218586731,0.376477531,0.190922118,0.434256614,0.251265232,0.376959858,0.289243386,0.529145914,1.0895655,0.562315709,0.434256614,0.595280972,0.678477283,0.586900787,0.660404354,0.772854695,0.577380283,0.983865508,0.89569465,0.818140519,0.595718061,0.436334073,0.409493535,0.22241704,0.410275099,0.591377988,0.268427203,0.464404523,0.632818878,0.491885542,0.687737867,0.356676216,0.625293813,0.317416562,0.572252371,0.27338669,0.224558707,0.230737577,0.84,0.84,0.9,0.92,0.9355,0.7807,0.84,0.84,0.84,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.92,0.989322681,0.7807,0.8,0.84,0.84,0.9,0.9,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.777675288,0.7807,0.7807,0.834,0.84,0.84,0.9,0.9,0.92,0.946947166,0.7807,0.84,0.84,0.9,0.92,0.7807,0.834,0.84,0.84,0.84,0.9,0.92,0.92,0.88,0.7807,0.84,0.84,0.84,0.92,0.998,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.997,0.7807,0.84,0.9,0.9,0.92,0.995,0.7807,0.84,0.84,0.84,0.9,0.92,0.960333333,0.7807,0.84,0.84,0.9,0.92,0.942419401,0.7807,0.7807,0.84,0.9,0.92,0.84,0.84,0.9,0.92,0.903,0.7807,0.84,0.84,0.84,0.9,0.92,1.0,0.7807,0.84,0.9,0.92,0.7807,0.84,0.9,0.9,0.9,0.9,0.92,0.7807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537493496,0.353824497,0.45948378,0.686806557,0.537493496,0.656881538,0.304839496,0.64023061,0.489760986,0.169060203,0.282332371,0.207917822,0.370184377,0.169060203,0.553960056,0.292101663,0.35614708,0.279133884,0.47968002,1.055605748,0.49048832,0.553960056,0.607320033,0.670083093,0.551266799,0.653964985,0.741355912,0.400264664,0.985032121,0.903588987,0.811287209,0.590727915,0.430946124,0.433527814,0.219354414,0.433958094,0.591377988,0.268427203,0.464404523,0.632818878,0.491885542,0.687737867,0.356676216,0.625293813,0.317416562,0.572252371,0.27338669,0.224558707,0.230737577,0.84,0.84,0.9,0.92,0.9355,0.7807,0.84,0.84,0.84,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.92,0.989322681,0.7807,0.8,0.84,0.84,0.9,0.9,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.777675288,0.7807,0.7807,0.834,0.84,0.84,0.9,0.9,0.92,0.946947166,0.7807,0.84,0.84,0.9,0.92,0.7807,0.834,0.84,0.84,0.84,0.9,0.92,0.92,0.88,0.7807,0.84,0.84,0.84,0.92,0.998,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.997,0.7807,0.84,0.9,0.9,0.92,0.995,0.7807,0.84,0.84,0.84,0.9,0.92,0.960333333,0.7807,0.84,0.84,0.9,0.92,0.942419401,0.7807,0.7807,0.84,0.9,0.92,0.84,0.84,0.9,0.92,0.903,0.7807,0.84,0.84,0.84,0.9,0.92,1.0,0.7807,0.84,0.9,0.92,0.7807,0.84,0.9,0.9,0.9,0.9,0.92,0.7807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492815952,0.26545286,0.411628327,0.696299887,0.492815952,0.578014325,0.369880477,0.637415465,0.446336319,0.120093041,0.236139205,0.22762147,0.448436441,0.120093041,0.593336918,0.348845654,0.378425811,0.275235704,0.426603865,1.028330065,0.4595209,0.593336918,0.611474286,0.633571225,0.561728663,0.669170902,0.711335498,0.327268361,0.930492902,0.894824652,0.673975685,0.490746368,0.356171471,0.518951823,0.223875009,0.460279099,0.591377988,0.268427203,0.464404523,0.632818878,0.491885542,0.687737867,0.356676216,0.625293813,0.317416562,0.572252371,0.27338669,0.224558707,0.230737577,0.84,0.84,0.9,0.92,0.9355,0.7807,0.84,0.84,0.84,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.92,0.989322681,0.7807,0.8,0.84,0.84,0.9,0.9,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.777675288,0.7807,0.7807,0.834,0.84,0.84,0.9,0.9,0.92,0.946947166,0.7807,0.84,0.84,0.9,0.92,0.7807,0.834,0.84,0.84,0.84,0.9,0.92,0.92,0.88,0.7807,0.84,0.84,0.84,0.92,0.998,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.997,0.7807,0.84,0.9,0.9,0.92,0.995,0.7807,0.84,0.84,0.84,0.9,0.92,0.960333333,0.7807,0.84,0.84,0.9,0.92,0.942419401,0.7807,0.7807,0.84,0.9,0.92,0.84,0.84,0.9,0.92,0.903,0.7807,0.84,0.84,0.84,0.9,0.92,1.0,0.7807,0.84,0.9,0.92,0.7807,0.84,0.9,0.9,0.9,0.9,0.92,0.7807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430489739,0.304360541,0.594754419,0.707616537,0.430489739,0.624766565,0.473285568,0.633106474,0.445969752,0.080527032,0.188825099,0.238511532,0.430677781,0.080527032,0.576126875,0.427288212,0.313308987,0.27893595,0.366160818,0.990541982,0.464845309,0.576126875,0.624489482,0.598657357,0.59481712,0.714620799,0.681465748,0.252134639,0.902765888,0.888029919,0.705914329,0.514002064,0.315694813,0.546211933,0.197151608,0.513251708,0.591377988,0.268427203,0.464404523,0.632818878,0.491885542,0.687737867,0.356676216,0.625293813,0.317416562,0.572252371,0.27338669,0.224558707,0.230737577,0.84,0.84,0.9,0.92,0.9355,0.7807,0.84,0.84,0.84,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.92,0.989322681,0.7807,0.8,0.84,0.84,0.9,0.9,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.777675288,0.7807,0.7807,0.834,0.84,0.84,0.9,0.9,0.92,0.946947166,0.7807,0.84,0.84,0.9,0.92,0.7807,0.834,0.84,0.84,0.84,0.9,0.92,0.92,0.88,0.7807,0.84,0.84,0.84,0.92,0.998,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.997,0.7807,0.84,0.9,0.9,0.92,0.995,0.7807,0.84,0.84,0.84,0.9,0.92,0.960333333,0.7807,0.84,0.84,0.9,0.92,0.942419401,0.7807,0.7807,0.84,0.9,0.92,0.84,0.84,0.9,0.92,0.903,0.7807,0.84,0.84,0.84,0.9,0.92,1.0,0.7807,0.84,0.9,0.92,0.7807,0.84,0.9,0.9,0.9,0.9,0.92,0.7807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419501586,0.279878968,0.496593219,0.68297401,0.419501586,0.678809138,0.426734225,0.778473741,0.573096096,0.103955325,0.183959283,0.25393583,0.474877806,0.103955325,0.545393591,0.359181415,0.376792131,0.258583584,0.293602541,0.92701202,0.496406162,0.545393591,0.600904468,0.572580965,0.60433364,0.759855923,0.618463032,0.219012662,0.889112891,0.86438954,0.771445756,0.561717895,0.389704661,0.542470638,0.1813951,0.477217592,0.591377988,0.268427203,0.464404523,0.632818878,0.491885542,0.687737867,0.356676216,0.625293813,0.317416562,0.572252371,0.27338669,0.224558707,0.230737577,0.84,0.84,0.9,0.92,0.9355,0.7807,0.84,0.84,0.84,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.92,0.989322681,0.7807,0.8,0.84,0.84,0.9,0.9,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.777675288,0.7807,0.7807,0.834,0.84,0.84,0.9,0.9,0.92,0.946947166,0.7807,0.84,0.84,0.9,0.92,0.7807,0.834,0.84,0.84,0.84,0.9,0.92,0.92,0.88,0.7807,0.84,0.84,0.84,0.92,0.998,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.997,0.7807,0.84,0.9,0.9,0.92,0.995,0.7807,0.84,0.84,0.84,0.9,0.92,0.960333333,0.7807,0.84,0.84,0.9,0.92,0.942419401,0.7807,0.7807,0.84,0.9,0.92,0.84,0.84,0.9,0.92,0.903,0.7807,0.84,0.84,0.84,0.9,0.92,1.0,0.7807,0.84,0.9,0.92,0.7807,0.84,0.9,0.9,0.9,0.9,0.92,0.7807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405150745,0.313270147,0.467288476,0.595858427,0.405150745,0.61943003,0.392151736,0.657256375,0.377192176,0.1514665,0.223551412,0.290282042,0.389536875,0.1514665,0.552372806,0.379594299,0.376955337,0.296791265,0.326770999,0.840581022,0.426585942,0.552372806,0.557255378,0.541102878,0.608773021,0.797021729,0.512982636,0.251365726,0.834876677,0.764401159,0.811392191,0.590804356,0.325387394,0.41838892,0.166034338,0.471093381,0.591377988,0.268427203,0.464404523,0.632818878,0.491885542,0.687737867,0.356676216,0.625293813,0.317416562,0.572252371,0.27338669,0.224558707,0.230737577,0.84,0.84,0.9,0.92,0.9355,0.7807,0.84,0.84,0.84,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.92,0.989322681,0.7807,0.8,0.84,0.84,0.9,0.9,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.777675288,0.7807,0.7807,0.834,0.84,0.84,0.9,0.9,0.92,0.946947166,0.7807,0.84,0.84,0.9,0.92,0.7807,0.834,0.84,0.84,0.84,0.9,0.92,0.92,0.88,0.7807,0.84,0.84,0.84,0.92,0.998,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.997,0.7807,0.84,0.9,0.9,0.92,0.995,0.7807,0.84,0.84,0.84,0.9,0.92,0.960333333,0.7807,0.84,0.84,0.9,0.92,0.942419401,0.7807,0.7807,0.84,0.9,0.92,0.84,0.84,0.9,0.92,0.903,0.7807,0.84,0.84,0.84,0.9,0.92,1.0,0.7807,0.84,0.9,0.92,0.7807,0.84,0.9,0.9,0.9,0.9,0.92,0.7807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
9,0.009864462,0.199268388,0.123641729,0.0,0.110644044,0.0,0.221856867,0.0,0.012535153,0.110644044,0.284624327,0.195404516,0.000174985,0.054403068,0.077085224,0.086882397,0.161047482,0.059910545,0.423614706,0.376394544,0.447532964,0.496912828,0.423614706,0.556807092,0.373599336,0.549785115,0.273045845,0.214059978,0.280740557,0.285050622,0.252434057,0.214059978,0.565304901,0.325670778,0.387626549,0.384654323,0.381329636,0.736875362,0.374949329,0.565304901,0.481307947,0.520974769,0.697796769,0.839380248,0.410469179,0.289507141,0.767734093,0.615174714,0.851491378,0.620002042,0.281173855,0.29269747,0.174742664,0.426032026,0.591377988,0.268427203,0.464404523,0.632818878,0.491885542,0.687737867,0.356676216,0.625293813,0.317416562,0.572252371,0.27338669,0.224558707,0.230737577,0.84,0.84,0.9,0.92,0.9355,0.7807,0.84,0.84,0.84,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.92,0.989322681,0.7807,0.8,0.84,0.84,0.9,0.9,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.777675288,0.7807,0.7807,0.834,0.84,0.84,0.9,0.9,0.92,0.946947166,0.7807,0.84,0.84,0.9,0.92,0.7807,0.834,0.84,0.84,0.84,0.9,0.92,0.92,0.88,0.7807,0.84,0.84,0.84,0.92,0.998,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.997,0.7807,0.84,0.9,0.9,0.92,0.995,0.7807,0.84,0.84,0.84,0.9,0.92,0.960333333,0.7807,0.84,0.84,0.9,0.92,0.942419401,0.7807,0.7807,0.84,0.9,0.92,0.84,0.84,0.9,0.92,0.903,0.7807,0.84,0.84,0.84,0.9,0.92,1.0,0.7807,0.84,0.9,0.92,0.7807,0.84,0.9,0.9,0.9,0.9,0.92,0.7807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
10,0.044674568,0.626557092,0.370987734,0.282118653,0.56895291,0.004342282,0.414631666,0.313573008,0.039284355,0.56895291,0.579449658,0.298227372,0.190186293,0.466951536,0.233919599,0.402551412,0.647009805,0.217931076,0.338078348,0.238890949,0.538329514,0.64619331,0.338078348,0.654955822,0.483703762,0.529127612,0.272246217,0.246114651,0.342683115,0.270759782,0.156629863,0.246114651,0.597750725,0.277826846,0.417021464,0.306663112,0.206582005,0.830351614,0.35425862,0.597750725,0.483974517,0.507707491,0.660385138,0.791897841,0.308044568,0.301498891,0.761531573,0.599161982,0.856067329,0.62333396,0.272747373,0.25418229,0.1933076,0.387538739,0.591377988,0.268427203,0.464404523,0.632818878,0.491885542,0.687737867,0.356676216,0.625293813,0.317416562,0.572252371,0.27338669,0.224558707,0.230737577,0.84,0.84,0.9,0.92,0.9355,0.7807,0.84,0.84,0.84,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.92,0.989322681,0.7807,0.8,0.84,0.84,0.9,0.9,0.9,0.92,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.777675288,0.7807,0.7807,0.834,0.84,0.84,0.9,0.9,0.92,0.946947166,0.7807,0.84,0.84,0.9,0.92,0.7807,0.834,0.84,0.84,0.84,0.9,0.92,0.92,0.88,0.7807,0.84,0.84,0.84,0.92,0.998,0.7807,0.84,0.84,0.9,0.9,0.9,0.92,0.997,0.7807,0.84,0.9,0.9,0.92,0.995,0.7807,0.84,0.84,0.84,0.9,0.92,0.960333333,0.7807,0.84,0.84,0.9,0.92,0.942419401,0.7807,0.7807,0.84,0.9,0.92,0.84,0.84,0.9,0.92,0.903,0.7807,0.84,0.84,0.84,0.9,0.92,1.0,0.7807,0.84,0.9,0.92,0.7807,0.84,0.9,0.9,0.9,0.9,0.92,0.7807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
