Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Subperiods,Hours_per_period,Sub_Weights_1,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18
,,,,,,,,,,21,3313.5868,7896.58018,5178.002943,12992.87464,3756.182136,11987.86138,17253.53346,11962.03671,5730.99719,2742.07263,4794.830102,18894.704,3146.269147,4231.445611,8030.608895,18078.48134,13118.4467,27888.55599
,,,,,,,,,,22,3188.2604,7594.893947,4943.206101,12585.96851,3595.559045,11340.60949,16573.27708,11546.155,5481.602474,2624.815222,4588.259847,17793.5264,2903.443584,4046.619075,7725.423887,17578.86379,12688.81091,27157.06967
,,,,,,,,,,23,3007.8336,7164.562513,4632.112555,11854.9477,3393.967558,10687.36455,16014.21634,10958.19133,5196.547131,2477.650234,4440.592273,17025.1344,2815.360379,4058.160231,7565.755817,17160.85497,12267.06142,26725.73585
,,,,,,,,,,24,2954.894,6245.842544,4013.120326,10360.67714,2972.809183,9370.216105,14114.36771,9594.902825,4570.766871,2170.19793,3893.854093,16605.0064,2820.082521,4043.93075,7447.87192,16947.87147,11948.00065,26457.70682
,,,,,,,,,,25,2924.6428,6684.971439,4281.004018,11005.75372,3173.838816,10089.59061,15279.42302,10301.55366,4927.011712,2316.952755,4200.82236,16423.688,2798.526022,4061.192173,7438.15995,16942.3918,11773.95119,26406.63382
,,,,,,,,,,26,2938.688,6590.575486,4216.067016,10775.9091,3126.253117,9936.639369,15241.96629,10175.79961,4889.07886,2282.214439,4183.502965,16586.2112,2851.994133,4101.316906,7502.838722,17010.79299,11607.78018,26472.77465
,,,,,,,,,,27,2974.3412,6514.836123,4192.771158,10648.15052,3096.165982,9896.246874,15382.16,10114.60923,4884.105514,2260.250353,4220.866035,16862.6112,2914.668292,4174.706749,7710.413913,17372.06228,11588.16323,26957.91985
,,,,,,,,,,28,3068.336,6564.868811,4243.739931,10711.48217,3116.177375,10049.68692,15847.9569,10218.71008,4975.820969,2274.858987,4349.815018,17720.5568,3087.133924,4373.535553,8133.93419,18240.31071,11574.07531,27794.99552
,,,,,,,,,,29,3240.1196,6776.64381,4415.034066,10994.97174,3219.670756,10463.49879,16786.97034,10572.17041,5178.868861,2350.4108,4619.522573,19762.6,3390.701124,4660.13146,8826.978016,19705.06672,11707.3873,28716.90389
,,,,,,,,,,30,3582.6064,7281.27716,4779.961017,11731.78739,3456.135773,11349.99034,18288.49252,11366.73044,5626.232303,2523.034019,5028.954022,21736.096,3512.155845,4816.873029,9217.382996,20621.53281,11924.65065,29396.09071
,,,,,,,,,,31,3636.6264,8003.661751,5321.994781,12896.0953,3817.643079,12425.18653,19737.78038,12505.73139,6170.238573,2786.940095,5432.486627,21988.1728,3327.60694,4709.746075,9118.099916,20477.34946,11950.52097,29295.9692
,,,,,,,,,,32,3505.898,8283.330184,5549.487306,13576.18828,3969.448227,12917.10027,19625.01203,12949.70076,6407.025743,2897.760264,5440.406728,21397.7824,3059.943888,4629.186385,9090.475436,20019.55004,12115.90963,28870.27587
,,,,,,,,,,33,3421.6268,8380.588066,5648.402378,13775.13626,4003.047731,13052.79218,18587.10086,13088.41128,6395.267645,2922.288436,5180.507837,20860.4608,3012.731507,4491.175057,9003.370324,19438.08304,12126.14142,28423.88228
,,,,,,,,,,34,3323.3104,8460.593128,5636.799747,13917.391,4060.724844,13070.53688,17743.03844,13098.72228,6396.854376,2964.393645,4954.212667,20542.048,2922.380435,4386.600215,8908.528265,18819.76123,12125.31752,27915.66342
,,,,,,,,,,35,3212.0292,8438.253965,5611.531471,13865.52809,4042.188204,13025.71438,17244.36517,13050.37697,6334.53107,2950.861603,4840.641797,20359.624,2786.072473,4226.864545,8695.202318,18323.117,12064.9098,27528.52667
,,,,,,,,,,36,3076.9792,8419.918934,5547.292892,13795.55931,4029.246882,12978.06278,16778.70461,12960.60934,6274.045185,2941.414232,4722.196205,20088.752,2748.840424,4117.886271,8516.970523,17856.51141,12052.38816,27182.11682
,,,,,,,,,,37,2988.3864,8380.722451,5471.567473,13698.58149,3983.681685,12823.04936,16436.81495,12849.01097,6238.449167,2908.150915,4635.145978,20125.2368,2741.523613,3992.314854,8356.319536,17393.64327,11945.76098,26994.99944
,,,,,,,,,,38,2886.8288,8284.891027,5425.804529,13501.42871,3931.267004,12687.62539,16288.7658,12754.18147,6208.356076,2869.887365,4606.366346,20174.9888,2679.342127,3967.621271,8270.661655,17128.76565,11846.91818,27391.11445
,,,,,,,,,,39,2824.1656,8157.524926,5365.961425,13252.71352,3862.704928,12611.23817,16212.48098,12610.72996,6184.966905,2819.835961,4576.360359,20610.5952,2770.708187,4013.986115,8297.190036,17119.74956,11853.1496,28774.00743
