Period_Index,Rep_Period,Rep_Period_Index
1,4,1
2,4,1
3,4,1
4,4,1
5,4,1
6,4,1
7,4,1
8,50,10
9,11,2
10,11,2
11,11,2
12,11,2
13,11,2
14,16,3
15,16,3
16,16,3
17,16,3
18,16,3
19,16,3
20,23,4
21,23,4
22,23,4
23,23,4
24,23,4
25,23,4
26,32,7
27,32,7
28,28,5
29,29,6
30,32,7
31,32,7
32,32,7
33,32,7
34,32,7
35,32,7
36,36,8
37,36,8
38,36,8
39,36,8
40,42,9
41,42,9
42,42,9
43,42,9
44,42,9
45,50,10
46,50,10
47,50,10
48,50,10
49,50,10
50,50,10
51,51,11
52,50,10
