Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,MA_utilitypv_class1_moderate,CT_utilitypv_class1_moderate,ME_utilitypv_class1_moderate,MA_landbasedwind_class1_moderate,CT_landbasedwind_class1_moderate,ME_landbasedwind_class1_moderate
33,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
34,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
35,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
36,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
37,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
38,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
39,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
40,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
41,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
42,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
43,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
44,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
45,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
46,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
47,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
48,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
49,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
50,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
51,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
52,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
53,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
54,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
55,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
56,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
57,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
58,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
59,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
60,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
61,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
62,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
63,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
64,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
65,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
66,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
67,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
68,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
69,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
70,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
71,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
72,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
73,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
74,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
75,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
76,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
77,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
78,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
79,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
80,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
81,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
82,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
83,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
84,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
85,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
86,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
87,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
88,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
89,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
90,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
91,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
92,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
93,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
94,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
95,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
96,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
97,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
98,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
99,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
100,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
101,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
102,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
103,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
104,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
105,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
106,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
107,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
108,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
109,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
110,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
111,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
112,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
113,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
114,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
115,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
116,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
117,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
118,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
119,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
120,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
121,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
122,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
123,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
124,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
125,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
126,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
127,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
128,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
129,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
130,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
131,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
132,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
133,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
134,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
135,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
136,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
137,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
138,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
139,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
140,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
141,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
142,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
143,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
144,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
145,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
146,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
147,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
148,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
149,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
150,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
151,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
152,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
153,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
154,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
155,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
156,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
157,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
158,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
159,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
160,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
161,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
162,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
163,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
164,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
165,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
166,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
167,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
168,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
169,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
170,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
171,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
172,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
173,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
174,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
175,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
176,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
177,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
178,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
179,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
180,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
181,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
182,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
183,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
184,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
185,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
186,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
187,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
188,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
189,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
190,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
191,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
192,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
193,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
194,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
195,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
196,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
197,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
198,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
199,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
200,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
201,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
202,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
203,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
204,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
205,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
206,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
207,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
208,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
209,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
210,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
211,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
212,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
213,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
214,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
215,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
216,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
217,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
218,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
219,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
220,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
221,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
222,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
223,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
224,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
225,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
226,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
227,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
228,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
229,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
230,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
231,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
232,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
233,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
234,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
235,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
236,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
237,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
238,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
239,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
240,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
241,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
242,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
243,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
244,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
245,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
246,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
247,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
248,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
249,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
250,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
251,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
252,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
253,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
254,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
255,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
256,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
257,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
258,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
259,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
260,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
261,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
262,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
263,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
264,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
265,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
266,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
267,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
268,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
269,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
270,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
271,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
272,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
273,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
274,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
275,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
276,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
277,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
278,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
279,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
