Time_Index,MA_utilitypv_class1_moderate,CT_utilitypv_class1_moderate,ME_utilitypv_class1_moderate
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0.151,0.247,0.193
11,0.44,0.524,0.469
12,0.597,0.692,0.626
13,0.697,0.79,0.721
14,0.734,0.826,0.768
15,0.731,0.831,0.772
16,0.674,0.794,0.732
17,0.543,0.698,0.675
18,0.377,0.556,0.515
19,0.106,0.297,0.254
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0.151,0.247,0.193
35,0.44,0.524,0.469
36,0.597,0.692,0.626
37,0.697,0.79,0.721
38,0.734,0.826,0.768
39,0.731,0.831,0.772
40,0.674,0.794,0.732
41,0.543,0.698,0.675
42,0.377,0.556,0.515
43,0.106,0.297,0.254
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0.151,0.247,0.193
59,0.44,0.524,0.469
60,0.597,0.692,0.626
61,0.697,0.79,0.721
62,0.734,0.826,0.768
63,0.731,0.831,0.772
64,0.674,0.794,0.732
65,0.543,0.698,0.675
66,0.377,0.556,0.515
67,0.106,0.297,0.254
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0.151,0.247,0.193
83,0.44,0.524,0.469
84,0.597,0.692,0.626
85,0.697,0.79,0.721
86,0.734,0.826,0.768
87,0.731,0.831,0.772
88,0.674,0.794,0.732
89,0.543,0.698,0.675
90,0.377,0.556,0.515
91,0.106,0.297,0.254
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
