Time_Index,CT_NG,ME_NG,MA_NG,None
198,3.14,3.14,3.69,0
199,2.13,2.13,3.18,0
200,2.13,2.13,3.18,0
201,2.13,2.13,3.18,0
202,2.13,2.13,3.18,0
203,1.82,1.82,2.23,0
204,1.82,1.82,2.23,0
205,1.82,1.82,2.23,0
206,1.82,1.82,2.23,0
207,1.75,1.75,2.11,0
208,1.75,1.75,2.11,0
209,1.75,1.75,2.11,0
210,1.63,1.63,1.81,0
211,1.63,1.63,1.81,0
212,1.63,1.63,1.81,0
213,2.78,2.78,2.74,0
214,2.78,2.78,2.74,0
215,3.78,3.78,4.28,0
216,3.78,3.78,4.28,0
217,5.45,5.45,5.28,0
218,5.45,5.45,5.28,0
219,4.09,4.09,3.98,0
220,4.09,4.09,3.98,0
221,3.14,3.14,3.69,0
222,3.14,3.14,3.69,0
223,2.13,2.13,3.18,0
224,2.13,2.13,3.18,0
225,2.13,2.13,3.18,0
226,2.13,2.13,3.18,0
227,1.82,1.82,2.23,0
228,1.82,1.82,2.23,0
229,1.82,1.82,2.23,0
230,1.82,1.82,2.23,0
231,1.75,1.75,2.11,0
232,1.75,1.75,2.11,0
233,1.75,1.75,2.11,0
234,1.63,1.63,1.81,0
235,1.63,1.63,1.81,0
236,1.63,1.63,1.81,0
237,2.78,2.78,2.74,0
238,2.78,2.78,2.74,0
239,3.78,3.78,4.28,0
240,3.78,3.78,4.28,0
241,5.45,5.45,5.28,0
242,5.45,5.45,5.28,0
243,4.09,4.09,3.98,0
244,4.09,4.09,3.98,0
245,3.14,3.14,3.69,0
246,3.14,3.14,3.69,0
247,2.13,2.13,3.18,0
248,2.13,2.13,3.18,0
249,2.13,2.13,3.18,0
250,2.13,2.13,3.18,0
251,1.82,1.82,2.23,0
252,1.82,1.82,2.23,0
253,1.82,1.82,2.23,0
254,1.82,1.82,2.23,0
255,1.75,1.75,2.11,0
256,1.75,1.75,2.11,0
257,1.75,1.75,2.11,0
258,1.63,1.63,1.81,0
259,1.63,1.63,1.81,0
260,1.63,1.63,1.81,0
261,2.78,2.78,2.74,0
262,2.78,2.78,2.74,0
263,3.78,3.78,4.28,0
264,3.78,3.78,4.28,0
265,5.45,5.45,5.28,0
266,5.45,5.45,5.28,0
267,4.09,4.09,3.98,0
268,4.09,4.09,3.98,0
