Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Subperiods,Hours_per_period,Sub_Weights
,,,,,,,62,3501.5764,9696.376316,5877.889774,15631.94826,4547.119832,15059.67588,19202.05358,14084.09611,6704.968481,3319.469713,5449.077864,24789.7632,3323.890448,4484.588104,9044.045191,19093.57626,12720.78174,27530.21479,,,
,,,,,,,63,3498.3352,9493.939596,5721.892471,15426.49863,4476.850212,14945.01624,19265.71882,13793.49185,6633.362986,3268.171774,5458.887376,24975.504,3448.617042,4576.574147,9214.791838,19303.70696,12795.23741,29390.70609,,,
,,,,,,,64,3725.2192,9271.331225,5591.273269,15031.44497,4379.280419,15363.33435,19948.43786,13470.03511,6643.65987,3196.944275,5642.374852,26325.4416,3670.258141,4884.042562,9828.350415,20329.11537,13275.01776,30605.97871,,,
,,,,,,,65,4100.118,9585.628241,5798.715819,15355.15793,4506.84565,15780.71089,20721.43388,13775.03905,6954.332989,3290.06892,5843.993528,28380.752,3671.895711,5052.186297,10128.22186,21388.76822,13797.87639,30657.89622,,,
,,,,,,,66,4298.9116,10060.54389,6351.379117,16478.50432,4757.322457,16114.76528,21471.84108,14677.51419,7221.623172,3472.920968,6043.365388,28967.8256,3638.166391,5040.65139,10146.57291,21622.09278,13672.46793,30478.54938,,,
,,,,,,,67,4327.002,10210.11395,6529.963999,16889.9468,4833.748492,16126.42868,21672.71155,15031.29095,7328.378963,3528.713188,6090.304543,29131.4544,3618.553283,5012.539563,10068.03262,21571.81469,13509.36912,29845.30858,,,
,,,,,,,68,4341.0472,10244.16911,6582.159498,16941.72837,4853.994246,15842.73073,21333.82731,15180.86501,7315.667494,3543.49291,5986.191108,28873.8496,3574.943196,4924.758049,9824.424904,21163.93464,13249.79026,28747.10486,,,
,,,,,,,69,4257.8564,10203.75746,6556.276218,16913.75518,4839.203642,15393.61882,20775.82553,15225.40023,7203.803902,3532.695534,5833.631723,28214.912,3498.432419,4722.730859,9402.99384,20424.7859,12809.93052,27540.80781,,,
,,,,,,,70,4140.0928,10002.19356,6353.734163,16598.70073,4731.522176,14813.3673,20036.84925,14989.10819,7022.533847,3454.086354,5607.828546,27298.3696,3395.221886,4597.531671,9047.004667,19850.00612,12143.59239,26760.37406,,,
,,,,,,,71,3972.6308,9640.052328,6070.054641,15902.72629,4547.072184,14313.29242,19394.15237,14553.02295,6785.95753,3319.434929,5407.951275,26737.8304,3325.221252,4590.41251,8900.95214,19550.3945,11499.22846,26394.28648,,,
,,,,,,,72,3982.3544,9391.882876,5824.28926,15409.80621,4422.242085,13999.79421,19201.6328,14195.05088,6670.753132,3228.306974,5346.549499,26441.5296,3239.34128,4546.099132,8853.020503,19514.75015,11104.10734,26233.36045,,,
,,,,,,,73,4008.284,9070.756256,5614.048127,14814.9731,4295.660364,13656.7679,18960.80094,13783.27359,6500.009942,3135.900307,5289.911692,26633.904,3249.321586,4556.425733,8859.753361,19563.75692,10903.43734,26219.54686,,,
,,,,,,,74,4060.1432,8997.78941,5545.31227,14625.86977,4257.78215,13574.96233,19088.32566,13679.16572,6475.388938,3108.248609,5333.375317,27015.336,3262.764074,4603.758565,8956.913532,19721.36744,10803.72909,26563.19506,,,
,,,,,,,75,4129.2888,8921.130022,5504.550484,14517.02526,4227.729857,13647.00283,19269.24586,13600.02303,6531.466861,3086.309958,5381.983631,27609.0432,3352.693959,4672.896815,9135.910676,20066.71054,10820.97859,27644.13916,,,
,,,,,,,76,4264.3388,8921.926552,5552.723857,14398.80059,4220.732201,13894.8116,19948.89263,13639.79976,6663.233724,3081.201558,5559.274016,28581.9712,3559.205175,4843.836231,9522.942704,20882.97522,11058.54717,29629.19258,,,
,,,,,,,77,4510.67,8974.552963,5663.147605,14412.32835,4295.260343,14555.63504,20989.25957,13740.39899,6924.557263,3135.608285,5861.59306,30137.5504,3754.977251,5102.089116,10227.82373,22231.65995,11602.60941,30785.04106,,,
,,,,,,,78,4858.5588,9522.177076,6145.892895,15209.96796,4555.791382,15768.06883,21250.01918,14518.78522,7374.316747,3325.800082,5960.269905,31959.5792,3932.224634,5294.857429,10669.66095,22809.82665,12604.448,30234.37231,,,
,,,,,,,79,4888.81,10307.42947,6768.734617,16714.96145,4966.997355,16551.29984,21497.59833,15584.92741,7690.503789,3625.986975,6044.393187,32383.024,3819.83253,5242.259454,10607.29679,22541.94993,13152.43143,29755.43208,,,
,,,,,,,80,4683.534,10537.96653,6900.168412,17759.71129,5116.97089,16725.9609,21402.94501,15835.64752,7672.516259,3735.470038,6047.954595,32193.9664,3746.927314,5100.174633,10321.02337,21957.36934,13209.63682,29345.06692,,,
,,,,,,,81,4359.414,10560.10236,6795.21828,17720.82941,5070.798156,16822.54912,20712.5596,15718.67586,7587.822967,3701.763209,5859.477632,31297.3248,3609.241782,5006.179832,10123.77534,21367.10028,13273.95241,28774.07542,,,
,,,,,,,82,4153.0576,10515.45398,6633.640224,17421.30157,5054.998653,16662.74681,19991.15774,15474.70884,7463.503107,3690.229321,5650.613425,30538.8832,3532.406626,4885.921808,9838.072796,20627.05988,13323.46435,28257.60293,,,
,,,,,,,83,3933.7364,10331.52549,6444.03313,17071.6317,4939.800531,16355.64139,19277.58236,15122.92183,7285.891,3606.132862,5451.035634,29748.3792,3373.461024,4742.895612,9586.680468,19868.14467,13295.98855,27843.04296,,,
,,,,,,,84,3780.3196,10146.31625,6272.803666,16591.82308,4811.590103,16094.05295,18797.90569,14792.03718,7101.159122,3512.537212,5324.792488,28918.0736,3373.906588,4680.921469,9377.500264,19315.45386,13256.8111,27317.8114,,,
,,,,,,,85,3639.8676,9994.397236,6104.813231,16197.39143,4707.094296,15766.83744,18315.74657,14479.11563,6957.350327,3436.253613,5191.925201,28231.496,3262.534186,4507.624571,9069.099974,19077.27304,13233.25492,27049.87809,,,
,,,,,,,86,3560.9984,9815.522375,5974.935348,15828.36937,4568.096607,15410.37299,18063.66731,14215.57674,6837.849086,3334.783092,5123.103834,27816.896,3280.261816,4487.499393,9019.58557,18806.70917,13160.36633,27329.66313,,,
,,,,,,,87,3596.6516,9606.717699,5861.308758,15458.46708,4494.411403,15302.03422,18018.84734,13957.27417,6685.60733,3280.991723,5111.206945,28067.8672,3379.171192,4508.83043,9084.403839,18943.9957,13176.81073,28930.85226,,,
,,,,,,,88,3715.4956,9450.512877,5683.734448,15161.21627,4453.380779,15656.96084,18768.5011,13615.27911,6725.664835,3251.038716,5348.232033,29453.184,3565.369668,4805.546828,9717.872063,19900.93278,13673.83901,30177.83685,,,
,,,,,,,89,4092.5552,9785.733535,5934.2827,15604.69006,4601.093804,16225.79773,19207.94481,14021.96815,7108.99099,3358.87157,5438.025897,31518.4448,3582.064387,4963.105974,10058.25264,20883.72942,14318.98921,30276.33554,,,
,,,,,,,90,4258.9368,10305.98231,6534.975348,16616.81489,4859.303128,16694.03393,19748.1622,15018.84234,7429.693819,3547.368479,5566.696105,32294.576,3481.710115,4968.309635,10117.51198,21074.58456,14270.30117,30109.44966,,,
,,,,,,,91,4274.0624,10439.38944,6719.335444,16797.96879,4953.104853,16766.33658,19880.79407,15361.78741,7544.267243,3615.845228,5614.76145,32427.248,3447.634125,4992.866314,10089.93404,21086.91157,14151.83986,29574.24862,,,
,,,,,,,92,4277.3036,10494.54981,6782.661754,17120.85125,4954.296639,16399.86962,19478.89932,15508.98917,7532.700085,3616.715251,5486.51314,32273.5696,3398.915875,4940.559676,9877.089459,20773.10872,13935.4647,28370.0521,,,
,,,,,,,93,4151.9772,10435.7989,6767.038215,17135.3661,4945.274891,15894.59571,18877.94748,15561.29008,7445.148435,3610.129231,5303.51063,31789.3168,3200.345774,4778.504482,9494.152922,20132.67146,13512.93362,27196.85991,,,
