Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,2.3861172561750572e10,1.1470442590884686e9,4.8468417374374054e10
cVar,8.927722882466599e9,4.984783557093028e9,5.3422759394669235e8
cNSE,3.524573902200044e8,0.0,6.70070127514593e8
cStart,0.0,0.0,0.0
cUnmetRsv,0.0,0.0,0.0
cNetworkExp,0.0,0.0,1.8367692155391333e8
