Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3,,Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,2.39E+10,1.15E+09,4.85E+10,,cFix,2.39E+10,1.15E+09,4.85E+10
cVar,8.93E+09,4.98E+09,5.34E+08,,cVar,8.93E+09,4.98E+09,5.34E+08
cNSE,3.52E+08,0,6.70E+08,,cNSE,3.52E+08,0,6.70E+08
cStart,0,0,0,,cStart,0,0,0
cUnmetRsv,0,0,0,,cUnmetRsv,0,0,0
cNetworkExp,0,0,1.84E+08,,cNetworkExp,0,0,1.84E+08
Pre-VSL,,,,,Post-VSL,,,
,,,,,,,,
Delta,,,,,,,,
Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3,,,,,
cFix,6962945.203602,0.000000,0.000000,,,,,
cVar,1805755.499630,-0.000111,-0.000022,,,,,
cNSE,-0.000001,0.000000,-0.000001,,,,,
cStart,0.000000,0.000000,0.000000,,,,,
cUnmetRsv,0.000000,0.000000,0.000000,,,,,
cNetworkExp,0.000000,0.000000,0.000001,,,,,
Pre-VSL,0.000000,0.000000,0.000000,,,,,
