Resource,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.00839608174084934
t2,0.0,0.0,0.0,0.0,0.00839577314134383
t3,0.0,0.0,0.0,0.0,0.008397126173379716
t4,0.0,0.0,0.0,0.0,0.008399865159979139
t5,0.0,0.0,0.0,0.0,0.008402778403201219
t6,0.0,0.0,0.0,0.0,0.008404465838291783
t7,0.0,0.0,0.0,0.0,0.00840400592742111
t8,0.0,0.0,0.0,0.0,0.008403877855309647
t9,0.0,0.0,0.0,0.0,0.008403232423457864
t10,0.0,0.0,0.0,0.0,0.008401889459968627
t11,0.0,0.0,0.0,0.0,0.008400944260734174
t12,0.0,0.0,0.0,0.0,0.008400447959637876
t13,0.0,0.0,0.0,0.0,0.008399974625733437
t14,0.0,0.0,0.0,0.0,0.008399923150982707
t15,0.0,0.0,0.0,0.0,0.008400695813184646
t16,0.0,0.0,0.0,0.0,0.00840274026795101
t17,0.0,0.0,0.0,0.0,0.008402285552509891
t18,0.0,0.0,0.0,0.0,0.008399874780667373
t19,0.0,0.0,0.0,0.0,0.008398824562683364
t20,0.0,0.0,0.0,0.0,0.008398293651953784
t21,0.0,0.0,0.0,0.0,0.008397456076406401
t22,0.0,0.0,0.0,0.0,0.008396008107784911
t23,0.0,0.0,0.0,0.0,0.008393536249826373
t24,0.0,0.0,0.0,0.0,0.00839032795324313
t25,0.0,0.0,0.0,0.0,0.008387902714432549
t26,0.0,0.0,0.0,0.0,0.008389470570814735
t27,0.0,0.0,0.0,0.0,0.008397759886388578
t28,0.0,0.0,0.0,0.0,0.008410158393174244
t29,0.0,0.0,0.0,0.0,0.008413766767007235
t30,0.0,0.0,0.0,0.0,0.008410966366688383
t31,0.0,0.0,0.0,0.0,0.008406826670370475
t32,0.0,0.0,0.0,0.0,0.00840437311552908
t33,0.0,0.0,0.0,0.0,0.00840287749981792
t34,0.0,0.0,0.0,0.0,0.008401760805247935
t35,0.0,0.0,0.0,0.0,0.008400884571423569
t36,0.0,0.0,0.0,0.0,0.008400296963172018
t37,0.0,0.0,0.0,0.0,0.008400143507928238
t38,0.0,0.0,0.0,0.0,0.008400413097579287
t39,0.0,0.0,0.0,0.0,0.00840146244693976
t40,0.0,0.0,0.0,0.0,0.008403982448836791
t41,0.0,0.0,0.0,0.0,0.008404865840953759
t42,0.0,0.0,0.0,0.0,0.008400525206694855
t43,0.0,0.0,0.0,0.0,0.008398246068635986
t44,0.0,0.0,0.0,0.0,0.008396822726180656
t45,0.0,0.0,0.0,0.0,0.008396512652964658
t46,0.0,0.0,0.0,0.0,0.008396593450377727
t47,0.0,0.0,0.0,0.0,0.008396481523391945
t48,0.0,0.0,0.0,0.0,0.008396642279261152
t49,0.0,0.0,0.0,0.0,0.0083976988516192
t50,0.0,0.0,0.0,0.0,0.008399106215034424
t51,0.0,0.0,0.0,0.0,0.008400951942755598
t52,0.0,0.0,0.0,0.0,0.00840330155733726
t53,0.0,0.0,0.0,0.0,0.008405039369280285
t54,0.0,0.0,0.0,0.0,0.008405279923527853
t55,0.0,0.0,0.0,0.0,0.008403341532335707
t56,0.0,0.0,0.0,0.0,0.008400875288276977
t57,0.0,0.0,0.0,0.0,0.00840004875374071
t58,0.0,0.0,0.0,0.0,0.008400176616323574
t59,0.0,0.0,0.0,0.0,0.008400097565156365
t60,0.0,0.0,0.0,0.0,0.008400150978304769
t61,0.0,0.0,0.0,0.0,0.008400899112617167
t62,0.0,0.0,0.0,0.0,0.008402738254959637
t63,0.0,0.0,0.0,0.0,0.00840782636038369
t64,0.0,0.0,0.0,0.0,0.008419528326048963
t65,0.0,0.0,0.0,0.0,0.00843823406600219
t66,0.0,0.0,0.0,0.0,0.008408193011392662
t67,0.0,0.0,0.0,0.0,0.008373672415498312
t68,0.0,0.0,0.0,0.0,0.008375032966211367
t69,0.0,0.0,0.0,0.0,0.008383237867832084
t70,0.0,0.0,0.0,0.0,0.008390274691882525
t71,0.0,0.0,0.0,0.0,0.008395144953367002
t72,0.0,0.0,0.0,0.0,0.008397975502535437
t73,0.0,0.0,0.0,0.0,0.008398994538271752
t74,0.0,0.0,0.0,0.0,0.008399707531251566
t75,0.0,0.0,0.0,0.0,0.008400566172942032
t76,0.0,0.0,0.0,0.0,0.008401635322196498
t77,0.0,0.0,0.0,0.0,0.00840304949384858
t78,0.0,0.0,0.0,0.0,0.008404920751661882
t79,0.0,0.0,0.0,0.0,0.008404490297848058
t80,0.0,0.0,0.0,0.0,0.008400746695349822
t81,0.0,0.0,0.0,0.0,0.008399381260452414
t82,0.0,0.0,0.0,0.0,0.008399099071838124
t83,0.0,0.0,0.0,0.0,0.008399029593055553
t84,0.0,0.0,0.0,0.0,0.008399141719882637
t85,0.0,0.0,0.0,0.0,0.00840071315635353
t86,0.0,0.0,0.0,0.0,0.008403952839155529
t87,0.0,0.0,0.0,0.0,0.008411135102262338
t88,0.0,0.0,0.0,0.0,0.008426524832774483
t89,0.0,0.0,0.0,0.0,0.008447285335251575
t90,0.0,0.0,0.0,0.0,0.008382751590869915
t91,0.0,0.0,0.0,0.0,0.008367679511438565
t92,0.0,0.0,0.0,0.0,0.008376206490334402
t93,0.0,0.0,0.0,0.0,0.008385137515299563
t94,0.0,0.0,0.0,0.0,0.008391447106898682
t95,0.0,0.0,0.0,0.0,0.008395715571206105
t96,0.0,0.0,0.0,0.0,0.008397243372637073
t97,0.0,0.0,0.0,0.0,0.008397932544241454
t98,0.0,0.0,0.0,0.0,0.008399141164637944
t99,0.0,0.0,0.0,0.0,0.008400261675390397
t100,0.0,0.0,0.0,0.0,0.008401807127428579
t101,0.0,0.0,0.0,0.0,0.00840337840917146
t102,0.0,0.0,0.0,0.0,0.008404280374183967
t103,0.0,0.0,0.0,0.0,0.008403189807281728
t104,0.0,0.0,0.0,0.0,0.00840080102993174
t105,0.0,0.0,0.0,0.0,0.008400032482931133
t106,0.0,0.0,0.0,0.0,0.008399331806710085
t107,0.0,0.0,0.0,0.0,0.008398875206250015
t108,0.0,0.0,0.0,0.0,0.00839905746984801
t109,0.0,0.0,0.0,0.0,0.008399517051027337
t110,0.0,0.0,0.0,0.0,0.008400215200304352
t111,0.0,0.0,0.0,0.0,0.008402017218149425
t112,0.0,0.0,0.0,0.0,0.008406076757483848
t113,0.0,0.0,0.0,0.0,0.008408876195451663
t114,0.0,0.0,0.0,0.0,0.008401058446538934
t115,0.0,0.0,0.0,0.0,0.00839580212462753
t116,0.0,0.0,0.0,0.0,0.008394267541093226
t117,0.0,0.0,0.0,0.0,0.008394672441098146
t118,0.0,0.0,0.0,0.0,0.008395261550069255
t119,0.0,0.0,0.0,0.0,0.00839688241570835
t120,0.0,0.0,0.0,0.0,0.00839709421176854
t121,0.0,0.0,0.0,0.0,0.008397960024387576
t122,0.0,0.0,0.0,0.0,0.00839908481541216
t123,0.0,0.0,0.0,0.0,0.008400331094587132
t124,0.0,0.0,0.0,0.0,0.008401812765219936
t125,0.0,0.0,0.0,0.0,0.008403357526414563
t126,0.0,0.0,0.0,0.0,0.008404042148657342
t127,0.0,0.0,0.0,0.0,0.008402763664108257
t128,0.0,0.0,0.0,0.0,0.008400364453515342
t129,0.0,0.0,0.0,0.0,0.008399796031301397
t130,0.0,0.0,0.0,0.0,0.008399767917914563
t131,0.0,0.0,0.0,0.0,0.008399324792084576
t132,0.0,0.0,0.0,0.0,0.008399444839894694
t133,0.0,0.0,0.0,0.0,0.00839984423037436
t134,0.0,0.0,0.0,0.0,0.008400213500163277
t135,0.0,0.0,0.0,0.0,0.008401232670365615
t136,0.0,0.0,0.0,0.0,0.008403008430972619
t137,0.0,0.0,0.0,0.0,0.008403037590589468
t138,0.0,0.0,0.0,0.0,0.008399683778281758
t139,0.0,0.0,0.0,0.0,0.008398134036893521
t140,0.0,0.0,0.0,0.0,0.008397195060964322
t141,0.0,0.0,0.0,0.0,0.008397007927664676
t142,0.0,0.0,0.0,0.0,0.008396659626775611
t143,0.0,0.0,0.0,0.0,0.008396308770701586
t144,0.0,0.0,0.0,0.0,0.008396123318330494
t145,0.0,0.0,0.0,0.0,0.008396642281530633
t146,0.0,0.0,0.0,0.0,0.008397778792181006
t147,0.0,0.0,0.0,0.0,0.00839952622006764
t148,0.0,0.0,0.0,0.0,0.00840177355537987
t149,0.0,0.0,0.0,0.0,0.008403657271438844
t150,0.0,0.0,0.0,0.0,0.00840407657494887
t151,0.0,0.0,0.0,0.0,0.008403194020579829
t152,0.0,0.0,0.0,0.0,0.00840205971024084
t153,0.0,0.0,0.0,0.0,0.008401018031040226
t154,0.0,0.0,0.0,0.0,0.008400307246523391
t155,0.0,0.0,0.0,0.0,0.008399943345857844
t156,0.0,0.0,0.0,0.0,0.00839963756187553
t157,0.0,0.0,0.0,0.0,0.008399594639341004
t158,0.0,0.0,0.0,0.0,0.008399921050122675
t159,0.0,0.0,0.0,0.0,0.00840088304945476
t160,0.0,0.0,0.0,0.0,0.0084024023822015
t161,0.0,0.0,0.0,0.0,0.008402152442313791
t162,0.0,0.0,0.0,0.0,0.008399840897879584
t163,0.0,0.0,0.0,0.0,0.008398868297991791
t164,0.0,0.0,0.0,0.0,0.008398611894232546
t165,0.0,0.0,0.0,0.0,0.008398152065755933
t166,0.0,0.0,0.0,0.0,0.008397440656166493
t167,0.0,0.0,0.0,0.0,0.00839682914876439
t168,0.0,0.0,0.0,0.0,0.00839764240585223
t169,0.0,0.0,0.0,0.0,0.008339109210716572
t170,0.0,0.0,0.0,0.0,0.008339932352954714
t171,0.0,0.0,0.0,0.0,0.008340822958218612
t172,0.0,0.0,0.0,0.0,0.008341733338634376
t173,0.0,0.0,0.0,0.0,0.008342525033387078
t174,0.0,0.0,0.0,0.0,0.008342966514964138
t175,0.0,0.0,0.0,0.0,0.008342877808473185
t176,0.0,0.0,0.0,0.0,0.008342832265918388
t177,0.0,0.0,0.0,0.0,0.0083423118825858
t178,0.0,0.0,0.0,0.0,0.008341624039527203
t179,0.0,0.0,0.0,0.0,0.008341014546653015
t180,0.0,0.0,0.0,0.0,0.008340646552078973
t181,0.0,0.0,0.0,0.0,0.00834051876120207
t182,0.0,0.0,0.0,0.0,0.008340822762713149
t183,0.0,0.0,0.0,0.0,0.008341856783224029
t184,0.0,0.0,0.0,0.0,0.008343777887654247
t185,0.0,0.0,0.0,0.0,0.008346176312479373
t186,0.0,0.0,0.0,0.0,0.008344491016760198
t187,0.0,0.0,0.0,0.0,0.008339600216877376
t188,0.0,0.0,0.0,0.0,0.008337231854670852
t189,0.0,0.0,0.0,0.0,0.00833673734785403
t190,0.0,0.0,0.0,0.0,0.008337154095896842
t191,0.0,0.0,0.0,0.0,0.008337521464193923
t192,0.0,0.0,0.0,0.0,0.008338126552268614
t193,0.0,0.0,0.0,0.0,0.008338977520388017
t194,0.0,0.0,0.0,0.0,0.00833982757174151
t195,0.0,0.0,0.0,0.0,0.008340878929299645
t196,0.0,0.0,0.0,0.0,0.008342360605727394
t197,0.0,0.0,0.0,0.0,0.008344027316320037
t198,0.0,0.0,0.0,0.0,0.008345236499386652
t199,0.0,0.0,0.0,0.0,0.008343977809694519
t200,0.0,0.0,0.0,0.0,0.008341369847847805
t201,0.0,0.0,0.0,0.0,0.008340249740936069
t202,0.0,0.0,0.0,0.0,0.008339865604290394
t203,0.0,0.0,0.0,0.0,0.00833969334986606
t204,0.0,0.0,0.0,0.0,0.008339529436959682
t205,0.0,0.0,0.0,0.0,0.008339855094659085
t206,0.0,0.0,0.0,0.0,0.008340269618437602
t207,0.0,0.0,0.0,0.0,0.00834130944652734
t208,0.0,0.0,0.0,0.0,0.008343171075458067
t209,0.0,0.0,0.0,0.0,0.008345761808652232
t210,0.0,0.0,0.0,0.0,0.008344182061796709
t211,0.0,0.0,0.0,0.0,0.008339398706753308
t212,0.0,0.0,0.0,0.0,0.008337016828272165
t213,0.0,0.0,0.0,0.0,0.008336051539133388
t214,0.0,0.0,0.0,0.0,0.008336197940500594
t215,0.0,0.0,0.0,0.0,0.008336447628706087
t216,0.0,0.0,0.0,0.0,0.008336974202459936
t217,0.0,0.0,0.0,0.0,0.00833821604190495
t218,0.0,0.0,0.0,0.0,0.00833973399831604
t219,0.0,0.0,0.0,0.0,0.00834132180903416
t220,0.0,0.0,0.0,0.0,0.008343243612662652
t221,0.0,0.0,0.0,0.0,0.008344866612621288
t222,0.0,0.0,0.0,0.0,0.008345627492279949
t223,0.0,0.0,0.0,0.0,0.008343871829690788
