Resource,MA_natural_gas,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
Zone,1,1,1,2,2,2,3,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25657.82722789014,27207.324645216613,14014.003544830603
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25657.82722789014,27207.324645216613,14014.003544830603
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25657.82722789014,27207.324645216613,14014.003544830603
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25657.82722789014,27207.324645216613,14014.003544830603
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25657.82722789014,27207.324645216613,14014.003544830603
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25657.82722789014,27207.324645216613,14014.003544830603
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216613,14014.003544830603
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216613,14014.003544830603
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216606,14014.003544830603
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216613,14014.003544830603
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216613,14014.0035448306
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216613,14014.0035448306
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216613,14014.003544830603
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216613,14014.003544830603
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216613,14014.003544830603
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216613,14014.003544830603
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216613,14014.003544830603
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25656.593317494804,27207.324645216613,14014.003544830603
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25657.82722789014,27207.324645216613,14014.003544830603
