Resource,MA_natural_gas,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,2,2,2,3,3,3,1,2,3,0
AnnualSum,1.1113226e7,5.1750364e7,1.5989423e7,3.3495012e6,1.1447528e7,1.3673499e7,882688.8,1.7980396e7,150548.36,1.4118581e7,5.810793e6,977536.6,1.472441e8
t1,0.0,11222.703283632753,0.0,0.0,2891.6022098878143,0.0,0.0,1167.00628155834,0.0,0.0,460.28655085077344,0.0,15741.59832592968
t2,0.0,5144.3190155660795,0.0,0.0,3738.737697261585,0.0,0.0,484.8156487177587,0.0,2911.39179147145,0.0,323.92857580541204,12603.192728822283
t3,0.0,10849.793328843964,0.0,0.0,0.0,0.0,0.0,1116.4597675256418,0.0,0.0,1852.6784817381158,0.0,13818.93157810772
t4,0.0,10847.885861044533,0.0,0.0,10.240000610347352,0.0,0.0,468.60261591481776,0.0,0.0,1847.5584814329422,323.92857580541204,13498.21553480805
t5,0.0,1816.1064594817053,0.0,0.0,3762.5810785368367,0.0,0.0,1143.1635862598973,0.0,4616.031760251549,0.0,0.0,11337.882884529987
t6,0.0,11719.598645384562,0.0,0.0,3148.9969440861178,0.0,0.0,1234.7195362059167,0.0,0.0,402.64245995187343,0.0,16505.95758562847
t7,0.0,3441.0383779861822,30.800285832697526,0.0,221.17106493229062,0.0,0.0,758.239790743879,0.29,4749.529428996254,2044.9038914676728,323.92857580541204,11569.901415764389
t8,0.0,3033.4612720514683,1889.4382240127209,0.0,799.1192624149628,1531.5772978533857,0.0,1487.7825547962238,17.79,3814.177626082321,1676.7975435572228,0.0,14250.143780768307
t9,0.0,1705.926269930758,4182.4664003159605,0.0,0.0,3486.423640362661,0.0,1176.4904227152754,39.379999999999995,3766.77186989197,792.0472152685518,158.67982931357085,15308.185647798746
t10,0.0,574.3385941114899,5918.965273987011,0.0,0.0,4995.817026022341,0.0,1493.713114145358,55.730000000000004,2528.902482059637,1060.417890734936,0.0,16627.884381060772
t11,0.0,37.93744607736793,7186.025308414878,0.0,0.0,5955.936745765889,0.0,1204.829666929043,67.66,2008.395295267877,833.2689510201889,148.49065563350342,17442.54406910875
t12,0.0,9.637881375213233,7200.894411920319,0.0,0.0,6060.644811320177,0.0,1215.180452860358,67.80000000000001,2834.980699149625,0.0,148.49065563350342,17537.628912259195
t13,0.0,15.2361353586568,7021.403091033219,0.0,0.0,5979.895370935092,0.0,1047.8499630292572,66.11,2141.6370161562577,832.7344614477086,233.4777544550226,17338.343792415217
t14,0.0,60.59306864548993,6957.67836172419,0.0,0.0,5872.525235917559,0.0,1160.6157370722447,65.51,2215.9755942053334,843.0893249606722,179.30228305740428,17355.289605582893
t15,0.0,335.5390945561422,6556.212567077304,0.0,0.0,5788.22636958148,0.0,1332.8261667052873,61.73,3107.513621830785,0.0,90.31852918119444,17272.36634893219
t16,0.0,2077.2541252555234,5273.22135032218,0.0,0.0,4844.966423105149,0.0,863.3804562777864,49.65,2349.6007581758254,937.3952847369142,323.92857580541204,16719.39697367879
t17,0.0,4787.749730601383,3571.771077771096,0.0,0.0,3395.025922124597,0.0,1517.7205297692335,33.629999999999995,2516.478505566847,937.3952847369142,0.0,16759.77105057007
t18,0.0,6847.151729603471,1319.1018966969082,0.0,0.0,1441.9542925908179,0.0,891.0733781584095,12.42,2934.9823307466468,1586.6330501745178,323.92857580541204,15357.245253776182
