Resource,MA_natural_gas,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
Zone,1,1,1,2,2,2,3,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9126.415973672034,3395.333408244599,596.0285794819582
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7915.466753336541,5276.644988394858,243.93230143259734
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12547.554276232444,3439.711406935055,541.9465911735765
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17179.641799128345,1613.0534434790266,189.85031312421563
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12547.554276232444,3494.3650236292856,487.86460286519474
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17179.641799128345,4567.590692850046,785.8788926061738
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12279.630259308287,2344.869071689532,433.782614556813
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9256.829120466802,860.9208861614693,731.796904297792
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6329.169273179516,1152.6281421031913,711.3476757294479
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5885.859466863555,905.7271206741183,1009.3619654704271
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6487.184953691405,1114.7041452116853,1009.3619654704271
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5429.5894734244075,2996.0157253619445,1009.3619654704271
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5763.504619547578,3206.065447232802,838.7965532268913
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5948.225471638341,3395.333408244599,776.9589566230973
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4343.668264807764,5276.644988394858,893.7078851899922
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4260.209222599488,5276.644988394858,541.6116071406313
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3841.8337969316663,5276.644988394858,839.6258968816105
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2583.5393899464716,3973.6530208905197,487.52961883224964
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2445.3797832452083,1750.931399730006,135.43334078288876
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7077.46730614111,2760.107554350789,433.4476305238679
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4953.9711456635905,1932.5131323990852,711.3476757294479
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2059.596167622651,918.5182604087212,1009.3619654704271
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2888.84532662009,1103.8777245403173,657.2656874210662
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6930.491462404727,1955.0208182453443,955.2799771620453
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11019.676361291702,2831.2816570346895,1009.3619654704271
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15651.763884187605,4444.081308153808,711.3476757294479
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17146.585209483204,5276.644988394858,1009.3619654704271
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17179.641799128345,5276.644988394858,657.2656874210662
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16357.778416464093,3886.277615453424,305.1694093717054
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11008.291599739854,2907.4414032577374,603.1836991126845
