Costs,Total,Zone1,Zone2,Zone3
cTotal,7.523025307083634e9,3.9381254036510243e9,1.7095800019951916e9,1.1140160330279424e9
cFix,7.022297878032536e9,4.1217202613168426e9,1.7855438398792603e9,1.1150337768364341e9
cVar,3.9918374098079425e8,2.994279511584751e8,7.23943126096414e7,2.7361477212674946e7
cNSE,0.0,0.0,0.0,0.0
cStart,6.302168807037734e7,4.471263072995227e7,1.4459390074079853e7,3.84966726634522e6
cUnmetRsv,0.0,-,-,-
cNetworkExp,3.8522e7,-,-,-
