Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Cap_Size,Heat_Rate_MMBTU_per_MWh,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,region,cluster
EIC_batteries_1,1,1,0,0,712.2,1424.4,0,0,0,6235,0,0,0.15,0.15,16.96,10.34,0.041,0,0.92,0.92,1,10,EIC,1
EIC_hydroelectric_pumped_storage_1,1,1,0,0,17783.1,275638,0,0,0,47048,0,0,0.15,0.15,170.99,10.34,0.524,0,0.866,0.866,1,20,EIC,1
TRE_batteries_1,2,1,0,0,360.7,721.4,0,0,0,6235,0,0,0.15,0.15,45.09,10.34,0.001,0,0.92,0.92,1,10,TRE,1
WECC_batteries_1,3,1,0,0,1357.5,3611,0,0,0,6235,0,0,0.15,0.15,28.28,10.34,0.02,0,0.92,0.92,1,10,WECC,1
WECC_hydroelectric_pumped_storage_1,3,1,0,0,4567.1,70790,0,0,0,47048,0,0,0.15,0.15,101.49,10.34,0.175,0,0.866,0.866,1,20,WECC,1
EIC_battery_moderate_0,1,1,1,1,0,0,-1,-1,19978,5955,11897,3546,0.15,0.15,1,0,0,0,0.92,0.92,1,10,EIC,0
TRE_battery_moderate_0,2,1,1,1,0,0,-1,-1,19389,5955,11546,3546,0.15,0.15,1,0,0,0,0.92,0.92,1,10,TRE,0
WECC_battery_moderate_0,3,1,1,1,0,0,-1,-1,20202,5955,12030,3546,0.15,0.15,1,0,0,0,0.92,0.92,1,10,WECC,0
