Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,Cap_Size,Min_Cap_MW,Max_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,region,cluster
EIC_biomass_1,1,0,0,1722.5,1.27,0,0,0,150850,7.32,172,17.03,biomass,0.308,EIC,1
EIC_small_hydroelectric_1,1,0,0,1672.2,1.06,0,0,0,47048,0,0,10.34,None,0.273,EIC,1
TRE_biomass_1,2,0,0,44.5,1.48,0,0,0,150850,6.51,172,15.15,biomass,0.591,TRE,1
TRE_small_hydroelectric_1,2,0,0,11.2,0.75,0,0,0,47048,0,0,10.34,None,0,TRE,1
WECC_biomass_1,3,0,0,551,2.01,0,0,0,150850,7.14,172,16.63,biomass,0.362,WECC,1
WECC_small_hydroelectric_1,3,0,0,1064.3,1.62,0,0,0,47048,0,0,10.34,None,0.181,WECC,1
WECC_distributed_generation_1,3,0,0,250535,0,0,0,0,0,0,0,0,None,0,WECC,1
EIC_distributed_generation_1,1,0,0,1770000,0,0,0,0,0,0,0,0,None,0,EIC,1
TRE_distributed_generation_1,2,0,0,17006,0,0,0,0,0,0,0,0,None,0,TRE,1
