Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery
62,1,0.6207,0.6207,1,1,1,0.6529,0.6529,1,0.998735309,0.998735309,1,1,1
63,1,0.5504,0.5504,1,1,1,0.5731,0.5731,1,0.996199667,0.996199667,1,1,1
64,1,0.3781,0.3781,1,0.999652565,0.999652565,0.4127,0.4127,1,0.983224452,0.983224452,1,1,1
65,1,0.1371,0.1371,1,0.945950031,0.945950031,0.1725,0.1725,1,0.998122811,0.998122811,1,1,1
66,1,0,0,1,0.987837434,0.987837434,0,0,1,0.997993112,0.997993112,1,1,1
67,1,0,0,1,1,1,0,0,1,0.997174382,0.997174382,1,1,1
68,1,0,0,1,0.958051622,0.958051622,0,0,1,0.987223804,0.987223804,1,1,1
69,1,0,0,1,1,1,0,0,1,0.981596351,0.981596351,1,1,1
70,1,0,0,1,0.996488094,0.996488094,0,0,1,0.992870092,0.992870092,1,1,1
71,1,0,0,1,0.997731447,0.997731447,0,0,1,0.954669297,0.954669297,1,1,1
72,1,0,0,1,0.997055888,0.997055888,0,0,1,0.9347471,0.9347471,1,1,1
73,1,0,0,1,1,1,0,0,1,0.978952587,0.978952587,1,1,1
74,1,0,0,1,0.999057055,0.999057055,0,0,1,0.945270836,0.945270836,1,1,1
75,1,0,0,1,0.964799762,0.964799762,0,0,1,0.929749548,0.929749548,1,1,1
76,1,0,0,1,0.929325104,0.929325104,0,0,1,0.909057319,0.909057319,1,1,1
77,1,0,0,1,0.906229854,0.906229854,0,0,1,0.901528418,0.901528418,1,1,1
78,1,0,0,1,0.809327066,0.809327066,0,0,1,0.910134673,0.910134673,1,1,1
79,1,0,0,1,0.651830137,0.651830137,0,0,1,0.867187142,0.867187142,1,1,1
80,1,0,0,1,0.48080951,0.48080951,0,0,1,0.876390636,0.876390636,1,1,1
81,1,0.2277,0.2277,1,0.378751755,0.378751755,0.2204,0.2204,1,0.823099732,0.823099732,1,1,1
82,1,0.4502,0.4502,1,0.383687705,0.383687705,0.4435,0.4435,1,0.801250398,0.801250398,1,1,1
83,1,0.6046,0.6046,1,0.43698281,0.43698281,0.5641,0.5641,1,0.801717401,0.801717401,1,1,1
84,1,0.6791,0.6791,1,0.027345492,0.027345492,0.6709,0.6709,1,0.240071028,0.240071028,1,1,1
85,1,0.6728,0.6728,1,0.000123209,0.000123209,0.6513,0.6513,1,0.299450189,0.299450189,1,1,1
86,1,0.6482,0.6482,1,5.38E-05,5.38E-05,0.6024,0.6024,1,0.186628819,0.186628819,1,1,1
87,1,0.528,0.528,1,6.64E-05,6.64E-05,0.4635,0.4635,1,0.105973914,0.105973914,1,1,1
88,1,0.3343,0.3343,1,0.002060085,0.002060085,0.305,0.305,1,0.071392164,0.071392164,1,1,1
89,1,0.028,0.028,1,5.04E-05,5.04E-05,0.0783,0.0783,1,0.033698864,0.033698864,1,1,1
90,1,0,0,1,0.097491965,0.097491965,0,0,1,0.225880757,0.225880757,1,1,1
