Period_Index,Rep_Period,Rep_Period_Index
1,4,1
2,64,6
3,46,4
4,58,5
5,58,5
6,58,5
7,4,1
8,4,1
9,4,1
10,4,1
11,4,1
12,64,6
13,58,5
14,58,5
15,58,5
16,58,5
17,64,6
18,64,6
19,64,6
20,64,6
21,64,6
22,67,7
23,64,6
24,67,7
25,67,7
26,76,8
27,76,8
28,76,8
29,29,3
30,76,8
31,76,8
32,76,8
33,76,8
34,86,9
35,64,6
36,86,9
37,28,2
38,28,2
39,28,2
40,86,9
41,86,9
42,28,2
43,28,2
44,86,9
45,86,9
46,67,7
47,86,9
48,76,8
49,76,8
50,76,8
51,76,8
52,76,8
