Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
t367,105.955938,109.24899067199999,1768.002,7070.4467178568375,2683.441804879,302.562968344,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,73.03149540000001,27.220752,14.543313999999999,30.999,3485.2152960000003,35.183596800000004,433.946184,124.77510000000001,0.0,0.0,4.0228649999999995,46.14199182000001,24.92505,175.170223431,274.369887,1112.9859,163.3365,0.0,104.44778340000002,0.8357833800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.5936162615824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.72437323115973,0.0,0.0,0.0,0.0,86.38599998289135,24.700000001420005,11.79000000048,19204.943766960372
t368,105.955938,109.24899067199999,1768.002,7070.2227,2682.8769451121893,302.562968344,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,184.71224286,27.220752,14.543313999999999,30.999,3485.2152960000003,35.183596800000004,433.946184,124.77510000000001,0.0,0.0,4.0228649999999995,96.43788558000001,24.92505,175.170223431,274.369887,1112.9859,163.3365,0.0,104.44778340000002,2.58279462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,97.43999991775999,27.830000021350003,13.279999993919999,19383.00125376592
t369,105.955938,109.24899067199999,1768.002,7070.2227,2682.118197,302.562968344,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,323.22591054000003,27.220752,14.543313999999999,30.999,3485.2152960000003,35.1648,433.89048999715106,124.77510000000001,0.0,0.0,4.0228649999999995,156.08941434000002,24.92505,175.170223431,274.369887,1112.9859,163.3365,0.0,104.44778340000002,4.698776520000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,105.22999992823999,30.049999977040002,14.349999993600003,19593.529193156737
t370,105.955938,109.24899067199999,1768.002,7070.2227,2682.118197,302.562968344,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,430.31141784,27.220752,14.543313999999999,30.999,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,201.63264552,24.92505,175.14301520100003,274.369887,1112.9859,163.3365,0.0,104.44778340000002,6.296077620000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,111.27000001392,31.78000001086,15.16999999968,19755.993534635163
t371,105.955938,109.24899067199999,1768.002,7070.2227,2682.118197,302.562968344,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,508.43050056000004,27.220752,14.543313999999999,30.999,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,233.44180452000006,24.92505,175.170223431,274.369887,1112.9859,163.3365,0.0,104.44778340000002,7.438354200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,116.51999995384,33.28000001286001,15.89000000832,19874.561261115727
t372,105.955938,109.24899067199999,1768.002,7070.2227,2682.118197,302.562968344,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,540.3510081,27.220752,14.543313999999999,30.999,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,247.47525702000002,24.92505,175.19743166100002,274.369887,1112.9859,163.3365,0.0,104.44778340000002,7.609283100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,120.03000002528,34.21493998265628,16.36999999152,19925.638298310158
t373,105.955938,109.24899067199999,1768.002,7070.2227,2682.118197,302.4335231417695,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,540.7612974,27.220752,14.543313999999999,30.999,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,244.40660874000002,24.92505,175.170223431,274.369887,1112.9859,163.3365,0.0,104.44778340000002,7.46428824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,122.53999992688001,34.99999998364,16.70999999184,19926.31335094083
t374,105.955938,109.19396308299999,1767.952710196315,7070.2227,2682.118197,302.398299,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,533.7043214400001,27.220752,14.537694899999998,30.999,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,240.06559410000003,24.92505,175.14301520100003,274.2255,1112.9859,163.3365,0.0,104.44778340000002,7.096496400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,125.51999999272,35.85000000053,17.11000000416,19918.460812731428
t375,105.955938,109.13893549399998,1767.5318693609684,7070.2227,2682.118197,302.398299,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,480.61288602,27.220752,14.5320758,30.968000999999997,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,222.77638062000005,24.92505,175.163990358,274.2255,1112.9859,163.3365,0.0,104.44778340000002,6.508265220000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,127.72448003920728,36.52000001718,17.43000000048,19850.194901343537
t376,105.955938,109.13090268021422,1767.2345156584588,7070.2227,2682.118197,302.398299,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,392.40068651999997,27.220752,14.5320758,30.968000999999997,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,186.81331968,24.92505,175.19119858800002,274.2255,1112.9859,163.3365,0.0,104.44778340000002,5.426108460000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,129.56999996056,37.00000001782001,17.65999999008,19727.21482576883
