Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
9000,1,1,1,9000,20,168,168,1,12424,17434,9294,15529,20437,11281
,2,0.067,0.075,603,,,672,2,11973,16803,9183,15228,19951,11471
,,,,,,,672,3,11736,16470,9138,15129,19775,11466
,,,,,,,336,4,11643,16338,9221,15146,19885,11468
,,,,,,,1176,5,11658,16359,9376,15358,20277,11518
,,,,,,,672,6,11714,15303,9736,15726,21199,11565
,,,,,,,168,7,10981,13259,10094,15186,22518,11452
,,,,,,,672,8,10510,12086,10447,14856,23900,11448
,,,,,,,504,9,10461,11826,10739,14737,25062,11399
,,,,,,,168,10,9789,12189,10873,14745,25633,11419
,,,,,,,168,11,9608,12767,10859,14905,25579,11455
,,,,,,,168,12,10824,13459,10817,15158,25296,11634
,,,,,,,504,13,12200,14527,10681,15568,24731,11656
,,,,,,,168,14,12406,16108,10602,16101,24328,11913
,,,,,,,1176,15,13522,18629,10572,16897,23887,12504
,,,,,,,168,16,14159,19870,10862,17673,24274,13111
,,,,,,,168,17,14933,20956,11692,18947,26279,14074
,,,,,,,672,18,16851,23649,12149,19834,28095,14180
,,,,,,,168,19,17077,23965,12081,19619,28152,14011
,,,,,,,168,20,16827,23615,11962,19198,27939,13720
,,,,,,,,21,16337,22927,11608,18468,27206,13183
,,,,,,,,22,15382,21586,10980,17397,25756,12463
,,,,,,,,23,14127,19824,10341,16334,23843,12005
,,,,,,,,24,13060,18328,9911,15597,22228,11711
,,,,,,,,25,12451,17472,9672,15273,21380,11807
,,,,,,,,26,12026,16877,9611,15188,21065,12091
,,,,,,,,27,11903,16704,9669,15148,21112,12179
,,,,,,,,28,11866,16652,9904,15375,21629,12343
,,,,,,,,29,12260,17205,10453,16355,22903,12891
,,,,,,,,30,13199,18127,11432,17865,25345,13550
,,,,,,,,31,14591,18301,12361,17759,28671,13751
,,,,,,,,32,15016,17598,12586,16904,30424,13583
,,,,,,,,33,14257,17696,12445,16375,29943,13354
,,,,,,,,34,13047,18525,12241,16272,29076,13340
,,,,,,,,35,12796,18857,12051,16214,28234,13320
,,,,,,,,36,13391,19695,11818,16344,27375,13294
,,,,,,,,37,14338,20979,11615,16674,26646,13319
,,,,,,,,38,15663,22179,11500,17103,26124,13510
,,,,,,,,39,16446,23021,11490,17806,25837,14084
,,,,,,,,40,16547,23221,11730,18700,26195,14619
,,,,,,,,41,17087,23978,12586,19916,28284,15332
,,,,,,,,42,18709,26255,13107,20786,30220,15391
,,,,,,,,43,18755,26321,13015,20610,30372,15133
,,,,,,,,44,18370,25779,12829,20220,29922,14967
,,,,,,,,45,17800,24979,12416,19412,29169,14325
,,,,,,,,46,16791,23564,11692,18228,27516,13482
,,,,,,,,47,15354,21546,10889,17000,25221,12816
,,,,,,,,48,13991,19635,10372,16248,23387,12462
,,,,,,,,49,13105,18391,10127,15814,22433,12407
,,,,,,,,50,12545,17606,10079,15694,21960,12696
,,,,,,,,51,12334,17309,10062,15692,21832,12694
,,,,,,,,52,12280,17232,10234,16050,22146,12818
,,,,,,,,53,12629,17724,10708,16970,23278,13261
,,,,,,,,54,13197,18604,11689,18593,25692,13884
,,,,,,,,55,13267,19563,12556,18513,28942,13785
,,,,,,,,56,12669,18977,12668,17301,30391,13370
,,,,,,,,57,12073,18085,12562,16575,29865,13043
,,,,,,,,58,11800,17391,12284,16331,29190,13145
,,,,,,,,59,11961,17895,12114,16232,28449,13173
,,,,,,,,60,12362,19247,11884,16788,27567,13207
,,,,,,,,61,13159,20945,11747,17264,27026,13133
,,,,,,,,62,14444,22200,11676,17676,26566,13300
,,,,,,,,63,16030,23258,11673,17968,26320,13695
,,,,,,,,64,16752,23509,11909,18523,26770,14124
,,,,,,,,65,17273,24241,12736,19858,28653,15035
,,,,,,,,66,18883,26499,13081,20769,30141,14980
