Time_Index,CA_N_biomass_1,CA_N_conventional_hydroelectric_1,CA_N_geothermal_1,CA_N_hydroelectric_pumped_storage_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combined_cycle_2,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_natural_gas_fired_combustion_turbine_2,CA_N_onshore_wind_turbine_1,CA_N_small_hydroelectric_1,CA_N_solar_photovoltaic_1,CA_S_biomass_1,CA_S_conventional_hydroelectric_1,CA_S_geothermal_1,CA_S_hydroelectric_pumped_storage_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combined_cycle_2,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_fired_combustion_turbine_2,CA_S_onshore_wind_turbine_1,CA_S_small_hydroelectric_1,CA_S_solar_photovoltaic_1,WECC_N_biomass_1,WECC_N_conventional_hydroelectric_1,WECC_N_conventional_steam_coal_1,WECC_N_conventional_steam_coal_2,WECC_N_geothermal_1,WECC_N_natural_gas_fired_combined_cycle_1,WECC_N_natural_gas_fired_combined_cycle_2,WECC_N_natural_gas_fired_combustion_turbine_1,WECC_N_natural_gas_fired_combustion_turbine_2,WECC_N_onshore_wind_turbine_1,WECC_N_solar_photovoltaic_1,WECC_NMAZ_biomass_1,WECC_NMAZ_conventional_hydroelectric_1,WECC_NMAZ_conventional_steam_coal_1,WECC_NMAZ_conventional_steam_coal_2,WECC_NMAZ_geothermal_1,WECC_NMAZ_hydroelectric_pumped_storage_1,WECC_NMAZ_natural_gas_fired_combined_cycle_1,WECC_NMAZ_natural_gas_fired_combined_cycle_2,WECC_NMAZ_natural_gas_fired_combustion_turbine_1,WECC_NMAZ_natural_gas_fired_combustion_turbine_2,WECC_NMAZ_nuclear_1,WECC_NMAZ_onshore_wind_turbine_1,WECC_NMAZ_solar_photovoltaic_1,WECC_PNW_biomass_1,WECC_PNW_conventional_hydroelectric_1,WECC_PNW_geothermal_1,WECC_PNW_hydroelectric_pumped_storage_1,WECC_PNW_natural_gas_fired_combined_cycle_1,WECC_PNW_natural_gas_fired_combined_cycle_2,WECC_PNW_natural_gas_fired_combustion_turbine_1,WECC_PNW_natural_gas_fired_combustion_turbine_2,WECC_PNW_nuclear_1,WECC_PNW_onshore_wind_turbine_1,WECC_PNW_solar_photovoltaic_1,WECC_WYCO_biomass_1,WECC_WYCO_conventional_hydroelectric_1,WECC_WYCO_conventional_steam_coal_1,WECC_WYCO_conventional_steam_coal_2,WECC_WYCO_hydroelectric_pumped_storage_1,WECC_WYCO_natural_gas_fired_combined_cycle_1,WECC_WYCO_natural_gas_fired_combined_cycle_2,WECC_WYCO_natural_gas_fired_combustion_turbine_1,WECC_WYCO_natural_gas_fired_combustion_turbine_2,WECC_WYCO_onshore_wind_turbine_1,WECC_WYCO_solar_photovoltaic_1,CA_N_naturalgas_ccavgcf_mid_0,CA_N_naturalgas_ctavgcf_mid_0,CA_N_naturalgas_ccccsavgcf_mid_0,CA_N_nuclear_mid_0,CA_N_naturalgas_ccs100_mid_0,CA_N_offshorewind_otrg6_low_floating_1_180_1,CA_N_offshorewind_otrg6_low_floating_1_180_2,CA_N_offshorewind_otrg6_low_floating_1_180_3,CA_N_offshorewind_otrg6_low_floating_1_180_4,CA_N_offshorewind_otrg6_low_floating_1_180_5,CA_N_offshorewind_otrg6_low_floating_1_180_6,CA_S_naturalgas_ccavgcf_mid_0,CA_S_naturalgas_ctavgcf_mid_0,CA_S_naturalgas_ccccsavgcf_mid_0,CA_S_nuclear_mid_0,CA_S_naturalgas_ccs100_mid_0,WECC_N_naturalgas_ccavgcf_mid_0,WECC_N_naturalgas_ctavgcf_mid_0,WECC_N_naturalgas_ccccsavgcf_mid_0,WECC_N_nuclear_mid_0,WECC_N_naturalgas_ccs100_mid_0,WECC_NMAZ_naturalgas_ccavgcf_mid_0,WECC_NMAZ_naturalgas_ctavgcf_mid_0,WECC_NMAZ_naturalgas_ccccsavgcf_mid_0,WECC_NMAZ_nuclear_mid_0,WECC_NMAZ_naturalgas_ccs100_mid_0,WECC_PNW_naturalgas_ccavgcf_mid_0,WECC_PNW_naturalgas_ctavgcf_mid_0,WECC_PNW_naturalgas_ccccsavgcf_mid_0,WECC_PNW_nuclear_mid_0,WECC_PNW_naturalgas_ccs100_mid_0,WECC_PNW_offshorewind_otrg6_low_floating_1_150_1,WECC_PNW_offshorewind_otrg6_low_floating_1_150_2,WECC_PNW_offshorewind_otrg6_low_floating_1_150_3,WECC_WYCO_naturalgas_ccavgcf_mid_0,WECC_WYCO_naturalgas_ctavgcf_mid_0,WECC_WYCO_naturalgas_ccccsavgcf_mid_0,WECC_WYCO_nuclear_mid_0,WECC_WYCO_naturalgas_ccs100_mid_0,CA_N_ev_load_shifting_1,CA_S_ev_load_shifting_1,WECC_N_ev_load_shifting_1,WECC_NMAZ_ev_load_shifting_1,WECC_PNW_ev_load_shifting_1,WECC_WYCO_ev_load_shifting_1
11,1,0.359795157,1,1,1,1,1,1,0,0.359795157,0.7228,1,0.218944781,1,1,1,1,1,1,0.022440614,0.218944781,0.706656628,1,0.390455408,1,1,1,1,1,1,1,0.111731416,0.685647896,1,0.266069543,1,1,1,1,1,1,1,1,1,0.092420695,0.665942509,1,0.4488,1,1,1,1,1,1,1,0.0292,0.6721,1,0.385211307,1,1,1,1,1,1,1,0.295767999,0.722140162,1,1,1,1,1,0.000113856,0,0,0.102952018,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001397924,0.087212309,0.185597062,1,1,1,1,1,0.230392157,0.230396014,0.269480519,0.269892884,0.406343656,0.26718948
12,1,0.359595157,1,1,1,1,1,1,0,0.359595157,0.7303,1,0.21901784,1,1,1,1,1,1,0.03432579,0.21901784,0.713989912,1,0.390137852,1,1,1,1,1,1,1,0.113215655,0.70401745,1,0.2658669,1,1,1,1,1,1,1,1,1,0.133837511,0.670028007,1,0.4484,1,1,1,1,1,1,1,0.0058,0.6941,1,0.385070469,1,1,1,1,1,1,1,0.293350795,0.720600894,1,1,1,1,1,0.010810071,0,0,0.200694188,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.010479476,0.122839861,0.158246592,1,1,1,1,1,0.313387424,0.313401521,0.357142857,0.356924254,0.515734266,0.358127376
13,1,0.359387945,1,1,1,1,1,1,0.0002,0.359387945,0.7276,1,0.219051574,1,1,1,1,1,1,0.073480148,0.219051574,0.715429775,1,0.389781943,1,1,1,1,1,1,1,0.106551832,0.687721591,1,0.265664257,1,1,1,1,1,1,1,1,1,0.135343875,0.663611914,1,0.448,1,1,1,1,1,1,1,0.0055,0.6997,1,0.38484975,1,1,1,1,1,1,1,0.27238703,0.688201838,1,1,1,1,1,0.071406677,0.003927865,0.012190022,0.145242095,7.19E-05,0.000630017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.033238728,0.119941004,0.128334954,1,1,1,1,1,0.407538878,0.407684238,0.448051948,0.448163734,0.555694306,0.452313054
14,1,0.359187945,1,1,1,1,1,1,0.0016,0.359187945,0.7186,1,0.219083733,1,1,1,1,1,1,0.105049909,0.219083733,0.707999435,1,0.389425796,1,1,1,1,1,1,1,0.109586291,0.659458784,1,0.265464257,1,1,1,1,1,1,1,1,1,0.150720015,0.64101673,1,0.4476,1,1,1,1,1,1,1,0.1268,0.6627,1,0.384708911,1,1,1,1,1,1,1,0.288882087,0.656072349,1,1,1,1,1,0.23823607,0.026524002,0.052575164,0.194076568,8.53E-05,0.000433402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.061590817,0.129448205,0.126622036,1,1,1,1,1,0.501859364,0.501835825,0.51461039,0.51434583,0.58041958,0.537943599
15,1,0.358987945,1,1,1,1,1,1,0.0086,0.358987945,0.7304,1,0.219063245,1,1,1,1,1,1,0.153056616,0.219063245,0.705310815,1,0.389052568,1,1,1,1,1,1,1,0.121752351,0.677209159,1,0.265261614,1,1,1,1,1,1,1,1,1,0.149148215,0.617059109,1,0.4472,1,1,1,1,1,1,1,0.2248,0.6518,1,0.384488193,1,1,1,1,1,1,1,0.254975253,0.581622711,1,1,1,1,1,0.438622117,0.06094224,0.064114369,0.296790659,0.001574307,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.110683173,0.151436657,0.081990063,1,1,1,1,1,0.518255578,0.518358248,0.51461039,0.514728386,0.610639361,0.552360583
16,1,0.358780732,1,1,1,1,1,1,0.0055,0.358780732,0.6951,1,0.219096979,1,1,1,1,1,1,0.116736908,0.219096979,0.660640989,1,0.388696422,1,1,1,1,1,1,1,0.113585123,0.616791777,1,0.265058971,1,1,1,1,1,1,1,1,1,0.127724257,0.559970624,1,0.4468,1,1,1,1,1,1,1,0.3921,0.6079,1,0.384347354,1,1,1,1,1,1,1,0.370587804,0.488043349,1,1,1,1,1,0.413860589,0.059725497,0.005099671,0.188375592,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.148491353,0.174642608,0.095200643,1,1,1,1,1,0.528735632,0.528717545,0.502435065,0.502869166,0.662837163,0.568678707
17,1,0.358487945,1,1,1,1,1,1,0.0097,0.358487945,0.6275,1,0.219170038,1,1,1,1,1,1,0.062776972,0.219170038,0.557338274,1,0.388340513,1,1,1,1,1,1,1,0.09901989,0.536178064,1,0.264858971,1,1,1,1,1,1,1,1,1,0.157344029,0.436076044,1,0.4463,1,1,1,1,1,1,1,0.3786,0.5359,1,0.384206516,1,1,1,1,1,1,1,0.252180368,0.329252993,1,1,1,1,1,0.413149536,0.07162793,0.002557072,0.258240163,0.00223438,0.000610727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.181461751,0.278676927,0.154318929,1,1,1,1,1,0.553921569,0.554025702,0.512987013,0.512815608,0.606143856,0.602107098
18,1,0.358280732,1,1,1,1,1,1,0.0338,0.358280732,0.4651,1,0.219202197,1,1,1,1,1,1,0.097125566,0.219202197,0.370611688,1,0.388022957,1,1,1,1,1,1,1,0.137327076,0.353690891,1,0.264656329,1,1,1,1,1,1,1,1,1,0.205946199,0.233459163,1,0.4459,1,1,1,1,1,1,1,0.3858,0.4036,1,0.383985797,1,1,1,1,1,1,1,0.225912014,0.100271388,1,1,1,1,1,0.516389072,0.094740756,0.000108553,0.509003341,0.001069037,0.003674055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.242894158,0.38017869,0.184552208,1,1,1,1,1,0.579445571,0.579464988,0.495941558,0.496365723,0.674575425,0.633079848
19,1,0.358080732,1,1,1,1,1,1,0.082,0.358080732,0.227,1,0.219235932,1,1,1,1,1,1,0.209507427,0.219235932,0.115822716,1,0.387667048,1,1,1,1,1,1,1,0.109398033,0.081350805,1,0.264453686,1,1,1,1,1,1,1,1,1,0.219655931,0.029091836,1,0.4455,1,1,1,1,1,1,1,0.3719,0.1886,1,0.383844959,1,1,1,1,1,1,1,0.233580067,0,1,1,1,1,1,0.539765358,0.099802829,0,0.650556922,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.198098421,0.252096742,0.12097539,1,1,1,1,1,0.517241379,0.517309205,0.478084416,0.47800306,0.67032967,0.619058935
20,1,0.35787352,1,1,1,1,1,1,0.1042,0.35787352,0,1,0.219215444,1,1,1,1,1,1,0.332783934,0.219215444,0,1,0.387349491,1,1,1,1,1,1,1,0.155206844,0,1,0.264251043,1,1,1,1,1,1,1,1,1,0.239289491,0,1,0.4451,1,1,1,1,1,1,1,0.3167,0,1,0.38362424,1,1,1,1,1,1,1,0.348902956,0,1,1,1,1,1,0.555045187,0.103515118,0,0.620179892,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.166876361,0.126682371,0.073594637,1,1,1,1,1,0.600912779,0.600970365,0.541396104,0.541698546,0.568681319,0.697005703
