,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t53,6707.492941171029,4366.960278924002,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11074.45322009503
t54,7531.573189587798,4680.701111738905,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12212.2743013267
t55,6098.79568108826,8127.015569346629,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14225.811250434886
t56,3917.368415352938,11436.104799516908,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15353.473214869846
t57,15544.46461064802,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15544.46461064802
t58,15651.13533701349,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15651.13533701349
t59,15791.331148808105,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15791.331148808105
t60,62998.93926315569,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-15817.744852479555
t61,15753.742416660272,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15753.742416660272
t62,62912.58677038364,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-15731.392359707506
t63,15671.453570606911,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15671.453570606911
t64,43540.07290254957,0.0,-27652.230144172707,0.0,-0.0,0.0,0.0,0.0,0.0,-15887.84275837686
t65,17128.270919255316,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17128.270919255316
t66,9738.683396710378,8745.829614905899,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18484.51301161628
t67,10721.33146621015,7798.738454194621,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18520.06992040477
t68,8923.77734499769,9285.423601427708,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18209.2009464254
t69,10414.950445606863,7201.9739915702685,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17616.92443717713
t70,10354.076921241392,6223.569867632168,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16577.64678887356
t71,10651.255483810968,4538.655950631824,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15189.911434442793
t72,10566.977471890192,3407.9035936659247,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13974.881065556117
t73,10781.472588840983,2437.570187039812,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13219.042775880795
t74,10708.023732081085,2113.7975770482954,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12821.82130912938
t75,9843.018717863055,2776.6361670117694,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12619.654884874824
t76,9709.020145610562,2932.984796217028,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12642.00494182759
t77,9715.363703922494,3272.0512089932827,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12987.414912915776
t78,8479.029727597914,5581.18791905058,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14060.217646648493
t79,8085.668547646799,7926.11543564994,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16011.783983296742
t80,7413.776583237452,9660.651016995293,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17074.427600232746
t81,17095.76174550584,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17095.76174550584
t82,17050.04571992064,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17050.04571992064
t83,64192.635486769264,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-17011.44107609314
t84,16844.83156062707,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16844.83156062707
t85,63785.254903221154,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-16604.060492545013
t86,16461.83285739105,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16461.83285739105
t87,16331.796162393146,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16331.796162393146
t88,38496.86073813636,0.0,-21996.423236917806,0.0,-0.0,0.0,0.0,0.0,0.0,-16500.437501218556
t89,3296.5517448592427,14357.96142446572,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17654.513169324964
t90,631.0645756005529,17962.150985740536,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18593.21556134109
t91,2421.0009534965184,16027.95514933127,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18448.95610282779
t92,2974.235903890046,15044.98955843685,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18019.225462326896
t93,4499.0840278673395,12830.337403962862,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17329.4214318302
t94,4216.633013273723,11972.935513965464,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16189.56852723919
t95,5004.6955336185965,9732.119291690871,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14736.814825309468
t96,4530.74562012391,8861.002141300976,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13391.747761424886
t97,3517.6614243752133,9014.625056047895,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12532.286480423107
t98,5639.518388134072,6434.591924757356,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12074.110312891426
t99,3949.7582272709574,7891.70831097578,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11841.466538246737
t100,4579.259016407443,7220.555142972777,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11799.81415938022
t101,4673.300994358483,7429.254845563736,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12102.555839922217
t102,3916.1580393000913,9178.943511660824,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13095.101550960915
t103,2463.8320332873473,12517.817506822863,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14981.64954011021
t104,2753.4123185821218,13333.549129010282,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16086.961447592405
t105,15104.12986172278,1100.6773407114752,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16204.807202434256
t106,16275.921020011236,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16275.921020011236
t107,50344.955069600255,0.0,-34142.179690525336,0.0,-0.0,0.0,0.0,0.0,0.0,-16202.775379074914
t108,63157.421485184386,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-15976.227074508251
t109,15778.12429697238,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15778.12429697238
t110,55894.79128705953,0.0,-40193.87627774216,0.0,-0.0,0.0,0.0,0.0,0.0,-15700.915009317374
t111,45750.79604311426,0.0,-30173.822258716762,0.0,-0.0,0.0,0.0,0.0,0.0,-15576.973784397494
t112,33948.758443745464,0.0,-18271.209403060526,0.0,-0.0,0.0,0.0,0.0,0.0,-15677.549040684937
t113,16673.14248676265,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16673.14248676265
t114,8734.905747347875,9028.309971701898,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17763.215719049775
t115,7392.064315548753,10307.14896768174,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17699.213283230496
t116,4949.666715216528,12347.245542864193,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17296.912258080723
t117,5175.50044575924,11475.291984050642,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16650.792429809884
