Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_natural_gas_H2_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,1,1,2,2,2,3,3,3,1,2,3,0
AnnualSum,0.0,1.3030236e7,3.120971e6,5.2708704e7,1.2911373e7,326513.56,1.1429391e7,1.4646104e7,88540.48,2.0312004e7,149962.22,1.7754496e7,1.6638474e6,211525.72,1.4835366e8
t1,0.0,0.0,0.0,12832.693669730734,0.0,0.0,2410.8820894994,0.0,0.0,942.1391306356259,0.0,0.0,0.0,0.0,16185.71488986576
t2,0.0,0.0,0.0,12569.638343129402,0.0,0.0,2335.3017425692337,0.0,0.0,906.8039129135648,0.0,0.0,0.0,0.0,15811.7439986122
t3,0.0,0.0,0.0,0.0,0.0,0.0,2300.947039419159,0.0,0.0,778.3584684924938,0.0,6224.453863408051,0.0,55.879684692826714,9359.639056012531
t4,0.0,0.0,0.0,12446.944627363853,0.0,0.0,1994.1029628058411,0.0,0.0,741.1913802903365,0.0,0.0,153.42203830665898,74.46322879390533,15410.124237560594
t5,0.0,0.0,0.0,10808.887731686591,0.0,0.0,2359.8408162478595,0.0,0.0,917.6007849953056,0.0,922.0911690816913,0.0,0.0,15008.420502011448
t6,0.0,0.0,0.0,9857.272897634639,0.0,0.0,1803.821885377014,0.0,0.0,862.9015746663244,0.0,1743.404089703449,376.65654162349665,74.46322879390533,14718.520217798829
t7,0.0,0.0,0.0,2837.574037198928,24.968277028484074,0.0,738.3858078001176,0.0,0.0,1188.21412086444,0.29,6391.748823482841,592.0459484396912,0.0,11773.227014814502
t8,0.0,0.0,0.0,2501.474846513975,1531.6746494370057,0.0,650.9269894004914,1657.6879582009192,0.0,1272.793638728172,17.79,5500.705218343653,592.0459484396912,0.0,13725.099249063906
