slot,cluster,Month
1,3,1
2,3,1
3,3,1
4,3,1
5,3,1
6,3,1
7,3,1
8,3,2
9,2,2
10,2,2
11,3,2
12,2,2
13,2,2
14,3,2
15,3,3
16,4,3
17,4,3
18,4,3
19,4,3
20,4,3
21,4,3
22,4,3
23,4,4
24,4,4
25,2,4
26,2,4
27,4,4
28,2,4
29,4,4
30,4,4
31,4,5
32,4,5
33,4,5
34,4,5
35,4,5
36,4,5
37,4,5
38,4,6
39,4,6
40,2,6
41,2,6
42,2,6
43,2,6
44,2,6
45,2,6
46,1,7
47,1,7
48,1,7
49,1,7
50,5,7
51,1,7
52,1,7
53,1,7
54,1,8
55,1,8
56,1,8
57,1,8
58,1,8
59,1,8
60,1,8
61,1,9
62,1,9
63,1,9
64,1,9
65,1,9
66,1,9
67,1,9
68,1,9
69,2,10
70,2,10
71,2,10
72,3,10
73,2,10
74,2,10
75,2,10
76,3,10
77,2,11
78,2,11
79,2,11
80,2,11
81,2,11
82,2,11
83,2,11
84,2,12
85,2,12
86,2,12
87,2,12
88,3,12
89,3,12
90,3,12
91,3,12
