Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
1,1,0.1531,1,1,1,1,1,1,1,1,0.0153,0.1531,0,1,0.2065,1,1,1,1,1,1,0.0626,0.2065,0,1,0.5201,1,1,1,0.2652,0.5201,0,1,1,1,1,1,0.0652927533,0,0.0133244302,1,1,1,1,1,0.1034812331,0,0.0008010472,1,1,1,1,1,0.3768139482,0,0.5477887869,0.5477046753,0.5478723404
2,1,0.1529,1,1,1,1,1,1,1,1,0.0096,0.1529,0,1,0.2064,1,1,1,1,1,1,0.0741,0.2064,0,1,0.5199,1,1,1,0.2219,0.5199,0,1,1,1,1,1,0.0523340367,0,0.0038255635,1,1,1,1,1,0.1226268038,0,0.0150342938,1,1,1,1,1,0.3645953238,0,0.5132310295,0.5132219166,0.5132978723
3,1,0.1528,1,1,1,1,1,1,1,1,0.0024,0.1528,0,1,0.2063,1,1,1,1,1,1,0.1111,0.2063,0,1,0.5198,1,1,1,0.2331,0.5198,0,1,1,1,1,1,0.0406739041,0,0.000506716,1,1,1,1,1,0.1619079113,0,0.0268756542,1,1,1,1,1,0.4025072157,0,0.4904543258,0.4905859953,0.4906914894
4,1,0.1527,1,1,1,1,1,1,1,1,0.0013,0.1527,0,1,0.2062,1,1,1,1,1,1,0.07,0.2062,0,1,0.5196,1,1,1,0.2218,0.5196,0,1,1,1,1,1,0.0269094612,0,0,1,1,1,1,1,0.099254258,0,0.00276911,1,1,1,1,1,0.4000192583,0,0.4766191397,0.476835202,0.4769503546
5,1,0.1525,1,1,1,1,1,1,1,1,0.0033,0.1525,0,1,0.2061,1,1,1,1,1,1,0.0733,0.2061,0,1,0.5194,1,1,1,0.1759,0.5194,0,1,1,1,1,1,0.0203259066,0,0,1,1,1,1,1,0.1102995276,0,0.0359112583,1,1,1,1,1,0.330832094,0,0.473537941,0.473661942,0.4734042553
6,1,0.1524,1,1,1,1,1,1,1,1,0,0.1524,0,1,0.206,1,1,1,1,1,1,0.0365,0.206,0,1,0.5193,1,1,1,0.1043,0.5193,0,1,1,1,1,1,0.0072121331,3.65216806130775E-06,0,1,1,1,1,1,0.0636020377,0,0.0500052422,1,1,1,1,1,0.2223873734,0.0135339107,0.4777066216,0.4776814047,0.4778368794
7,1,0.1523,1,1,1,1,1,1,1,1,0,0.1523,0.0759,1,0.2059,1,1,1,1,1,1,0.0234,0.2059,0.0696,1,0.5191,1,1,1,0.0769,0.5191,0.0904,1,1,1,1,1,0.0081701754,0.1843607575,0.0276119746,1,1,1,1,1,0.0405937135,0.1259034872,0.0472887456,1,1,1,1,1,0.1774683595,0.3329229951,0.4960125665,0.4960863127,0.4960106383
8,1,0.1521,1,1,1,1,1,1,1,1,0,0.1521,0.1942,1,0.2058,1,1,1,1,1,1,0,0.2058,0.2154,1,0.5189,1,1,1,0.0447,0.5189,0.198,1,1,1,1,1,5.58345927856863E-05,0.3926835656,0.0516685732,1,1,1,1,1,0.0113113327,0.3912949562,0.0308013074,1,1,1,1,1,0.1314129233,0.5290304422,0.5399347511,0.5398773006,0.5403368794
9,1,0.152,1,1,1,1,1,1,1,1,0,0.152,0.3388,1,0.2057,1,1,1,1,1,1,0.009,0.2057,0.3492,1,0.5188,1,1,1,0.0288,0.5188,0.2909,1,1,1,1,1,0.0001330516,0.587511301,0.1330930591,1,1,1,1,1,0.0137110576,0.6054427028,0.0373342931,1,1,1,1,1,0.095543988,0.561009407,0.5953963267,0.5955151259,0.5953014184
10,1,0.1519,1,1,1,1,1,1,1,1,0.0041,0.1519,0.4434,1,0.2056,1,1,1,1,1,1,0.0158,0.2056,0.3816,1,0.5186,1,1,1,0.0346,0.5186,0.3935,1,1,1,1,1,0.0021349126,0.6854640245,0.2347196937,1,1,1,1,1,0.018147571,0.6181715727,0.1075057685,1,1,1,1,1,0.0780055895,0.5679433346,0.6449371677,0.6450179818,0.6453900709
11,1,0.1517,1,1,1,1,1,1,1,1,0.0059,0.1517,0.5172,1,0.2055,1,1,1,1,1,1,0.0441,0.2055,0.3968,1,0.5184,1,1,1,0.0048,0.5184,0.4017,1,1,1,1,1,0.0023405298,0.6163709164,0.1562844515,1,1,1,1,1,0.0429583117,0.5995746255,0.1919544637,1,1,1,1,1,0.0257818494,0.6505871415,0.6802803287,0.6803469431,0.6804078014
12,1,0.1516,1,1,1,1,1,1,1,1,0.0191,0.1516,0.4947,1,0.2054,1,1,1,1,1,1,0.0771,0.2054,0.4368,1,0.5183,1,1,1,0.0143,0.5183,0.5062,1,1,1,1,1,0.0081511075,0.6229407787,0.2426283956,1,1,1,1,1,0.0732899457,0.644762218,0.3166128397,1,1,1,1,1,0.0489042178,0.5820493102,0.6990091832,0.6989634017,0.6990248227
13,1,0.1515,1,1,1,1,1,1,1,1,0.0301,0.1515,0.4841,1,0.2053,1,1,1,1,1,1,0,0.2053,0.3948,1,0.5181,1,1,1,0.0453,0.5181,0.5072,1,1,1,1,1,0.0069617238,0.6232414842,0.4067547321,1,1,1,1,1,0.0208618417,0.588721633,0.2933542132,1,1,1,1,1,0.0835364088,0.61391294,0.7061986467,0.7061561244,0.7065602837
14,1,0.1513,1,1,1,1,1,1,1,1,0.0559,0.1513,0.4469,1,0.2052,1,1,1,1,1,1,0.0013,0.2052,0.3538,1,0.5179,1,1,1,0.0639,0.5179,0.5036,1,1,1,1,1,0.0090784784,0.5707063079,0.3164917231,1,1,1,1,1,0.0087753776,0.5178684592,0.2274960726,1,1,1,1,1,0.0863661617,0.6323173642,0.706681972,0.7065792257,0.7070035461
15,1,0.1512,1,1,1,1,1,1,1,1,0.1051,0.1512,0.3442,1,0.2051,1,1,1,1,1,1,0.0821,0.2051,0.2453,1,0.5178,1,1,1,0.08,0.5178,0.3942,1,1,1,1,1,0.0280896779,0.4460259974,0.373291254,1,1,1,1,1,0.0953631029,0.3165434897,0.741438508,1,1,1,1,1,0.0820469707,0.5407643318,0.7011237313,0.7010789084,0.7012411348
16,1,0.1511,1,1,1,1,1,1,1,1,0.06,0.1511,0.2529,1,0.205,1,1,1,1,1,1,0.1972,0.205,0.1974,1,0.5176,1,1,1,0.0747,0.5176,0.3035,1,1,1,1,1,0.0507461987,0.3095381558,0.2286880314,1,1,1,1,1,0.1234570518,0.2894831896,0.2031167597,1,1,1,1,1,0.0851252526,0.4680441916,0.6849927501,0.6850010578,0.6852836879
17,1,0.1509,1,1,1,1,1,1,1,1,0.03,0.1509,0.1595,1,0.2049,1,1,1,1,1,1,0.1352,0.2049,0.0995,1,0.5174,1,1,1,0.0801,0.5174,0.1983,1,1,1,1,1,0.0174288079,0.138130486,0.2969990075,1,1,1,1,1,0.1238278523,0.1804636121,0.1481699049,1,1,1,1,1,0.0971502364,0.4096777439,0.6709763171,0.6710387138,0.6710992908
18,1,0.1508,1,1,1,1,1,1,1,1,0.0069,0.1508,0.0649,1,0.2048,1,1,1,1,1,1,0.0565,0.2048,0.0488,1,0.5173,1,1,1,0.1059,0.5173,0.1037,1,1,1,1,1,0.007835865,0.0616733506,0.292313695,1,1,1,1,1,0.0658077896,0.134101063,0.0996285379,1,1,1,1,1,0.1174358875,0.1653527915,0.6643305945,0.6644806431,0.664893617
19,1,0.1507,1,1,1,1,1,1,1,1,0.0133,0.1507,0.0001,1,0.2047,1,1,1,1,1,1,0.047,0.2047,0.0018,1,0.5171,1,1,1,0.087,0.5171,0.0095,1,1,1,1,1,0.0199140832,0.0001271226,0.1607884318,1,1,1,1,1,0.0473954454,0.0030186693,0.0469986908,1,1,1,1,1,0.1163675636,0.0035315687,0.654120348,0.6541146605,0.6542553191
20,1,0.1505,1,1,1,1,1,1,1,1,0.0333,0.1505,0,1,0.2046,1,1,1,1,1,1,0.1201,0.2046,0,1,0.5169,1,1,1,0.0334,0.5169,0,1,1,1,1,1,0.0754052401,0,0.0643003583,1,1,1,1,1,0.1652331948,0,0.111020416,1,1,1,1,1,0.0918812081,0,0.6454809087,0.6454410831,0.6458333333
21,1,0.1504,1,1,1,1,1,1,1,1,0.1005,0.1504,0,1,0.2045,1,1,1,1,1,1,0.203,0.2045,0,1,0.5168,1,1,1,0.0233,0.5168,0,1,1,1,1,1,0.0526379719,0,0.2318961173,1,1,1,1,1,0.2363506556,0,0.0107725132,1,1,1,1,1,0.0851060823,0,0.6456621556,0.6458641845,0.6458333333
22,1,0.1503,1,1,1,1,1,1,1,1,0.0289,0.1503,0,1,0.2044,1,1,1,1,1,1,0.0707,0.2044,0,1,0.5166,1,1,1,0.0138,0.5166,0,1,1,1,1,1,0.0267459471,0,0.1268617064,1,1,1,1,1,0.0700205341,0,0.319542706,1,1,1,1,1,0.0207522959,0,0.6227042049,0.6225936112,0.6227836879
23,1,0.1501,1,1,1,1,1,1,1,1,0.0468,0.1501,0,1,0.2044,1,1,1,1,1,1,0.0188,0.2044,0,1,0.5164,1,1,1,0.0102,0.5164,0,1,1,1,1,1,0.0259275306,0,0.1526579559,1,1,1,1,1,0.0133850938,0,0.0343342945,1,1,1,1,1,0.0174766257,0,0.5818632189,0.5817643326,0.5820035461
24,1,0.15,1,1,1,1,1,1,1,1,0.0744,0.15,0,1,0.2043,1,1,1,1,1,1,0.007,0.2043,0,1,0.5163,1,1,1,0.0101,0.5163,0,1,1,1,1,1,0.0369374901,0,0.1048943996,1,1,1,1,1,0.0139215682,0,0.0151311532,1,1,1,1,1,0.0220963247,0,0.5362493958,0.5362809393,0.5363475177
25,1,0.1499,1,1,1,1,1,1,1,1,0.0421,0.1499,0,1,0.2042,1,1,1,1,1,1,0.0236,0.2042,0,1,0.5161,1,1,1,0.0183,0.5161,0,1,1,1,1,1,0.0346588641,0,0.0894400701,1,1,1,1,1,0.0319856219,0,0.018787697,1,1,1,1,1,0.0456285477,0,0.4964958917,0.496509414,0.4964539007
26,1,0.1497,1,1,1,1,1,1,1,1,0.0615,0.1497,0,1,0.2041,1,1,1,1,1,1,0.0726,0.2041,0,1,0.5159,1,1,1,0.0196,0.5159,0,1,1,1,1,1,0.0448602512,0,0.2151906788,1,1,1,1,1,0.0861567855,0,0.1746725142,1,1,1,1,1,0.0399530977,0,0.4705775737,0.4707002327,0.4703014184
27,1,0.1496,1,1,1,1,1,1,1,1,0.0948,0.1496,0,1,0.204,1,1,1,1,1,1,0.0582,0.204,0,1,0.5158,1,1,1,0.004,0.5158,0,1,1,1,1,1,0.0527997762,0,0.411421448,1,1,1,1,1,0.0975599289,0,0.2013199031,1,1,1,1,1,0.0196912438,0,0.4536007733,0.4537761794,0.4534574468
